"ITEM_ID","TRAIT","VALUE","species"
1137309,"seed mass","1.424","Bursaria calcicola"
1137310,"seed mass","1.549","Bursaria calcicola"
1137313,"seed mass","5.5708","Pittosporum tenuifolium"
1137315,"seed mass","2.542","Billardiera mutabilis"
1137315,"seed shape","flattened disc","Billardiera mutabilis"
1137316,"seed mass","1.205","Rhytidosporum procumbens"
1137317,"seed mass","1.2","Bursaria calcicola"
1137318,"seed mass","1.3833","Bursaria spinosa subsp. lasiophylla"
1137322,"seed shape","reniform","Pittosporum viscidum"
1137322,"seed mass","7.736","Pittosporum viscidum"
1137323,"seed mass","0.35","Rhytidosporum inconspicuum"
1137324,"seed mass","0.7333","Rhytidosporum inconspicuum"
1137325,"seed mass","0.9429","Rhytidosporum procumbens"
1137327,"seed mass","7.725","Pittosporum multiflorum"
1137330,"seed mass","34.85","Pittosporum multiflorum"
1137331,"seed mass","7","Pittosporum multiflorum"
1137331,"seed shape","sectoroid","Pittosporum multiflorum"
1137332,"seed mass","6.1519","Pittosporum undulatum"
1137333,"seed mass","1.6632","Pittosporum venulosum"
1137334,"seed mass","12.1909","Pittosporum undulatum"
1137335,"seed mass","6.2127","Pittosporum undulatum"
1137336,"seed mass","8.2045","Pittosporum multiflorum"
1137337,"seed mass","13.706","Pittosporum revolutum"
1137337,"seed shape","irregular","Pittosporum revolutum"
1137338,"seed mass","5.045","Pittosporum undulatum"
1137340,"seed mass","6.2533","Pittosporum undulatum"
1137341,"seed mass","0.971","Bursaria spinosa subsp. spinosa"
1137342,"seed mass","1.3","Bursaria spinosa subsp. spinosa"
1137343,"seed mass","1.131","Bursaria spinosa subsp. lasiophylla"
1137345,"seed mass","5.1068","Pittosporum crassifolium"
1137346,"seed mass","1","Pittosporum obcordatum"
1137347,"seed shape","globose","Pittosporum eugenioides"
1137347,"seed mass","13.0422","Pittosporum eugenioides"
1137350,"seed mass","13.4522","Pittosporum tenuifolium"
1137351,"seed mass","2.9455","Pittosporum undulatum"
1137352,"seed shape","sectoroid","Pittosporum oreillyanum"
1137352,"seed mass","17.1259","Pittosporum oreillyanum"
1137354,"seed mass","8.6256","Pittosporum ferrugineum subsp. linifolium"
1137356,"seed shape","reniform","Bursaria longisepala"
1137356,"seed mass","1.145","Bursaria longisepala"
1137357,"seed mass","1.3286","Bursaria longisepala"
1137358,"seed mass","1.3667","Bursaria longisepala"
1137359,"seed mass","12.1758","Auranticarpa rhombifolia"
1137359,"seed shape","spherical","Auranticarpa rhombifolia"
1137360,"seed mass","4.294","Billardiera floribunda"
1137364,"seed mass","0.331","Rhytidosporum diosmoides"
1137365,"dispersal appendage","none","Rhytidosporum diosmoides"
1137365,"seed shape","reniform","Rhytidosporum diosmoides"
1137365,"seed mass","0.4652","Rhytidosporum diosmoides"
1137366,"seed shape","flattened disc","Billardiera scandens"
1137366,"seed mass","2.5","Billardiera scandens"
1137472,"seed mass","3.422","Trachymene glaucifolia"
1137619,"seed mass","1.7364","Bursaria occidentalis"
1137622,"seed mass","7.9","Pittosporum tenuifolium"
1137623,"seed mass","2.06","Dodonaea boroniifolia"
1137624,"seed mass","2.414","Dodonaea filifolia"
1137625,"seed mass","18.76","Dodonaea petiolaris"
1137628,"seed mass","2.788","Sclerolaena lanicuspis"
1137629,"seed mass","91.436","Sclerolaena bicornis var. bicornis"
1137634,"seed mass","3.091","Atriplex leptocarpa"
1137634,"seed shape","rectangular","Atriplex leptocarpa"
1137635,"seed mass","0.529","Atriplex pseudocampanulata"
1137636,"seed shape","ovuloid to lanceolate","Goodenia glabra"
1137636,"seed mass","1.475","Goodenia glabra"
1137649,"seed mass","2.2205","Goodenia glabra"
1137660,"seed mass","8.0368","Goodenia cycloptera"
1137776,"seed mass","9.6","Hakea erecta"
1137804,"seed mass","3.658","Pimelea suaveolens subsp. flava"
1137855,"seed shape","discoid","Chamaescilla corymbosa"
1137855,"seed mass","0.2769","Chamaescilla corymbosa"
1137857,"seed mass","0.1583","Johnsonia pubescens"
1137917,"seed mass","1.712","Polycalymma stuartii"
1137944,"dispersal appendage","hairs","Rhodanthe stuartiana"
1137944,"seed shape","terete","Rhodanthe stuartiana"
1137944,"seed mass","0.489","Rhodanthe stuartiana"
1137944,"seed shape","falcate","Rhodanthe stuartiana"
1137947,"seed mass","0.6066","Pycnosorus pleiocephalus"
1137954,"seed mass","1.358","Rhodanthe corymbiflora"
1137963,"dispersal appendage","pappus","Olearia subspicata"
1137963,"seed mass","0.5763","Olearia subspicata"
1137963,"seed shape","terete","Olearia subspicata"
1137975,"seed mass","0.438","Brachyscome smithwhitei"
1137989,"seed mass","1.241","Leucochrysum molle"
1138047,"seed mass","4.896","Swainsona swainsonioides"
1138048,"seed mass","3.425","Cullen cinereum"
1138055,"seed mass","0.178","Calandrinia balonensis"
1138055,"seed shape","reniform","Calandrinia balonensis"
1138055,"dispersal appendage","aril","Calandrinia balonensis"
1138058,"seed mass","4.727","Hannafordia bissillii"
1138058,"seed shape","ovoid","Hannafordia bissillii"
1138058,"dispersal appendage","aril","Hannafordia bissillii"
1138101,"seed shape","lanceolate","Angophora melanoxylon"
1138101,"seed mass","8.181","Angophora melanoxylon"
