"var_name","character","unit"
"photosynthetic pathway","photosynthetic_pathway",""
"Nfixer","nitrogen_fixing",""
"GF","plant_growth_form",""
"DecEv","leaf_phenology",""
"LfType","leaf_type",""
"LfForm","leaf_compoundness",""
"SLA (cm2/g)","specific_leaf_area","cm2/g"
"LMA (g/m2)","leaf_mass_per_area","g/m2"
"LfSize (cm2)","leaf_area","cm2"
"leaf longevity","leaf_lifespan",""
"thickness (microns)","leaf_thickness","microns"
"water content (%)",NA,"%"
"k_mass","leaf_K_per_dry_mass","%"
"k_area","leaf_K_per_area","g/m2"
"n_mass","leaf_N_per_dry_mass","%"
"n_area","leaf_N_per_area","g/m2"
"p_mass","leaf_P_per_dry_mass","%"
"p_area","leaf_P_per_area","g/m2"
"amass (nmol g-1 s-1)","photosynthetic_rate_per_dry_mass","nmol/g/s"
"aarea (umolm-2s-1)","photosynthetic_rate_per_area","umol/m2/s"
"gs (molm-2s-1)","stomatal_conductance","mol/m2/s"
"Rd (umol m-2 s-1)","leaf_dark_respiration_per_area","umol/m2/s"
"13-C","leaf_delta13C","parts per 1000"
"15-N","leaf_delta15N","parts per 1000"
"height","plant_height","m"
