site,lat,long
Adams1984_BigCkBasin,37.867,145.75
Ahton1976_DrySclerophyll,-37.983,145.800
Ahton1976_Rainforest,-37.983,145.800
Ahton1976_WetSclerophyll,-37.983,145.800
Ashton1975_WallabyCk,,
Attiwill1980_MtDisappointment,,
Bell1985_Weipa,,
Bennett1996_Yanakie,,
BevegeandJohnston1978 _Millmerran,,
BirkandTurner1992_WeddingBells,30.133,153.117
Choatetal2006_ManyPeaks,19.18333,145.75
Cromeretal1975_Morwell,38.333,146.25
Falsterunpub_WallabyCk,,
Feller1980_MaroondahEO,37.633,145.583
Feller1980_MaroondahER,37.633,145.583
Hatch1955_Dwellingup,32.7833,116.033
Hopmansetal1993_Maramingo,37.4167,149.55
Lambert1979thesis_BagoSF,35.6,141.1
Lambert1979thesis_LidsdaleSF,33.45,150.0667
Leigh&Nicotra2003_LakeTyrrell,,
Leigh2006_ACT,,
Leishmanetal2007_BlueMtns,,
Leishmanetal2007_CPW,,
Leishmanetal2007_Dorrigo,,
Leishmanetal2007_Haselhurst,,
Leishmanetal2007_HS,,
Leishmanetal2007_Hunter Valley,,
Leuningetal1991_Toolara,26.2,152.75
Marsh&Adams1995_Moormung,37.8167,147.633
Meakinsunpub_Brindabella1,,
Meakinsunpub_Brindabella2,,
Meakinsunpub_Brindabella3,,
Mooreetal1967_Meandarra,27.283,145.75
Pearcy1987_CurtinFig,17,145.5667
Peetersetal2006_BunyipPk,-37.983,145.800
Read&Sanson2003_MelbBotGardens,37.1333,145
RichardsAustralia_Hooppineplantation25,-26.942,151.922
RichardsAustralia_Hooppineplantation34,-26.792,152.001
RichardsAustralia_Hooppineplantation50,-27.022,151.878
RichardsAustralia_Hooppineplantation63,-26.876,151.960
RichardsAustralia_Maleny,-26.750,152.867
RichardsAustralia_NorthQueensland1,-16.133,145.433
RichardsAustralia_NorthQueensland2,-17.283,145.633
RichardsAustralia_NorthQueensland3,-16.100,145.433
SpechtandTurner2006_JohnstonsScrub,,
SpechtandTurner2006_RockyCrk,,
TurnerandLambert1983_Conglomerate,,
Warrenetal2006_Glencoe,38.267,147.05
Warrenetal2006_MtWorth,38.317,145.983
Westman&Rogers1977_Stradbroke,27.5,155.5
