genus,species,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),seed min breadth (mm),seed max breadth (mm),flowering month begin,flowering month end
Hypocalymma,cordifolium,Hypocalymma cordifolium,p,s,,1,6,19,9,18,1.1,1.3,0.5,0.6,0.6,0.7,1,12
Hypocalymma,minus,Hypocalymma minus,p,s,0.1,0.4,4,8,3,9,0.8,1.1,0.5,0.5,0.6,0.6,1,12
Hypocalymma,myrtifolium,Hypocalymma myrtifolium,p,s,0.3,0.8,15,40,6,16,1.3,1.4,0.5,0.6,0.8,0.9,7,11
Hypocalymma,phillipsii,Hypocalymma phillipsii,p,s,0.4,1,15,40,8,20,1.3,1.6,0.5,0.6,0.9,1.1,9,11
Hypocalymma,speciosum,Hypocalymma speciosum,p,s,0.25,0.7,4,18,7,15,1.65,1.65,0.5,0.5,1,1,9,12
Hypocalymma,connatum,Hypocalymma connatum,p,s,,0.4,6,7,1,1.5,1,1.1,0.5,0.5,0.5,0.6,9,9
Hypocalymma,verticillare,Hypocalymma verticillare,p,s,0.2,0.8,3,6,1.8,2.3,1.1,1.3,0.4,0.4,0.5,0.6,3,5
