var_name,character,unit
"growth form: 1=tree, 2=shrub, 3=subshrub, 4=forb, 5=grass, 6=parasite, 10=twiner",plant_growth_form,
height (cm),plant_height,cm
seed mass (mg),seed_mass,mg
"dispersal mode: 1=unassisted, 2=elaiosome, 3=flesh/aril, 4=adhesive, 5=wind",dispersal_syndrome,
plant longevity,lifespan,year
leaf area (mm2),leaf_area,mm2
