species_name,species_name_current,photosynthetic pathway,Authority,k=Kranz n=non-Kranz,d13C value,d13C_replicates,Other evidence,Reference,genus_name,Species sampled,Notes,excluded_names
Acrachne racemosa,Acrachne racemosa,C4,Acrachne Chiov.,NA,NA,,NA,Watson & Dallwitz (1992 onwards),Acrachne,"Acrachne racemosa Ohwi, Acrachne verticillata Wight & Arn.",NA,
Agrostis australiensis,Agrostis australiensis,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis bettyae,Agrostis bettyae,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis boormanii,Agrostis boormanii,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis diemenica,Agrostis diemenica,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis joyceae,Agrostis joyceae,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis muelleriana,Agrostis muelleriana,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis parviflora,Agrostis parviflora,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis propinqua,Agrostis propinqua,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
Agrostis thompsoniae,Agrostis thompsoniae,C3,Agrostis L.,NA,NA,,NA,Metcalfe (1960); Watson & Dallwitz (1992 onwards),Agrostis,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",NA,
