Species,CO2,Temp,Potnum,LA (cm2),LeafDW (g),LMA (g m-2),LSolSugA (g m-2),LStarchA (g m-2),LSolPro (g m-2),ChlAandB (umol m-2),ChlAB,LeafpercentN (%),LeafpercentC (%)
E. sideroxylon,400,Amb,4,,,,,,8.05,19.61,2.76,,
E. sideroxylon,400,Amb,5,,,,,,,,,4.351,50.17
E. sideroxylon,400,Amb,11,,,,,,3.51,12.87,2.68,,
E. sideroxylon,400,Amb,13,6.45,0.0425,65.89,6.22,0.4,,,,4.3387,48.87
E. sideroxylon,400,Amb,15,11.4,0.0778,68.25,6.58,1.46,,,,4.188,50.23
E. sideroxylon,400,Amb,30,,,,,,4.99,20.83,2.76,,
E. sideroxylon,400,Amb,37,6.81,0.0336,49.34,4.68,1.26,,,,5.0577,47.62
E. sideroxylon,400,Amb,38,9.74,0.0589,60.47,5.88,3.89,,,,4.2917,48.88
E. saligna,400,Amb,54,19.14,0.0666,34.8,1.76,3.25,,,,3.543,47.83
E. saligna,400,Amb,58,16.13,0.068,42.16,2.57,3.89,,,,2.8333,47.4
E. saligna,400,Amb,62,17.61,0.0702,39.86,2.08,2.77,,,,3.4583,48.01
E. saligna,400,Amb,64,17.47,0.0673,38.52,2.23,5.41,,,,2.7587,47.26
E. saligna,400,Amb,71,,,,,,3.25,243.45,1.97,,
E. saligna,400,Amb,72,,,,,,4.32,258.7,2.27,,
E. saligna,400,Amb,74,,,,,,4.58,357.44,1.95,,
E. saligna,400,Amb,79,11.63,0.0523,44.97,3.04,1.87,,,,2.7117,48.63
E. sideroxylon,280,Amb,103,3.61,0.0203,56.23,5.33,4.94,,,,3.789,48.33
E. sideroxylon,280,Amb,106,,,,,,2.8,16.63,1.96,,
E. sideroxylon,280,Amb,109,6.82,0.0426,62.46,3.83,2.58,,,,4.3897,47.36
E. sideroxylon,280,Amb,110,5.8,0.0447,77.07,5.87,4.65,,,,3.6733,48.22
E. sideroxylon,280,Amb,113,6.44,0.0389,60.4,5.18,4.2,,,,4.148,46.49
E. sideroxylon,280,Amb,117,,,,,,4.02,21.5,2.29,,
E. sideroxylon,280,Amb,125,,,,,,3.95,18.55,1.77,,
E. saligna,280,Amb,132,17.54,0.0624,35.58,2.64,1.34,,,,3.742,47.62
E. saligna,280,Amb,133,12.3,0.0518,42.11,4.14,2.62,,,,3.945,48.11
E. saligna,280,Amb,142,,,,,,5.7,285.5,1.66,,
E. saligna,280,Amb,145,,,,,,2.33,396.03,1.56,,
E. saligna,280,Amb,150,10.73,0.037,34.48,0.92,1.9,,,,3.7223,47.17
E. saligna,280,Amb,155,,,,,,2.76,533.01,1.66,,
E. saligna,280,Amb,159,20.54,0.0729,35.49,1.64,2.4,,,,3.7573,47.02
E. saligna,280,Amb,162,14.65,0.0552,37.68,2.95,1.66,,,,3.5603,47.06
E. sideroxylon,280,Amb,168,4.73,0.0362,76.53,6.42,5.08,,,,3.812,48.12
E. saligna,280,Amb,170,16.47,0.0625,37.95,4.35,0.9,,,,3.9827,48.1
E. sideroxylon,640,Amb,211,6.16,0.0455,73.86,5.32,3.76,,,,4.2997,49.17
E. sideroxylon,640,Amb,215,6.23,0.0568,91.17,11.96,4.12,,,,3.858,50.44
E. sideroxylon,640,Amb,217,,,,,,3.46,23.97,2.02,,
E. sideroxylon,640,Amb,219,9.86,0.0622,63.08,8.9,7.37,,,,4.1493,48.65
E. sideroxylon,640,Amb,220,,,,,,4.06,22.09,2.08,,
E. sideroxylon,640,Amb,230,4.93,0.0418,84.79,9.58,8.7,,,,3.7507,49.79
E. saligna,640,Amb,249,,,,,,3.33,451.16,1.7,,
E. saligna,640,Amb,257,,,,,,4.06,451.26,1.73,,
E. saligna,640,Amb,262,14.48,0.0611,42.2,2.55,4.73,,,,2.911,47.64
E. saligna,640,Amb,269,23.73,0.1458,61.44,5.44,10.7,,,,2.0407,47.73
E. saligna,640,Amb,270,,,,,,2.2,472.22,1.76,,
E. saligna,640,Amb,271,18.82,0.0807,42.88,2.91,3.2,,,,3.6543,47.36
E. saligna,640,Amb,274,24.13,0.1715,71.07,4.76,18.19,,,,1.8323,46.9
E. saligna,640,Amb,279,20.73,0.1039,50.12,2.76,5.95,,,,2.5553,47.45
E. sideroxylon,640,Amb,281,,,,,,6.46,27.33,2.01,,
E. sideroxylon,640,Amb,282,6.87,0.0526,76.56,6.27,8.88,,,,3.2107,49.85
E. sideroxylon,400,Elv,314,,,,,,3.92,24.72,2.16,,
E. sideroxylon,400,Elv,317,3.96,0.0277,69.95,10.78,5.01,,,,3.8515,51.69
E. sideroxylon,400,Elv,322,,,,,,3.46,23.97,2.17,,
E. sideroxylon,400,Elv,326,,,,,,4.68,20.8,2.26,,
E. sideroxylon,400,Elv,330,4.72,0.0355,75.21,7.89,2.8,,,,4.0173,51.92
E. sideroxylon,400,Elv,341,4,0.0232,58,3.35,1.64,,,,4.39,51.65
E. sideroxylon,400,Elv,342,4.98,0.0366,73.49,5.29,1.09,,,,3.9883,51.29
E. sideroxylon,400,Elv,344,3.84,0.0284,73.96,,1.96,,,,4.1085,51.26
E. sideroxylon,400,Elv,350,3.1,0.0276,89.03,9.01,2.58,,,,3.9487,51.91
E. saligna,400,Elv,360,,,,,,2.08,502.33,1.69,,
E. saligna,400,Elv,361,17.4,0.0779,44.77,4.82,5.7,,,,2.8257,48.37
E. saligna,400,Elv,368,11.51,0.0454,39.44,4.14,3.75,,,,3.008,48.35
E. saligna,400,Elv,379,13.09,0.0731,55.84,4.63,6.68,1.99,278.27,1.57,1.9313,47.64
E. saligna,400,Elv,380,,,,,,3.35,499.78,1.83,,
E. saligna,400,Elv,384,14.45,0.0544,37.65,3.66,7.28,,,,3.2177,48.51
E. saligna,400,Elv,385,12.87,0.059,45.84,4.7,4.33,,,,3.4497,48.82
E. sideroxylon,280,Elv,413,5.9,0.0417,70.68,6.92,4.48,,,,4.4133,49.91
E. sideroxylon,280,Elv,416,3.09,0.014,45.31,4.23,0.61,,,,5.252,50.05
E. sideroxylon,280,Elv,420,5.78,0.0286,49.48,2.58,0.29,,,,4.438,51.16
E. sideroxylon,280,Elv,432,2.36,0.0156,66.1,5.65,1.41,,,,4.14,49.71
E. saligna,280,Elv,443,,,,,,1.75,476.62,1.91,,
E. saligna,280,Elv,445,,,,,,3.61,387.62,1.73,,
E. saligna,280,Elv,447,9.96,0.0344,34.54,3.13,2.7,,,,3.31,46.99
E. saligna,280,Elv,459,10.58,0.046,43.48,4.4,5.27,,,,3.5083,48.02
E. saligna,280,Elv,462,12.84,0.0445,34.66,2.26,1.16,,,,3.6447,48.84
E. saligna,280,Elv,465,15.25,0.0617,40.46,5.44,3.94,,,,3.5907,48.04
E. saligna,280,Elv,474,,,,,,3.41,319.75,1.87,,
E. saligna,280,Elv,477,10.13,0.0348,34.35,3.24,4.23,,,,3.4713,48.23
E. sideroxylon,280,Elv,483,3.99,0.029,72.68,7.63,2.3,,,,4.41,51.38
E. sideroxylon,280,Elv,485,,,,,,4.12,28.98,2.15,,
E. sideroxylon,280,Elv,489,,,,,,3.88,19.47,2.13,,
E. sideroxylon,280,Elv,491,,,,,,5.17,23.56,2.44,,
E. saligna,640,Elv,521,18.67,0.0833,44.62,3.49,8.23,,,,2.2823,47.58
E. sideroxylon,640,Elv,523,3.71,0.0363,97.84,10.56,5.04,,,,3.2027,52.31
E. saligna,640,Elv,524,14.87,0.0989,66.51,3.46,13.07,,,,1.5723,47
E. saligna,640,Elv,528,9.23,0.0556,60.24,3.44,9.8,,,,1.973,47.45
E. sideroxylon,640,Elv,537,5.16,0.0446,86.43,5.53,1.5,,,,3.4007,52.67
E. saligna,640,Elv,539,10.68,0.067,62.73,4.4,6.99,,,,1.647,48.12
E. saligna,640,Elv,544,,,,,,2.3,490.52,2.07,,
E. saligna,640,Elv,547,11.93,0.0541,45.35,3.17,11.46,,,,1.9893,47.04
E. sideroxylon,640,Elv,552,,,,,,2.49,22.4,2.3,,
E. sideroxylon,640,Elv,556,,,,,,4.3,31,2.31,,
E. sideroxylon,640,Elv,559,5.24,0.0422,80.53,7.1,2.13,,,,3.4573,51.45
E. sideroxylon,640,Elv,565,,,,,,4.1,24.98,2.58,,
E. sideroxylon,640,Elv,567,5.09,0.0317,62.28,4.12,0.38,,,,4.1077,51.17
E. sideroxylon,640,Elv,568,2.83,0.0214,75.62,5.11,1.13,,,,3.159,51.42
E. saligna,640,Elv,578,,,,,,2.52,334.36,1.83,,
E. saligna,640,Elv,585,,,,,,1.05,400.38,2.16,,
