Data_Set,Branch_ID,Family,Genus,Species,Coty,Form,Location,P.width,P.height,Lam,LMA,Area,d13C,d15N,TN,TC,Photo,Cond,Vcmax,jmax,UI_Av,CA_Av,height,LAI,Treatment,site,context,branch location
2014,TD_2,Apocynaceae,Alstonia,Alstonia scholaris,Dicot,Tree,CC,3.415,2.037,0.394,117.6,44.5,-29.242,3.118,2.358,45.475,15.115,0.315,53.35697,116.389,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_23,Arecaceae,Archontophoenix,Archontophoenix alexandrae,Mono,Tree,CC,NA,NA,0.193,123.6,181.2,-26.481,3.454,1.535,45.147,6.826,0.104,24.79462,66.585,1.274,219.972,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_14,Malvacea,Argyrodendron,Argyrodendron peralatum,Dicot,Tree,CC,1.357,1.653,0.337,205.7,25.9,-31.838,3.562,1.332,49.275,15.114,0.420,48.33394,106.829,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_35,Proteaceae,Austromuellera,Austromuellera trinervia,Dicot,Tree,CC,2.644,1.365,0.236,114.6,35.5,-31.401,6.362,1.508,47.799,7.759,0.124,NA,NA,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_29,Proteaceae,Brombya,Brombya platynema,Dicot,Tree,CC,2.716,2.773,0.341,106.1,64.4,-31.694,6.062,1.672,44.909,9.435,0.113,39.4358,75.238,1.133,266.112,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_64,Arecaceae,Calamus,Calamus australis,Mono,Liana,CC,NA,NA,0.201,91.8,79.1,-27.568,3.988,1.728,44.153,NA,NA,NA,NA,1.798,271.439,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_63,Arecaceae,Calamus,Calamus radicaulis,Mono,Liana,CC,NA,NA,0.179,85.4,81.4,-28.417,4.587,1.647,43.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_7,Proteaceae,Cardwellia,Cardwellia sublimis,Dicot,Tree,CC,1.802,1.715,0.318,143.3,43.0,-28.288,5.891,1.058,46.172,7.541,0.113,30.76862,64.451,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_20,Fabaceae,Castanospermum,Castanospermum australe,Dicot,Tree,CC,2.156,2.161,0.202,105.4,46.1,-28.942,3.214,3.136,46.909,6.125,0.068,40.64016,97.922,1.184,89.704,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_22,Vitaceae,Cayratia,Cayratia saponaria,Dicot,Liana,CC,3.016,2.985,0.295,88.7,120.7,-27.362,3.233,2.805,41.715,9.336,0.067,64.50634,94.475,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_50,Cannabaceae,Celtis,Celtis paniculata,Dicot,Tree,CC,1.807,0.917,0.271,126.2,18.2,-30.502,-0.412,1.941,42.165,9.774,0.096,63.23072,139.519,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_10,Phyllanthaceae,Cleistanthus,Cleistanthus myrianthus,Dicot,Tree,CC,2.011,2.213,0.234,85.9,59.5,-29.376,3.642,1.862,43.317,5.212,0.063,23.43359,54.084,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_37,Phyllanthaceae,Cleistanthus,Cleistanthus myrianthus,Dicot,Tree,CC,2.153,2.266,0.209,95.9,54.7,-31.124,4.847,2.409,44.539,5.086,0.083,23.64037,57.573,1.15,213.464,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_9,Lauraceae,Cryptocarya,Cryptocarya grandis,Dicot,Tree,CC,2.268,1.349,0.244,113.4,41.4,-28.778,1.414,2.168,45.030,8.818,0.112,56.38631,119.669,1.127,269.557,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_3,Lauraceae,Cryptocarya,Cryptocarya hypospodia,Dicot,Tree,CC,1.821,1.763,0.304,162.1,29.1,-28.906,2.437,1.566,47.389,14.555,0.258,60.59325,100.547,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_39,Lauraceae,Cryptocarya,Cryptocarya mackinnoniana,Dicot,Tree,CC,4.217,2.850,0.473,161.6,167.1,-32.221,1.988,1.487,47.553,15.053,0.254,49.15326,105.663,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_17,Lauraceae,Cryptocarya,Cryptocarya murrayi,Dicot,Tree,CC,4.498,3.158,0.412,125.3,134.6,-30.763,3.333,2.387,46.505,10.870,0.187,31.50415,71.074,1.27,235.499,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_49,Atherospermataceae,Doryphora,Doryphora aromatica,Dicot,Tree,CC,1.580,1.378,0.313,99.9,20.5,-30.037,4.517,2.099,49.351,7.083,0.063,28.73017,38.037,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_52,Atherospermataceae,Doryphora,Doryphora aromatica,Dicot,Tree,CC,1.553,1.420,0.263,92.1,13.8,-30.693,5.699,2.044,49.607,7.705,0.097,26.04014,52.721,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_24,Meliaceae,Dysoxylum,Dysoxylum alliaceum,Dicot,Tree,CC,1.673,1.776,0.265,110.0,66.1,-30.455,2.631,2.603,45.149,7.298,0.116,30.19878,75.523,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_43,Meliaceae,Dysoxylum,Dysoxylum arborescens,Dicot,Tree,CC,2.565,2.296,0.253,121.8,61.0,-32.085,1.913,1.964,44.139,5.637,0.050,38.22699,87.190,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_15,Meliaceae,Dysoxylum,Dysoxylum papuanum,Dicot,Tree,CC,1.612,1.231,0.230,102.8,31.1,-28.274,2.655,3.040,46.687,5.554,0.053,15.04303,38.419,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_58,Meliaceae,Dysoxylum,Dysoxylum parasiticum,Dicot,Tree,CC,2.188,2.298,0.295,85.9,90.6,-30.330,4.123,2.861,49.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_5,Meliaceae,Dysoxylum,Dysoxylum pettigrewianum,Dicot,Tree,CC,2.229,2.411,0.350,130.4,89.6,-29.449,2.217,3.160,46.292,12.168,0.202,33.18851,86.749,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
2014,TD_32,Meliaceae,Dysoxylum,Dysoxylum pettigrewianum,Dicot,Tree,CC,1.918,2.027,0.311,123.4,81.6,-29.965,2.176,3.229,46.754,4.261,0.031,33.25986,39.672,NA,NA,NA,NA,NA,Crane,measurements made from on  CANOPY CROWN branches before drought infrastructure installed,canopy crown
