Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Germination %,Viability %,n,Dormant,Notes
Acronychia imperforata,Modern,10/16/17,33 27 00 S,153 03 36 E,-33.45,153.06,site_at_33.4500_S_and_153.0600_E,4,4,75,0,
Allocasuarina littoralis,Historic,03/26/82,29 07 00 S,153 26 00 E,-29.1167,153.4333,site_at_29.1167_S_and_153.4333_E,32,32,100,0,
Allocasuarina littoralis,Modern,11/08/17,29 07 26 S,153 25 56 E,-29.1239,153.4322,site_at_29.1239_S_and_153.4322_E,15,15,100,0,
Allocasuarina monilifera,Historic,04/24/84,43 10 00 S,147 20 00 E,-43.1667,147.3333,site_at_43.1667_S_and_147.3333_E,5,39,100,34,
Allocasuarina monilifera,Modern,01/18/18,43 25 47 S,147 14 54 E,-43.4297,147.2483,site_at_43.4297_S_and_147.2483_E,43,43,100,0,
Allocasuarina nana,Historic,07/13/88,33 20 20 S,150 14 10 E,-33.3389,150.2361,site_at_33.3389_S_and_150.2361_E,49,79,100,30,
Allocasuarina nana,Modern,08/17/17,33 38 38 S,150 14 42 E,-33.6439,150.245,site_at_33.6439_S_and_150.2450_E,30,54,50,24,
Bothriochloa macra,Historic,04/15/80,35 20 00 S,149 10 00 E,-35.3333,149.1667,site_at_35.3333_S_and_149.1667_E,4.04,4.04,99,0,
Bothriochloa macra,Modern,12/11/17,35 21 30 S,149 12 53 E,-35.3583,149.2147,site_at_35.3583_S_and_149.2147_E,71,71,100,0,
Bulbine bulbosa,Historic,12/10/80,35 20 00 S,149 10 00 E,-35.3333,149.1667,site_at_35.3333_S_and_149.1667_E,60.82,71.13,97,10.31,
Bulbine bulbosa,Modern,12/01/16,35 28 25 S,149 00 47 E,-35.4736,149.0131,site_at_35.4736_S_and_149.0131_E,81,81,100,0,
Callistemon sieberi,Historic,05/23/80,35 20 00 S,149 20 00 E,-35.3333,149.3333,site_at_35.3333_S_and_149.3333_E,47,,100,,Unsure of whether mushy or viable as the seeds were too small
Callistemon sieberi,Modern,12/11/17,35 19 47 S,149 15 06 E,-35.3297,149.2517,site_at_35.3297_S_and_149.2517_E,55,,100,,Unsure of whether mushy or viable as the seeds were too small
Callitris endlicheri,Historic,01/15/79,34 34 30 S,147 28 00 E,-34.575,147.4667,site_at_34.5750_S_and_147.4667_E,10,100,100,90,
Callitris endlicheri,Modern,12/11/17,34 31 39 S,147 39 19 E,-34.5275,147.6553,site_at_34.5275_S_and_147.6553_E,11,100,50,89,
Callitris glaucophylla,Historic,11/25/84,35 20 00 S,149 10 00 E,-35.3333,149.1667,site_at_35.3333_S_and_149.1667_E,0,0,100,0,
Callitris glaucophylla,Modern,11/24/17,35 19 50 S,149 15 40 E,-35.3306,149.2611,site_at_35.3306_S_and_149.2611_E,44,44,100,0,
Corymbia eximia,Historic,02/10/83,33 13 00 S,150 34 00 E,-33.2167,150.5667,site_at_33.2167_S_and_150.5667_E,96,96,50,0,
Corymbia eximia,Modern,02/26/18,33 27 23 S,150 43 05 E,-33.4564,150.7181,site_at_33.4564_S_and_150.7181_E,86,87,100,1,
Corymbia gummifera,Historic,01/21/86,33 32 27 S,150 40 57 E,-33.5408,150.6825,site_at_33.5408_S_and_150.6825_E,88,88,50,0,
Corymbia gummifera,Modern,02/27/18,33 27 23 S,150 43 05 E,-33.4564,150.7181,site_at_33.4564_S_and_150.7181_E,54,56,50,2,
Crowea exalata,Historic,12/02/84,30 04 00 S,150 06 00 E,-30.0667,150.1,site_at_30.0667_S_and_150.1000_E,33.33,33.33,100,0,
Crowea exalata,Modern,11/05/17,30 03 20 S,150 06 02 E,-30.0556,150.1006,site_at_30.0556_S_and_150.1006_E,0,0,20,0,
Eucalyptus calcareana,Historic,10/20/85,31 54 00 S,132 23 00 E,-31.9,132.3833,site_at_31.9000_S_and_132.3833_E,59,59,100,0,
Eucalyptus calcareana,Modern,11/13/17,31 57 28 S,132 23 04 E,-31.9578,132.3844,site_at_31.9578_S_and_132.3844_E,53,53,100,0,
Eucalyptus crebra,Historic,11/02/83,29 23 00 S,151 02 00 E,-29.3833,151.0333,site_at_29.3833_S_and_151.0333_E,56,56,100,0,
Eucalyptus crebra,Modern,11/06/17,29 05 36 S,151 46 51 E,-29.0933,151.7808,site_at_29.0933_S_and_151.7808_E,76,76,100,0,
Eucalyptus globoidea,Historic,10/26/77,37 16 00 S,149 14 00 E,-37.2667,149.2333,site_at_37.2667_S_and_149.2333_E,12,12,100,0,
Eucalyptus globoidea,Modern,12/13/17,37 25 20 S,149 11 53 E,-37.4222,149.1981,site_at_37.4222_S_and_149.1981_E,11,11,100,0,
Eucalyptus langleyi,Historic,03/13/73,34 59 00 S,150 29 00 E,-34.9833,150.4833,site_at_34.9833_S_and_150.4833_E,0,0,99,0,
