Species,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Modern/Historic,Replicate,Root (g),Totalshoot (g),Totalplant,Roottoshoot
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,2,0.13,0.6495,0.7795,0.200153965
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,11,0.01,0.2516,0.2616,0.039745628
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,14,0.1,0.5673,0.6673,0.176273577
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,17,0.09,0.48,0.57,0.1875
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,12,0.56,3.0694,3.6294,0.182446081
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,6,0.33,1.4457,1.7757,0.228263125
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,7,0.06,0.3103,0.3703,0.193361263
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,3,0.16,0.7721,0.9321,0.207227043
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,5,0.12,0.812,0.932,0.147783251
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,1,0.09,0.3245,0.4145,0.277349769
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,10,0.01,0.1908,0.2008,0.052410901
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,4,0.24,1.0132,1.2532,0.236873273
Acacia anceps,11/27/85,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Historic,15,0.12,0.3432,0.4632,0.34965035
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,3,0.22,0.792,1.012,0.277777778
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,11,0.27,1.6899,1.9599,0.159772768
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,8,0.1,0.2514,0.3514,0.397772474
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,5,0.06,0.7535,0.8135,0.079628401
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,23,0.11,0.5939,0.7039,0.185216366
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,25,0.01,0.1531,0.1631,0.065316786
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,19,0.12,0.3614,0.4814,0.332042059
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,13,0.03,0.1773,0.2073,0.169204738
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,2,0.41,1.6041,2.0141,0.255595038
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,6,0.35,1.1721,1.5221,0.298609334
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,1,0.19,0.7388,0.9288,0.257173795
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,22,0.55,1.8342,2.3842,0.299858249
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,16,0.37,1.6995,2.0695,0.217711091
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,17,0.09,0.2447,0.3347,0.367797303
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,7,0.08,0.1837,0.2637,0.435492651
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,20,0.34,1.7173,2.0573,0.197985209
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,10,0.12,0.6369,0.7569,0.188412624
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,12,0.27,1.6231,1.8931,0.166348346
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,4,0.45,2.7307,3.1807,0.16479291
Acacia anceps,12/01/16,33 59 00 S,135 15 00 E,-33.9833,135.2500,site_at_33.9833_S_and_135.2500_E,Modern,9,0.88,2.2874,3.1674,0.384716272
Acacia aspera,11/24/84,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,Historic,6,0.06,0.1194,0.1794,0.502512563
Acacia aspera,11/24/84,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,Historic,5,0.11,0.5876,0.6976,0.187202178
Acacia aspera,11/24/84,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,Historic,7,1.15,1.4995,2.6495,0.766922307
Acacia aspera,11/24/84,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,Historic,1,0.01,0.01,0.02,1
