Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Replicate,Seed Length (mm),Seed Width (mm),Seed Depth (mm) ,Length transformed,Width transformed,Depth transformed,Sum,Variance
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,4.82,2.53,1.61,1,0.524896266,0.334024896,8.96,0.078408697
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,5.88,3.33,1.62,1,0.566326531,0.275510204,10.83,0.088614698
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,4.44,2.89,1.47,1,0.650900901,0.331081081,8.8,0.074623046
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,5.7,2.9,1.48,1,0.50877193,0.259649123,10.08,0.094609623
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,6.22,2.97,1.4,1,0.477491961,0.225080386,10.59,0.104136296
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,4.51,2.57,1.31,1,0.569844789,0.290465632,8.39,0.085169471
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,5.2,3.42,1.65,1,0.657692308,0.317307692,10.27,0.077678337
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,4.33,3.3,1.59,1,0.762124711,0.367205543,9.22,0.068108292
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,6.12,3.13,1.59,1,0.511437908,0.259803922,10.84,0.094433646
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,4.79,2.79,1.66,1,0.582463466,0.346555324,9.24,0.072997706
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,5.92,2.86,1.45,1,0.483108108,0.244932432,10.23,0.099336879
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,5.12,2.89,1.42,1,0.564453125,0.27734375,9.43,0.08826277
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,5.44,2.77,1.44,1,0.509191176,0.264705882,9.65,0.093480422
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,4.39,2.74,1.84,1,0.624145786,0.419134396,8.97,0.057855657
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,4.43,2.48,1.28,1,0.559819413,0.288939052,8.19,0.08586031
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,4.27,2.81,1.43,1,0.658079625,0.334894614,8.51,0.07374703
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,5.42,2.9,1.32,1,0.535055351,0.243542435,9.64,0.097042373
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,18,5.1,2.62,1.44,1,0.51372549,0.282352941,9.16,0.08944594
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,5.45,3.11,1.55,1,0.570642202,0.28440367,10.11,0.086484303
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,5.36,2.8,1.17,1,0.52238806,0.218283582,9.33,0.103519251
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,21,4.62,2.63,1.39,1,0.569264069,0.300865801,8.64,0.082928856
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,3.96,2.69,1.38,1,0.679292929,0.348484848,8.03,0.070751
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,4.38,2.79,1.57,1,0.636986301,0.358447489,8.74,0.068994716
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,24,5.57,2.76,1.62,1,0.49551167,0.290843806,9.95,0.088811102
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,4.81,2.62,1.94,1,0.544698545,0.403326403,9.37,0.064811653
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,26,4.99,2.92,1.6,1,0.585170341,0.320641283,9.51,0.078176393
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,27,6.22,3.07,1.55,1,0.493569132,0.249196141,10.84,0.097766313
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,28,5.08,2.96,1.42,1,0.582677165,0.279527559,9.46,0.087237619
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,29,4.24,2.98,1.6,1,0.702830189,0.377358491,8.82,0.064658241
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,30,5.03,3.18,1.57,1,0.632206759,0.312127237,9.78,0.078987967
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,31,5.65,3.23,1.05,1,0.571681416,0.185840708,9.93,0.110576135
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,32,5.58,2.91,1.44,1,0.521505376,0.258064516,9.93,0.09431405
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,33,5.02,2.93,1.49,1,0.583665339,0.296812749,9.44,0.083343474
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,34,5.47,3.02,1.26,1,0.552102377,0.230347349,9.75,0.099611531
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,35,4.28,2.6,1.78,1,0.607476636,0.41588785,8.66,0.05910754
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,36,5.34,2.94,1.59,1,0.550561798,0.297752809,9.87,0.0843398
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,37,5.21,2.97,1.6,1,0.570057582,0.307101727,9.78,0.081567142
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,38,5.89,2.9,1.48,1,0.492359932,0.251273345,10.27,0.097379198
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,39,5.15,3.02,1.3,1,0.586407767,0.252427184,9.47,0.093496298
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,40,5.66,3.41,1.58,1,0.602473498,0.279151943,10.65,0.086909563
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,41,5.25,3.04,1.53,1,0.579047619,0.291428571,9.82,0.084666566
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,42,5.89,2.69,1.61,1,0.456706282,0.273344652,10.19,0.09520195
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,43,4.99,2.7,1.21,1,0.541082164,0.24248497,8.9,0.097066098
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,44,5.66,2.58,1.14,1,0.455830389,0.201413428,9.38,0.110954341
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,45,4.57,2.47,1.82,1,0.5404814,0.398249453,8.86,0.065943443
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,46,3.34,3.35,1.19,1,1.002994012,0.356287425,7.88,0.092511584
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,47,3.66,2.36,1.58,1,0.644808743,0.431693989,7.6,0.05495005
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,48,5.41,3.4,1.4,1,0.628465804,0.258780037,10.21,0.091568029
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,49,5.59,2.83,1.38,1,0.506261181,0.24686941,9.8,0.097585311
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,50,5.85,3.21,1.46,1,0.548717949,0.24957265,10.52,0.095142734
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,4.28,2.87,1.44,1,0.670560748,0.336448598,8.59,0.073384624
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,4.16,3.28,1.54,1,0.788461538,0.370192308,8.98,0.068483933
