Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Plant label number,Leaf area (cm2),Leaf area (m2),Leaf mass (g),LMA (g/m2)
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,17.896,0.0017896,0.1445,80.7443004
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,10.787,0.0010787,0.1008,93.44581441
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,22.318,0.0022318,0.1416,63.44654539
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,50.546,0.0050546,0.3094,61.21156966
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,28.168,0.0028168,0.1873,66.49389378
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,13.452,0.0013452,0.1432,106.4525721
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,22.483,0.0022483,0.17,75.61268514
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,35.198,0.0035198,0.2795,79.4079209
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,47.074,0.0047074,0.3021,64.17555338
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,34.193,0.0034193,0.1932,56.50279297
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,51.427,0.0051427,0.332,64.55752815
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,39.647,0.0039647,0.2657,67.01641991
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,24.081,0.0024081,0.1603,66.56700303
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,32.454,0.0032454,0.2088,64.33721575
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,37.372,0.0037372,0.2269,60.71390346
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,55.506,0.0055506,0.3199,57.633409
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,51.727,0.0051727,0.4031,77.92835463
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,11.893,0.0011893,0.0773,64.99621626
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,41.697,0.0041697,0.2695,64.63294721
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,13.475,0.0013475,0.0947,70.27829314
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,14.59,0.001459,0.1714,117.4777245
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,31.974,0.0031974,0.2441,76.34327891
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,45.412,0.0045412,0.3173,69.87139963
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,40.662,0.0040662,0.2742,67.43396783
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,42.928,0.0042928,0.2739,63.80450988
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,8.949,0.0008949,0.0831,92.85953738
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,41.459,0.0041459,0.272,65.60698521
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,54.493,0.0054493,0.3107,57.01649753
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,41.222,0.0041222,0.2335,56.64451021
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,30.958,0.0030958,0.2321,74.97254345
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,12.752,0.0012752,0.0937,73.47867001
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,13.242,0.0013242,0.1314,99.22972361
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,39.784,0.0039784,0.2674,67.21294993
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,5,2.2,0.00022,0.0076,34.54545455
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,6,3.363,0.0003363,0.0294,87.42194469
Acacia aspera,Historic,11/24/1984,34 33 00 S,147 43 00 E,-34.55,147.7167,site_at_34.5500_S_and_147.7167_E,7,3.651,0.0003651,0.0195,53.41002465
Acacia aspera,Modern,11/24/2017,34 32 38 S,147 43 49 E,-34.5439,147.7303,site_at_34.5439_S_and_147.7303_E,7,1.463,0.0001463,0.006,41.01161996
Acacia aspera,Modern,11/24/2017,34 32 38 S,147 43 49 E,-34.5439,147.7303,site_at_34.5439_S_and_147.7303_E,8,1.821,0.0001821,0.0099,54.36573311
Acacia aspera,Modern,11/24/2017,34 32 38 S,147 43 49 E,-34.5439,147.7303,site_at_34.5439_S_and_147.7303_E,9,1.622,0.0001622,0.0064,39.45745993
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,11,0.238,2.38E-05,4.00E-04,16.80672269
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,12,0.364,3.64E-05,9.00E-04,24.72527473
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,13,0.287,2.87E-05,0.0014,48.7804878
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,16,0.467,4.67E-05,0.001,21.41327623
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,18,0.381,3.81E-05,0.0013,34.12073491
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,19,0.485,4.85E-05,0.0013,26.80412371
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,20,0.385,3.85E-05,0.0025,64.93506494
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,21,0.374,3.74E-05,6.00E-04,16.04278075
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,23,0.279,2.79E-05,1.00E-04,3.584229391
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,24,0.261,2.61E-05,8.00E-04,30.651341
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,25,0.354,3.54E-05,7.00E-04,19.7740113
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,28,0.272,2.72E-05,9.00E-04,33.08823529
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,29,0.306,3.06E-05,0.0011,35.94771242
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,30,0.259,2.59E-05,1.00E-04,3.861003861
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,32,0.285,2.85E-05,0.0014,49.12280702
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,33,0.308,3.08E-05,0.0016,51.94805195
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,6,0.342,3.42E-05,0.0011,32.16374269
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,7,0.346,3.46E-05,0.0012,34.68208092
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,8,0.269,2.69E-05,1.00E-04,3.717472119
Acacia baileyana,Historic,11/24/1984,34 33 30 S,147 44 00 E,-34.5583,147.7333,site_at_34.5583_S_and_147.7333_E,9,0.307,3.07E-05,4.00E-04,13.02931596
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,1,0.32,3.20E-05,8.00E-04,25
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,10,0.325,3.25E-05,0.0014,43.07692308
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,12,0.277,2.77E-05,0.0011,39.71119134
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,13,0.287,2.87E-05,5.00E-04,17.42160279
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,14,0.313,3.13E-05,0.0016,51.11821086
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,16,0.354,3.54E-05,0.0017,48.02259887
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,18,0.372,3.72E-05,0.0012,32.25806452
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,2,0.297,2.97E-05,0.0012,40.4040404
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,29,0.412,4.12E-05,7.00E-04,16.99029126
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,30,0.229,2.29E-05,1.00E-04,4.366812227
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,32,0.325,3.25E-05,0.001,30.76923077
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,35,0.349,3.49E-05,1.00E-04,2.865329513
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,36,0.352,3.52E-05,0.0016,45.45454545
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,37,0.328,3.28E-05,0.0014,42.68292683
Acacia baileyana,Modern,11/24/2017,34 33 22 S,147 43 49 E,-34.5561,147.7303,site_at_34.5561_S_and_147.7303_E,4,0.248,2.48E-05,0.0013,52.41935484
