Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Replicate,Mass (g),Number of seeds weighed per replicate
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,0.0214,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,0.0161,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,0.0246,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,0.036,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,0.0214,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,0.0321,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,0.018,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,9,0.027,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,0.0207,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,0.0258,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,0.0271,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,0.0158,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,0.0125,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,0.0175,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,16,0.0173,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,0.019,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,18,0.0161,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,0.0152,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,20,0.0244,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,21,0.0224,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,22,0.0236,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,0.0209,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,24,0.0154,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,0.0199,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,26,0.0189,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,27,0.0205,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,28,0.0155,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,29,0.019,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,30,0.021,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,31,0.0268,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,32,0.0119,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,33,0.0202,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,34,0.018,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,35,0.0307,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,36,0.025,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,37,0.0265,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,38,0.0246,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,39,0.0222,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,40,0.0362,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,41,0.0213,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,42,0.0189,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,43,0.0211,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,44,0.0148,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,45,0.0227,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,46,0.0165,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,47,0.0231,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,48,0.0202,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,49,0.0214,1
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,50,0.0179,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,1,0.013,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,2,0.0126,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,3,0.0153,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,4,0.0139,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,5,0.0079,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,6,0.0164,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,7,0.0114,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,8,0.0158,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,9,0.0168,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,10,0.0128,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,11,0.0155,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,12,0.0113,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,13,0.0131,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,14,0.011,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,15,0.0121,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,16,0.015,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,17,0.0148,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,18,0.0107,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,19,0.0092,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,20,0.0134,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,21,0.0183,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,22,0.0131,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,23,0.0176,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,24,0.015,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,25,0.0152,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,26,0.0128,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,27,0.0134,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,28,0.0073,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,29,0.0136,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,30,0.0095,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,31,0.0118,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,32,0.0128,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,33,0.0134,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,34,0.0119,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,35,0.0107,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,36,0.015,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,37,0.0111,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,38,0.0122,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,39,0.0103,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,40,0.0113,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,41,0.0088,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,42,0.013,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,43,0.0133,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,44,0.0139,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,45,0.0094,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,46,0.0129,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,47,0.0124,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,48,0.0111,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,49,0.0121,1
Acacia aneura,Historic,11/5/1971,29 03 00 S,141 51 00 E,-29.05,141.85,site_at_29.0500_S_and_141.8500_E,50,0.0058,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,1,0.0211,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,2,0.0154,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,3,0.0216,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,4,0.0145,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,5,0.0194,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,6,0.0161,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,7,0.0129,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,8,0.0182,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,9,0.0215,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,10,0.0125,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,11,0.0123,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,12,0.0182,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,13,0.0145,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,14,0.0142,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,15,0.014,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,16,0.0154,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,17,0.0165,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,18,0.0102,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,19,0.0122,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,20,0.0155,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,21,0.0089,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,22,0.0096,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,23,0.0173,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,24,0.013,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,25,0.0144,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,26,0.0175,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,27,0.0124,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,28,0.0133,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,29,0.0163,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,30,0.0091,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,31,0.0141,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,32,0.0126,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,33,0.0169,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,34,0.0254,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,35,0.0108,1
Acacia aneura,Modern,10/3/2017,30 00 50 S,145 39 20 E,-30.0139,145.6556,site_at_30.0139_S_and_145.6556_E,36,0.014,1
