Species,Modern/Historic,Date Collected,Latitude (deg min sec S/N),Longitude (deg min sec E/W),latitude (deg),longitude (deg),site,Plant label number,Volume of Stem (mL),Mass of dried stem (g),Stem Density (g/mL)
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,0.108,0.032,0.296296296
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,14,0.0906,0.0238,0.262693157
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,17,0.1076,0.0251,0.233271375
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,12,0.2816,0.083,0.294744318
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,0.1388,0.0425,0.306195965
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,7,0.0965,0.0187,0.193782383
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,0.1084,0.027,0.249077491
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,0.0873,0.0212,0.242840779
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,10,0.0815,0.0205,0.251533742
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,1,0.0928,0.0217,0.233836207
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,4,0.1291,0.0366,0.283501162
Acacia anceps,Historic,11/27/1985,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,15,0.0518,0.0114,0.22007722
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,3,0.0984,0.0277,0.281504065
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,19,0.0675,0.0227,0.336296296
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,13,0.0371,0.0111,0.299191375
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,2,0.1821,0.0479,0.263042284
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,6,0.1376,0.0477,0.346656977
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,11,0.1512,0.0501,0.331349206
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,8,0.0528,0.0207,0.392045455
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,5,0.1138,0.0338,0.297012302
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,25,0.0445,0.0136,0.305617978
Acacia anceps,Modern,12/1/2016,33 59 00 S,135 15 00 E,-33.9833,135.25,site_at_33.9833_S_and_135.2500_E,23,0.1031,0.0242,0.234723569
