veg,spp,sppcode,SLA(cm2/g),H2O(%),thick(mm),size(mm2),FF(N),Tough(N/m),%Lignin,%Hemicell,%Cellulose,%Holocellulose,Lignin (g cm-2),mf_holo,mf_lignin,mf_hemi,mf_cellu,totStrucPoly,lgSLA,lgH2O,lgthick,lgsize,lgFF,lgTough,lgLignin,lgHemiC,lgCellulose,lgHoloC,lgLignin_a
Dry,Acacia suaveolens,Acasua,40.5,43,0.6,320,1.13,1883,21.2,8.2,14.6,22.8,0.0052,0.52,0.48,0.19,0.33,44,1.607,1.633,-0.222,2.505,0.053,3.275,1.326,0.914,1.164,1.358,-2.281
Dry,Allocasuarina distyla,Alldis,18,37.6,1.5,395,2.4,1600,19,12.6,28.5,41.1,0.0106,0.68,0.32,0.21,0.47,60.1,1.255,1.575,0.176,2.597,0.380,3.204,1.279,1.100,1.455,1.614,-1.977
Dry,Angophora hispida,Anghis,42.45,43.1,0.445,2954,2.05,4607,20.4,12.3,16.3,28.6,0.0048,0.58,0.42,0.25,0.33,49,1.628,1.634,-0.352,3.470,0.312,3.663,1.310,1.090,1.212,1.456,-2.318
Dry,Banksia serrata,Banser,38.2,45.8,0.5,1955.5,2.2,4400,23.1,12.3,23.6,35.9,0.0060,0.61,0.39,0.21,0.40,59,1.582,1.661,-0.301,3.291,0.342,3.643,1.364,1.090,1.373,1.555,-2.218
Dry,Caustis recurvata,Caurec,,,,,,,5.1,31.7,25.2,56.9,,0.92,0.08,0.51,0.41,62,,,,,,,0.708,1.501,1.401,1.755,
Dry,Corymbia gummifera,Corgum,43.25,46.75,0.365,2078,1.065,2918,18.4,7.7,12.5,20.2,0.0043,0.52,0.48,0.20,0.32,38.6,1.636,1.670,-0.438,3.318,0.027,3.465,1.265,0.886,1.097,1.305,-2.371
Dry,Eucalyptus haemastoma,Euchae,35.9,46.85,0.5,2635,1.655,3310,17.5,5.4,8.8,14.2,0.0049,0.45,0.55,0.17,0.28,31.7,1.555,1.671,-0.301,3.421,0.219,3.520,1.243,0.732,0.944,1.152,-2.312
Dry,Grevillea buxifolia,Grebux,67.3,55.3,0.37,58.8,0.56,1514,17.4,8.3,20,28.3,0.0026,0.62,0.38,0.18,0.44,45.7,1.828,1.743,-0.432,1.769,-0.252,3.180,1.241,0.919,1.301,1.452,-2.587
Dry,Grevillea sphacelata,Gresph,60.6,46.3,0.4,42,0.7,1750,,,,,,,,,,,1.782,1.666,-0.398,1.623,-0.155,3.243,,,,,
Dry,Hakea teretifolia,Hakter,21.1,56.65,1.99,80.05,2.79,1402,14.6,13.8,28.8,42.6,0.0069,0.74,0.26,0.24,0.50,57.2,1.324,1.753,0.299,1.903,0.446,3.147,1.164,1.140,1.459,1.629,-2.160
