var_name,trait_name,unit
regeneration strategy,regen_strategy,NA
height (m),plant_height,m
LMA (mm2mg-1),specific_leaf_area,mm2/mg
Nmass (%),leaf_N_per_dry_mass,%
leaf size (mm2),leaf_area,mm2
Stem tissue density (mg mm-3),stem_tissue_density,mg/mm3
seed mass (mg),seed_mass,mg
