taxon_name,Plant Genus,Plant Species,Pollinator Order/Family,Pollinator Genus,Pollinator Species,Morphospecies,Region,Publication,source_id,POLLINATOR TRAIT,pollinator_trait_value,METHOD,POLLINATION EVIDENCE,location_name,latitude (deg),longitude (deg)
Banksia menziesii,Banksia,menziesii,Meliphagidae,Anthochaera,carunculata,Red Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Highview Park,-32.107778,115.866944
Banksia menziesii,Banksia,menziesii,Meliphagidae,Anthochaera,lunulata,Western Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Highview Park,-32.107778,115.866944
Banksia menziesii,Banksia,menziesii,Meliphagidae,Phylidonyris,nigra,White-cheeked Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Hepburn Park,-31.819167,115.874722
Banksia menziesii,Banksia,menziesii,Meliphagidae,Phylidonyris,novaehollandiae,New Holland Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Melaleuca_1,-31.674444,115.895556
Banksia menziesii,Banksia,menziesii,Meliphagidae,Lichmera,indistincta,Brown Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia menziesii,Banksia,menziesii,Meliphagidae,Lichenostomus,virescens,Singing Honeyeater,Perth Metropolitan,Frick et al. 2014,Frick_2014,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Sand quarry,-31.751417,115.946861
Banksia menziesii,Banksia,menziesii,Meliphagidae,Acanthorhynchus,superciliosus,Western Spinebill,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia menziesii,Banksia,menziesii,Zosterops,Zosterops,lateralis,Silvereye,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_possible,Silvereye,Observation,"probing inflorescence, contact with stigma, contact with anthers",Melaleuca_1,-31.674444,115.895556
Banksia menziesii,Banksia,menziesii,Psittaculidae,Trichoglossus,haematodus,Rainbow Lorikeet,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,flower_visitor,parrot,Observation,probing inflorescence,Jandakot_1,-32.105,115.868611
Banksia menziesii,Banksia,menziesii,Psittaculidae,Barnardius,zonarius subsp. semitorquatus,Australian Ringneck,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,flower_visitor,parrot,Observation,probing inflorescence,Jandakot_1,-32.105,115.868611
Banksia menziesii,Banksia,menziesii,Apidae,Apis,mellifera,European Honeybee,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,pollination_vector_possible,honeybee,Observation,"probing inflorescence, contact with anthers, assumed pollinator",Highview Park,-32.107778,115.866944
