Location,taxon,GF,Decid/ever,Leaf form,C3C4,Nfixer,leaf lifespan (months),SLA (cm2/g),Leaf size (cm2),Nmass (%),Narea (g/m2),Amass (nmol/g/s),Aarea (micromol/m2/s),Rdmass,Rdarea,transpiration_rate_mmolH20_s-1,NUE,stomatal conductance,ash content (g g-1),ash content (g m-2),lipid content (g g-1),lipid content (g m-2),heat of combustion (kJ g-1),heat of combustion (kJ m-2)
Berrimah,Eucalyptus tetrodonta,T,E,S,C3,No,,63.5,,0.68,1.09,105,16.4,0.007,1.08,26.58,225.53,1.08,0.0243,3.93,0.0446,7.13,17.8,2957.77
Berrimah,Eucalyptus miniata,T,E,S,C3,No,,74,,0.86,1.17,119,16.1,0.0064,0.86,35.11,194.98,1.67,0.0245,3.14,0.0678,11.88,18.71,2500.73
Berrimah,Planchonia careya,T,D,S,C3,No,,90.4,,1.2,1.36,126,14,0.0057,0.62,16.87,185.89,0.62,0.0371,4.13,0.0224,2.54,17.62,1982.96
Berrimah,Terminalia ferdinandiana,T,D,S,C3,No,,107,,1.58,1.48,161,15.6,0.0064,0.6,17.51,141.56,0.75,0.0458,4.26,0.04338,4.04,16.65,1548.1
Berrimah,Syzygium suborbiculare,T,SD,S,C3,No,,87.2,,1.19,1.37,92,10.5,0.0047,0.54,12.99,105.25,0.89,0.048,5.51,0.0329,8.31,17.6,2017.12
