Species,Date,Day,Temp,CO2,Water,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),CiCa,Rdark (umol m-2 s-1),date_carbo,leaf_soluble_sugar_mg_per_g,leaf_soluble_starch_mg_per_g,stem_soluble_sugar_mg_per_g,stem_soluble_starch_mg_per_g,root_soluble_sugar_mg_per_g,root_soluble_starch_mg_per_g,date_biomass,Height (cm),BasalDia1 (mm),BasalDia2 (mm),LA (cm-2),leafDW (g),stemDW (g),rootDW (g),root_shoot_ratio,leaf_area_ratio_cm2_g,specific_leaf_area_cm2_g,sample_day,context
Callitris rhomboidea,NA,NA,Amb,400,Wet,557,NA,NA,NA,NA,NA,NA,NA,26/03/2012,29.9588,8.357142857,28.1137,6.9527897,14.6306,10.64125561,27/03/2012,25,2.56,2.46,151.28,0.9279,0.39228972,0.3958,0.2998053946367648,88.15903629073024,163.03480978553725,,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,640,Wet,642,NA,NA,NA,NA,NA,NA,NA,26/03/2012,28.0678,7.388059701,36.6129,2.381974249,14.0262,4.353658537,27/03/2012,27,2,1.8,105.161,0.9098,0.270586957,0.3374,0.28583846847775696,69.28574495583835,115.58694218509562,,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,640,Wet,657,NA,NA,NA,NA,NA,NA,NA,26/03/2012,34.8466,5.721238938,33.2095,5.071748879,25.0919,4.917391304,27/03/2012,21.3,1.76,1.82,95.935,0.5752,0.205461236,0.2575,0.3298485798006243,92.40857457713822,166.78546592489568,,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,640,Wet,1,NA,NA,NA,NA,NA,NA,NA,26/03/2012,44.8301,12.4057971,48.0765,4.673076923,19.843,4.444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,640,Dry,341,NA,NA,NA,NA,NA,NA,NA,16/10/2012,95.8944,2.233766234,58.4734,2.05,18.6818,2.918552036,16/10/2012,38,3.87,3.9,NA,3.07,1.174487216,1.32,0.31099163051407813,NA,NA,,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,640,Wet,345,NA,NA,NA,NA,NA,NA,NA,16/10/2012,89.4861,13.90540541,22.0301,7.394366197,34.4324,13.09090909,16/10/2012,113.2,13.95,13.29,NA,64.79,NA,28.19,NA,NA,NA,,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,640,Dry,352,NA,NA,NA,NA,NA,NA,NA,16/10/2012,93.9491,4.243243243,49.6953,1.812,32.923,2.871428571,16/10/2012,23.9,2.35,2.48,NA,1.52,0.43,0.5,0.25641025641025644,NA,NA,,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,400,Dry,443,NA,NA,NA,NA,NA,NA,NA,16/10/2012,107.7336,1.225,54.071,1.840909091,22.3147,2.268595041,16/10/2012,25,2.6,2.9,NA,1.97,0.66,0.57,0.21673003802281368,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,400,Dry,447,NA,NA,NA,NA,NA,NA,NA,16/10/2012,84.278,3.510638298,55.3842,2.77826087,21.9167,2.52892562,16/10/2012,33.3,4.6,4.1,NA,1.77,0.691533546,0.56,0.22750045430418847,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,400,Dry,450,NA,NA,NA,NA,NA,NA,NA,16/10/2012,90.1418,3.893023256,49.337,3.552631579,19.4388,3.178082192,16/10/2012,28.5,3,3.1,NA,2.01,0.691432904,0.57,0.21099913277727664,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment
