Site,latitude (deg),longitude (deg),locality,soil
heath,-32.31667,117.8667,Corrigin Nature Reserve,coarse sand of 0.1- to 0.2-m depth over laterite
woodland,-32.31667,117.8667,Corrigin Nature Reserve,sandy loam of 0.1 m over deep clay
mallee,-32.31667,117.8667,Corrigin Nature Reserve,coarse sand 0.8- to 1-m depth over gravel/clay
