leaf_id,tree_id,unique_id,site_location_name,collection_date,genus,species,dry_area,dry_mass,SLA,fresh_area,fresh_SLA,shrinkage,longitude,latitude
Ebax1.1,Ebax1,SAT000808,SATFLB0015,22/11/12,Eucalyptus,baxteri,5419.534,782.5,6.925922045,NA,NA,NA,138.7269537,-34.93342691
Ebax1.2,Ebax1,SAT000808,SATFLB0015,22/11/12,Eucalyptus,baxteri,1877.259,227.5,8.251687912,NA,NA,NA,138.7269537,-34.93342691
Ebax1.3,Ebax1,SAT000808,SATFLB0015,22/11/12,Eucalyptus,baxteri,1075.141,144.2,7.455901526,NA,NA,NA,138.7269537,-34.93342691
Ebax1.4,Ebax1,SAT000808,SATFLB0015,22/11/12,Eucalyptus,baxteri,524.757,85.8,6.116048951,NA,NA,NA,138.7269537,-34.93342691
Ebax1.5,Ebax1,SAT000808,SATFLB0015,22/11/12,Eucalyptus,baxteri,2730.331,397,6.87740806,NA,NA,NA,138.7269537,-34.93342691
Ebax2.1,Ebax2,SAT000085,SATFLB0003,15/8/12,Eucalyptus,baxteri,1626.664,375.2,4.335458422,NA,NA,NA,139.006103,-34.576925
Ebax2.2,Ebax2,SAT000085,SATFLB0003,15/8/12,Eucalyptus,baxteri,2068.99,444.7,4.652552282,NA,NA,NA,139.006103,-34.576925
Ebax2.3,Ebax2,SAT000085,SATFLB0003,15/8/12,Eucalyptus,baxteri,1785.996,371.5,4.807526245,NA,NA,NA,139.006103,-34.576925
Ebax2.4,Ebax2,SAT000085,SATFLB0003,15/8/12,Eucalyptus,baxteri,1802.118,399.3,4.513193088,NA,NA,NA,139.006103,-34.576925
Ebax2.5,Ebax2,SAT000085,SATFLB0003,15/8/12,Eucalyptus,baxteri,2927.54,621.5,4.710442478,NA,NA,NA,139.006103,-34.576925
Ebax3.1,Ebax3,SAT000122,SATKAN0001,21/8/12,Eucalyptus,baxteri,2453.284,695.7,3.526353313,NA,NA,NA,138.261275,-35.60826944
Ebax3.2,Ebax3,SAT000122,SATKAN0001,21/8/12,Eucalyptus,baxteri,2425.159,719.4,3.371085627,NA,NA,NA,138.261275,-35.60826944
Ebax3.3,Ebax3,SAT000122,SATKAN0001,21/8/12,Eucalyptus,baxteri,2251.435,635,3.545566929,NA,NA,NA,138.261275,-35.60826944
Ebax3.4,Ebax3,SAT000122,SATKAN0001,21/8/12,Eucalyptus,baxteri,1402.754,414.4,3.385024131,NA,NA,NA,138.261275,-35.60826944
Ebax3.5,Ebax3,SAT000122,SATKAN0001,21/8/12,Eucalyptus,baxteri,2397.86,706.8,3.392558008,NA,NA,NA,138.261275,-35.60826944
Ecos1.1,Ecos1,SAA008542,SAAKAN0009,27/10/18,Eucalyptus,cosmophylla,1736.771,627,2.769969697,NA,NA,NA,137.324832,-35.943027
