site_location_name,latitude (deg),longitude (deg)
SATFLB0015,-34.93342691,138.7269537
SATFLB0003,-34.576925,139.006103
SATKAN0001,-35.60826944,138.261275
SAAKAN0009,-35.943027,137.324832
SATKAN0002,-35.27211111,138.690175
SAAKAN0006,-35.90062129,136.8960835
SATFLB0027,-35.08308056,138.6790056
SATFLB0001,-34.60900833,138.8613444
SATFLB0012,-34.88076551,138.7082603
SAAKAN0004,-35.722523,136.973145
SAAKAN0003,-35.74408333,137.3340444
SATFLB0026,-34.88775556,138.78705
SATFLB0018,-30.21904444,139.3241306
SATFLB0004,-31.32773611,138.5673306
SATFLB0019,-30.21953056,139.2328694
SATFLB0022,-30.40600556,139.2260583
SATFLB0002,-34.68309722,138.9086
SAAKAN0001,-35.64864444,137.3680278
SATFLB0010,-32.82851134,138.0326702
SAAKAN0011,-35.783373,138.061671
SATFLB0014,-34.00513798,138.9593701
SATFLB0028,-33.55308333,138.3932722
SATFLB0020,-30.25567778,139.2272333
WAITECONRES,-34.9722,138.64143
