Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O,photosynthetic_rate_per_area_saturated,PWUE_2,STRL_m_per_g,Seed location,context
13,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,47.07,0.192,0.37,10.93,12.86,2.21,5.07,81.89,163,1.05,7.492223239,0.04596456,5.48,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
14,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,32.94,0.092,0.35,13.56,17.63,3.43,10.8,NA,NA,NA,NA,NA,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
15,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,43.41,0.131,0.47,12.93,14.03,1.87,7.11,91.49,273,1.03,7.07579273,0.025918655,14.88,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
16,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,8.41,0.12,0.19,13.92,15.1,0.96,10.3,91.45,180,1.04,6.569683908,0.036498244,16.39,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
17,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,7.24,0.211,0.18,12.28,17.18,1.4,11.62,36.61,77,1.04,2.981270358,0.038717797,13.32,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
18,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,23.17,0.161,0.3,8.69,7.84,0.89,4.26,61.8,197,1.04,7.111622555,0.036099607,3.84,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
19,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,10.16,0.109,0.17,13.41,17.26,1.16,6.62,149.86,239,1.05,11.17524236,0.046758336,12.11,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
20,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,13.07,0.159,0.29,11.47,11.33,1.02,5.57,75.56,81,1.08,6.587619878,0.08132864,18.29,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
21,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.66,0.013,NA,23.47,23.61,1.86,16.86,139.92,50.63,1.12,5.961653174,0.117749421,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
22,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,2.02,0.057,NA,14.79,25.93,1.7,8.91,114.87,41,1.19,7.76673428,0.189432543,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
23,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.61,0.055,NA,25.42,28.85,2.8,20.28,1,20.28,1,0.039339103,0.001939798,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
24,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.89,0.051,NA,23.56,27.11,2.02,15.25,6.13,17.35,1.01,0.260186757,0.014996355,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
25,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,1.25,0.052,NA,22.37,22.04,1.08,13.07,155.35,120,1.06,6.944568619,0.057871405,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
26,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,0.61,0.045,NA,27,22.63,1.21,16.79,NA,NA,NA,NA,NA,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
29,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,0.96,0.134,NA,18.15,24.61,1.41,14.11,40.94,19,1.12,2.255647383,0.118718283,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
30,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,1.24,0.097,NA,19.26,22.56,1.51,8.73,37.6,45,1.04,1.952232606,0.043382947,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
31,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,1.25,0.069,NA,23.05,16.66,1.9,9.6,146.22,111,1.06,6.343600868,0.057149557,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
32,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,2.4,0.084,NA,18.99,22.18,1.66,10.23,116.83,160,1.04,6.152185361,0.038451159,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
33,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.58,0.012,NA,28.83,26.95,1.65,16.7,1,12.99,1,0.034686091,0.002670215,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
34,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,2.17,0.04,NA,25.34,28.22,1.88,10.54,150.52,157,1.04,5.940015785,0.037834495,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
35,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.81,0.127,NA,25.56,15.58,0.95,9.22,110.89,97,1.05,4.338419405,0.044725973,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
36,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.68,0.103,NA,22.25,16.14,1.07,8.25,NA,NA,NA,NA,NA,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
37,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,1.2,0.114,NA,19.04,16.58,1.44,8.95,65.74,147,1.02,3.452731092,0.023487967,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
38,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.65,0.178,NA,16.61,11.53,1.72,7,25.91,29,1.05,1.559903672,0.053789782,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
39,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.82,0.044,NA,29.1,25.17,1.18,12.79,120.32,121,1.03,4.134707904,0.03417114,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
40,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,0.66,0.043,NA,30.69,30.65,1.66,15.64,88.73,73.56,1.04,2.891169762,0.039303558,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
41,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,5.59,0.644,0.15,15.85,26.6,1.33,14.48,194.83,121.34,1.1,12.29211356,0.101303062,9.98,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
42,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,4.8,0.618,0.17,17.92,24.25,1.61,14.81,113.19,54.67,1.12,6.31640625,0.115536972,6.06,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
43,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,5.39,0.627,0.14,17.84,28.59,1.8,16.61,NA,NA,NA,NA,NA,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
44,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,5.08,0.513,0.32,18.88,28.91,2.37,14.77,169.26,67.83,1.13,8.965042373,0.132169282,6.45,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
45,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,33.11,0.254,0.65,21.43,27.23,1.76,13.41,318.81,300.27,1.05,14.87680821,0.04954477,4.85,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
46,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,3.41,0.621,0.16,19.65,28.07,1.43,10.64,297.88,166.95,1.09,15.15928753,0.090801363,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
47,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,7.12,0.371,0.33,22.86,29.03,2.32,18.76,294.66,91.14,1.14,12.88976378,0.141428174,10.73,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
48,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,2.35,0.382,0.11,24.31,30.5,2.55,19.03,292.88,129.86,1.09,12.04771699,0.092774657,6.93,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
49,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,6.8,0.447,0.34,20.79,27.93,2.07,15.34,NA,NA,NA,NA,NA,6.59,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
50,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,2.09,0.248,0.14,31.6,34.7,3.13,22.02,235.71,100.02,1.08,7.459177215,0.074576857,7.97,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
51,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,8.82,0.489,0.31,18.89,27.23,1.62,17.18,523.79,257.53,1.11,27.72842774,0.10767067,10.35,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
52,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,2.16,0.445,0.17,21.24,29.23,2.19,15.15,163.83,83.55,1.09,7.713276836,0.092319292,15.22,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
53,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,1.24,0.406,NA,23.16,29.04,1.38,18.38,261.83,65.99,1.17,11.3052677,0.171317892,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
54,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,1.99,0.25,NA,23.33,29.73,1.4,17.51,162.63,47.19,1.15,6.970852979,0.147718859,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
55,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,1.28,0.647,NA,26.43,24.03,0.98,23.61,144.15,68.71,1.08,5.454029512,0.079377522,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
56,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,0.78,0.566,NA,22.59,24.12,1.49,19.8,34.75,75.69,1.02,1.538291279,0.020323574,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
57,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,0.98,0.232,NA,34.73,30.4,2.26,20.24,326.94,261.21,1.04,9.413763317,0.036039062,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
58,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,0.78,0.58,NA,28.58,33.06,1.91,10.71,231.57,60.17,1.14,8.102519244,0.134660449,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
59,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,0.94,0.574,NA,26.25,19.37,0.99,6.89,187.5,102.5,1.07,7.142857143,0.069686411,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
60,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,1.28,0.514,NA,30.04,27.29,1.13,11.73,61.47,47.97,1.04,2.046271638,0.04265732,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
61,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,0.79,0.263,NA,25.12,20.33,1.52,7.99,NA,NA,NA,NA,NA,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
62,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,1.01,0.327,NA,31.17,28.88,1.84,13.33,191.47,291.22,1.02,6.14276548,0.021093213,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
63,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,0.82,0.256,NA,27.22,27.83,2.27,17.56,135.17,282.01,1.02,4.965833946,0.017608716,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
64,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,1.21,0.598,NA,21.61,23.8,1.64,16.25,NA,NA,NA,NA,NA,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
65,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,1.67,0.333,NA,27.51,30.23,1.46,14.72,71.24,380.29,1.01,2.58960378,0.00680955,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
66,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,0.91,0.256,NA,30.31,27.95,1.69,16.71,146.49,282.11,1.02,4.833058397,0.017131822,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
67,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,0.68,0.232,NA,32.51,39.23,3.11,22.45,47.62,158.72,1.01,1.464780068,0.009228705,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
68,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,0.85,0.511,NA,21.12,13.04,1.13,5.25,19.97,115.53,1.01,0.945549242,0.008184448,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
69,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,1.28,0.625,NA,20.67,21.69,1.14,6.12,121.4,132.66,1.04,5.873246251,0.044272925,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
70,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,0.76,0.359,NA,31.47,23.61,1.79,11.66,50.04,125.69,1.01,1.590085796,0.012650854,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
71,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,1.74,0.636,NA,24.03,20.17,1.9,7.39,301.41,239.34,1.05,12.54307116,0.052406916,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
72,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,1.03,0.379,NA,31.49,28.53,1.79,12.97,142.02,317.48,1.01,4.510003176,0.014205629,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G1
73,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,6.54,0.481,0.2,22.16,42.39,4,17.78,209.07,154.52,1.06,9.434566787,0.061057253,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
74,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,4.19,0.574,0.24,20.36,27.92,8,22.53,NA,NA,NA,NA,NA,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
75,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,9.99,0.212,0.31,26.25,39.42,3.39,16.78,329.35,241.93,1.05,12.54666667,0.051860731,NA,"Mareeba, Qld",Nutrient_treatment_Nh_and_grass_treatment_G0
76,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,3.92,0.417,0.09,24.05,32.26,2.71,17.51,NA,NA,NA,NA,NA,5.71,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
77,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,15.03,0.501,0.4,18.64,21.84,1.75,10.96,271.3,381.64,1.04,14.55472103,0.038137305,5.05,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
78,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,5.89,0.621,0.18,20.91,27.93,1.58,14.63,297.84,282.91,1.05,14.24390244,0.050347822,9.84,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
79,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,6.32,0.337,0.18,26.97,32.84,2.04,18.07,387.64,239.95,1.06,14.37300704,0.059900009,8.91,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
80,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,2.02,0.594,0.1,17.55,28.96,2.83,12.13,215.44,172.67,1.07,12.27578348,0.071093899,NA,"Mareeba, Qld",Nutrient_treatment_Nl_and_grass_treatment_G0
121,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,0.84,0.32,0.05,14.06,38.04,2.49,14.15,207.54,153.82,1.1,14.76102418,0.095962971,12.62,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
122,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,2.14,0.211,0.13,8.73,28.23,1.92,16.34,50.39,49.79,1.12,5.772050401,0.115927905,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
123,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,0.99,0.292,0.07,7.74,26.45,2.43,16.87,58.05,85.76,1.09,7.5,0.087453358,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
124,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,4.35,0.416,0.13,6.85,22.89,5.53,16.86,56.35,172.77,1.05,8.226277372,0.047614038,9.37,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
125,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,7.81,0.239,0.2,6.61,25.34,3.25,20.89,80.17,154.21,1.08,12.12859304,0.078649848,12.55,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
126,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,0.64,0.042,0.04,7.06,13.06,0.79,5.74,38.55,41.89,1.13,5.460339943,0.130349485,27.8,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
127,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,2.07,0.18,0.14,10.22,27.37,6.3,24.76,112.25,48.39,1.23,10.98336595,0.226975944,17.19,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
128,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,1.84,0.257,0.1,7.92,20.81,3.52,19.54,185.81,166.01,1.14,23.46085859,0.14132196,8.59,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
129,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,1.85,0.178,0.1,8.18,27.98,4.2,17.96,150.71,148.91,1.12,18.42420538,0.12372712,15,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
130,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,0.92,0.285,0.07,12.69,29.5,7.97,19.96,36.49,31.76,1.09,2.875492514,0.090538177,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
131,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,3.45,0.148,0.17,8.41,25.68,3.94,18.45,81.54,66.49,1.15,9.695600476,0.145820431,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
132,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,2.08,0.255,0.16,6.87,26.07,1.4,17.39,69.48,93.32,1.11,10.11353712,0.108374808,15.65,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
133,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.78,0.266,NA,9.44,39.13,1.94,13.51,40.67,26,1.17,4.308262712,0.165702412,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
134,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.63,0.218,NA,15.92,34.17,1.96,13.81,NA,NA,NA,NA,NA,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
136,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.66,0.27,NA,17.48,41.34,3.02,18.26,41.02,23.9,1.1,2.346681922,0.098187528,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
137,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.71,0.156,NA,12.21,36.66,2.63,18.01,9.12,20.95,1.03,0.746928747,0.035652923,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
138,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.59,0.167,NA,17.93,26.45,1.55,13.56,145.33,74.8,1.11,8.105409927,0.108361095,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
139,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.59,0.287,NA,10.76,29.31,1.74,11.06,76.35,44.78,1.16,7.095724907,0.158457457,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
140,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.6,0.167,NA,14.12,29.68,1.78,15.03,253.01,303.71,1.06,17.91855524,0.058998898,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
141,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.54,0.311,NA,14.47,NA,NA,NA,73.84,68.11,1.08,5.102971666,0.074922503,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
142,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.6,0.144,NA,17.04,30.62,1.92,16.19,48.64,66.23,1.04,2.854460094,0.043099201,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
143,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.66,0.221,NA,15.57,35,4.07,19.21,1,25.65,1,0.064226076,0.002503941,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
144,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.92,0.181,NA,14.13,32.38,3.02,15.91,1,137.99,1,0.070771408,5.13E-04,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
145,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.6,0.276,NA,17.23,32.48,4.4,17.06,1,34.19,1,0.058038305,0.001697523,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
146,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.63,0.133,NA,8.64,43.41,3.88,22.86,12.64,75.09,1.02,1.462962963,0.019482793,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
147,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.64,0.145,NA,15.37,34.51,2.67,19.11,25.65,75.85,1.02,1.668835394,0.022001785,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G1
148,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.57,0.225,NA,10.88,32.37,2.17,8.61,40.12,79.68,1.05,3.6875,0.046278865,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
149,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.55,0.3,NA,14.51,42.22,2.9,8.83,1,44.56,1,0.068917988,0.001546633,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
150,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.64,0.588,NA,11.08,31.89,2.18,8.63,23.99,80.51,1.03,2.165162455,0.026893087,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
151,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.57,0.303,NA,7.42,20.6,2.28,0.48,22.16,89.74,1.03,2.986522911,0.033279729,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
152,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.58,0.278,NA,10.77,19.2,1.28,6.75,8.47,63.41,1.01,0.786443825,0.012402521,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G1
153,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,2.55,0.174,0.12,6.85,20.81,4.91,19.09,15.72,NA,NA,2.294890511,NA,15.56,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
154,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,2.32,0.394,0.07,8.51,33.98,1.84,15.35,71.89,137.97,1.06,8.447708578,0.06122859,NA,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
155,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,7.54,0.307,0.16,7.73,31.06,3.34,16.54,NA,NA,NA,NA,NA,4.9,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
