site,latitude (deg),longitude (deg),elevation (m)
1000m,-36.3751355,148.5769761,928.76
1200m,-36.3503691,148.5652756,1207.03
1400m,-36.3500334,148.5217234,1466.79
1600m,-36.3751439,148.48223,1640.46
1800m,-36.4328246,148.3273593,1851.52
2000m,-36.4433784,148.3232188,1993.79
