Ecosystem,species records,R+,S+,resp.type,Conserved R+,Conserved S+,Genus number,Genus,Family,Family number
Grassland,Abelmoschus,X,X,X,Conserved,Strongly Conserved,1,Abelmoschus,Malv,70
Grassland,Abelmoschus_ficulneus,no,yes,Killed,Conserved,Strongly Conserved,1,Abelmoschus,Malv,70
Grassland,Abelmoschus_moschatus,yes,yes,Basal,Conserved,Strongly Conserved,1,Abelmoschus,Malv,70
Eucalypt Forest,Abrophyllum_ornans,X,X,X,Unknown,Unknown,2,Abrophyllum,Rous,111
Acacia Shrublands,Abutilon,X,X,X,Unknown,Conserved,3,Abutilon,Malv,70
Acacia Shrublands,Abutilon_albescens,X,X,X,Unknown,Conserved,3,Abutilon,Malv,70
Savanna,Abutilon_grandifolium,no,yes,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Grassland,Abutilon_hannii,no,yes,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Grassland,Abutilon_malvifolium,X,X,X,Unknown,Conserved,3,Abutilon,Malv,70
Acacia Shrublands,Abutilon_nobile,X,X,X,Unknown,Conserved,3,Abutilon,Malv,70
Grassland,Abutilon_otocarpum,no,yes,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Acacia Shrublands,Abutilon_oxycarpum,no,no,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Eucalypt Forest,Abutilon_oxycarpum,no,yes,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Acacia Shrublands,Abutilon_oxycarpum_forma_oxycarpum,no,no,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Acacia Shrublands,Abutilon_oxycarpum_var._oxycarpum,no,no,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Acacia Shrublands,Abutilon_oxycarpum_var._subsagittatum,no,no,Killed,Unknown,Conserved,3,Abutilon,Malv,70
Eucalypt Forest,Abutilon_tubulosum,X,X,X,Unknown,Conserved,3,Abutilon,Malv,70
Spinifex Grassland,Acacia_abbreviata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_acanthoclada,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_acradenia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_aculeatissima,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_adsurgens,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_alata,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_alleniana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_alpina,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_amblygona,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_ammobia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_ancistrocarpa,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_aneura,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_applanata,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_assimilis_subsp._atroviridis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_aulacocarpa,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
