location_name,latitude (deg),longitude (deg),locality,state
unknown,NA,NA,NA,NA
10 km ESE Angas Downs HS,-25.083611,132.350278,"10 km ESE Angas Downs HS, NT",NT
11 km ENE of Anketell HS,-28.033611,118.850278,"11 km ENE of Anketell HS, WA",WA
12 km E of Eurardy HS,-27.566944,114.666944,"12 km E of Eurardy HS, WA",WA
12km N of Alice Springs,-22.866944,113.866944,"12km N of Alice Springs, NT",NT
"2 km WSW Muggan RH, 158 km SW Warburton",-27.000278,125.316944,"2 km WSW Muggan RH, 158 km SW Warburton, WA",WA
22 km W. Morven,-26.416944,146.550278,"22 km W. Morven, QLD",QLD
32 km S of Kimba,-33.333611,136.583611,"32 km S of Kimba, SA",SA
50 km E Quilpie,-26.616944,144.733611,"50 km E Quilpie, QLD",QLD
66 km W of Amata (Musgrave Pk),-29.150278,130.816944,"66 km W of Amata (Musgrave Pk), SA",SA
"8 km WSW Manunda RH, 130 km SW Warburton",-26.883611,125.583611,"8 km WSW Manunda RH, 130 km SW Warburton, WA",WA
85 km NNE of Neale Junction,-28.783611,126.116944,"85 km NNE of Neale Junction, WA",WA
Adelaide Botanic Garden,-34.920272,138.611011,"Adelaide Botanic Garden, SA",SA
"Adelaide, Kingston Park",-34.9317,138.5824,"Adelaide, Kingston Park, SA",SA
Aldinga Beach,-35.293366,138.456561,"Aldinga Beach, SA",SA
Aldinga Scrub,-35.290826,138.450755,"Aldinga Scrub, SA",SA
Aldinga Scrub Conservation Park,-35.290826,138.450755,"Aldinga Scrub Conservation Park, SA",SA
Amata,-26.15,130.3386,"Amata, WA",WA
Anketell,-27.9872,118.9508,"Anketell, WA",WA
Anketell Road and Forrestdale Lake,-32.16571,115.865003,"Anketell Road and Forrestdale Lake, WA",WA
Aroona Dam,-30.589899,138.356753,"Aroona Dam, SA",SA
Atherton,-17.000278,145.083611,"Atherton, QLD",QLD
Attadale,-32.0166,115.8,"Attadale, WA",WA
Australian National Botanic Gardens,-35.278878,149.108918,"Australian National Botanic Gardens, ACT",ACT
"Awakabel Reserve, Newcastle",-33.003376,151.675743,"Awakabel Reserve, Newcastle, NSW",NSW
"Balmain East, Sydney",-33.857149,151.19246,"Balmain East, Sydney, NSW",NSW
"Balmain East, Sydney, New South Wales",-33.857149,151.19246,"Balmain East, Sydney, New South Wales, NSW",NSW
Banjawarn HS,-27.7666,121.6833,"Banjawarn HS, WA",WA
Barrabiddy Creek,-24.0333,114.0333,"Barrabiddy Creek, WA",WA
Bejoording,-31.38,116.53,"Bejoording, WA",WA
Belair National Park,-35.008008,138.63644,"Belair National Park, SA",SA
Belair Recreation Park,-35.008008,138.63644,"Belair Recreation Park, SA",SA
"Bell, Mount",-17.1541,125.3,"Bell, Mount, WA",WA
Beyondie - WA - -24.7055,-24.7055,120.2558,"Beyondie, WA",WA
Beyondie - WA - -24.7622,-24.7622,120.105,"Beyondie, WA",WA
Bickley,-32.0166,116.1,"Bickley, WA",WA
Bickley Brook Reservoir,-32.0333,116.0333,"Bickley Brook Reservoir, WA",WA
Bickley Reserve,-32.0166,116.0333,"Bickley Reserve, WA",WA
"Big Swamp, Bunbury",-33.340485,115.631561,"Big Swamp, Bunbury, WA",WA
Billan Ballan Rockhole,-21.8458,120.9778,"Billan Ballan Rockhole, WA",WA
"Black Mountain, Canberra",-35.280432,149.076181,"Black Mountain, Canberra, ACT",ACT
Blewitt Springs,-35.17269,138.59019,"Blewitt Springs, SA",SA
"Blue Gum Swamp, Winmalee, Blue Mountains",-33.649207,150.606791,"Blue Gum Swamp, Winmalee, Blue Mountains, NSW",NSW
Blue Mountains,-33.617564,150.455907,"Blue Mountains, NSW",NSW
Blue Mountains National Park,-33.617564,150.455907,"Blue Mountains National Park, NSW",NSW
Bon Bon Station,-30.525,135.5917,"Bon Bon Station, SA",SA
Boolagoorda - WA - -26.4,-26.4,114.15,"Boolagoorda, WA",WA
Boolagoorda - WA - -26.4080,-26.408,114.1828,"Boolagoorda, WA",WA
Boologooro,-24.2733,114.0308,"Boologooro, WA",WA
Brisbane Ranges NP,-37.865,144.214722,"Brisbane Ranges NP, VIC",VIC
Brisbane Ranges National Park,-37.872505,144.165805,"Brisbane Ranges National Park, VIC",VIC
Broadwater Lake - WA - -27.3333,-27.3333,151.1,"Broadwater Lake, WA",WA
Broadwater Lake - WA - -27.3500,-27.35,151.1,"Broadwater Lake, WA",WA
Broome Bird Observatory,-17.983611,120.366944,"Broome Bird Observatory, WA",WA
Broomehill,-33.85,117.6333,"Broomehill, WA",WA
Bullfinch - WA - -30.7147,-30.7147,119.1144,"Bullfinch, WA",WA
Bullfinch - WA - -30.7775,-30.7775,119.1144,"Bullfinch, WA",WA
Bullfinch - WA - -30.7833,-30.7833,119.1167,"Bullfinch, WA",WA
Bullfinch - WA - -30.7866,-30.7866,119.1144,"Bullfinch, WA",WA
Bungawalbin Nature Reserve,-29.12141,153.139887,"Bungawalbin Nature Reserve, NSW",NSW
Burnabinmah,-28.77297,117.33816,"Burnabinmah, WA",WA
Campbelltown,-34.0747,150.8247,"Campbelltown, WA",WA
Canning Stock Route,-25.409103000000002,120.955632,"Canning Stock Route, WA",WA
Carnac Island,-32.1166,115.65,"Carnac Island, WA",WA
Carnarvon,-24.8913,113.6583,"Carnarvon, WA",WA
"Chandler Block, Ashendon",-32.274659,116.148736,"Chandler Block, Ashendon, WA",WA
Chiltern-Mount Pilot National Park,-36.252077,146.668328,"Chiltern-Mount Pilot National Park, VIC",VIC
Clarendon - SA - -35.08596,-35.08596,138.62964,"Clarendon, SA",SA
Clarendon - SA - -35.098289,-35.098289,138.650336,"Clarendon, SA",SA
Coalseam Conservation Area,-29.4166,117.2833,"Coalseam Conservation Area, WA",WA
Comet Vale,-29.9019,121.2411,"Comet Vale, WA",WA
Comet Vale Siding - WA - -29.9019,-29.9019,121.2411,"Comet Vale Siding, WA",WA
Comet Vale Siding - WA - -29.9188,-29.9188,121.1539,"Comet Vale Siding, WA",WA
Coolgardie - WA - -30.0833,-30.0833,120.7,"Coolgardie, WA",WA
Coolgardie - WA - -30.95,-30.95,121.15,"Coolgardie, WA",WA
Coolgardie - WA - -31.10482,-31.10482,120.7139,"Coolgardie, WA",WA
Coolgardie - WA - -31.1088,-31.1088,120.7258,"Coolgardie, WA",WA
Coolgardie - WA - -31.9833,-31.9833,120.7258,"Coolgardie, WA",WA
Coral Bay,-23.1333,113.7667,"Coral Bay, WA",WA
Coranderrk Reserve,-37.688979,145.507944,"Coranderrk Reserve, VIC",VIC
Cosmo Newbery Mission,-27.9333,123.0833,"Cosmo Newbery Mission, WA",WA
Cottesloe - WA - -31.9833,-31.9833,115.75,"Cottesloe, WA",WA
Cottesloe - WA - -32,-32,115.75,"Cottesloe, WA",WA
Creyk Park,-32.132123,116.011848,"Creyk Park, WA",WA
Croajingolong NP,-37.646944,149.355556,"Croajingolong NP, VIC",VIC
Cromer Conservation Park 3,-34.783611,138.983611,"Cromer Conservation Park 3, SA",SA
"Cronin, Lake",-32.3866,119.7633,"Cronin, Lake, WA",WA
Cudlee Creek,-34.8877,138.8229,"Cudlee Creek, SA",SA
Cue,-27.4333,117.9,"Cue, WA",WA
Dandenong Ranges NP,-37.801389,145.381944,"Dandenong Ranges NP, VIC",VIC
