species,population,individual,leaf_width_mm,leaf_length_mm,leaf_hairs_adult,leaf_shape,latitude,longitude,region,latitude (deg),longitude (deg)
Pultenaea juniperina,1,1,1.914,4.688,1,broadly_lanceolate,-43  1 54.949,147 55 2.894,Tasman Peninsula,-43.0319303,147.9174706
Pultenaea juniperina,1,2,1.938,5.39,1,broadly_lanceolate,-43  1 54.265,147 55 3.326,Tasman Peninsula,-43.0317403,147.9175906
Pultenaea juniperina,1,3,2.786,6.192,1,broadly_lanceolate,-43  1 55.233,147 55 3.914,Tasman Peninsula,-43.0320092,147.9177539
Pultenaea juniperina,1,4,2.138,6.026,1,broadly_lanceolate,-43  1 55.266,147 55 3.782,Tasman Peninsula,-43.0320183,147.9177172
Pultenaea juniperina,1,5,2.204,6.114,1,broadly_lanceolate,-43  1 53.989,147 55 5.443,Tasman Peninsula,-43.0316636,147.9181786
Pultenaea juniperina,1,6,1.94,6.166,1,broadly_lanceolate,-43  1 55.150,147 55 2.101,Tasman Peninsula,-43.0319861,147.9172503
Pultenaea juniperina,1,7,2.042,5.6,1,broadly_lanceolate,-43  1 54.665,147 55 1.917,Tasman Peninsula,-43.0318514,147.9171992
Pultenaea juniperina,1,8,2.562,5.648,1,broadly_lanceolate,-43  1 54.056,147 55 1.069,Tasman Peninsula,-43.0316822,147.9169636
Pultenaea juniperina,1,9,1.826,4.93,1,broadly_lanceolate,-43  1 53.697,147 55 1.417,Tasman Peninsula,-43.0315825,147.9170603
Pultenaea juniperina,1,10,2.096,5.856,1,broadly_lanceolate,-43  1 53.201,147 55 2.647,Tasman Peninsula,-43.0314447,147.9174019
Pultenaea juniperina,2,1,0.832,6.982,1,lanceolate,-42 54 14.202,147 17 24.961,Hobart,-42.903945,147.2902669
Pultenaea juniperina,2,2,1.2704,10.048,1,lanceolate,-42 54 14.524,147 17 25.668,Hobart,-42.9040344,147.2904633
Pultenaea juniperina,2,3,1.29,10.338,1,lanceolate,-42 54 14.588,147 17 26.153,Hobart,-42.9040522,147.2905981
Pultenaea juniperina,2,4,0.982,8.896,1,lanceolate,-42 54 14.522,147 17 26.638,Hobart,-42.9040339,147.2907328
Pultenaea juniperina,2,5,1.734,12.2,1,lanceolate,-42 54 13.582,147 17 26.633,Hobart,-42.9037728,147.2907314
Pultenaea juniperina,2,6,0.914,8.242,1,lanceolate,-42 54 12.999,147 17 26.322,Hobart,-42.9036108,147.290645
Pultenaea juniperina,2,7,1.074,10.228,1,lanceolate,-42 54 12.482,147 17 25.570,Hobart,-42.9034672,147.2904361
Pultenaea juniperina,2,8,0.996,8.24,1,lanceolate,-42 54 12.321,147 17 25.305,Hobart,-42.9034225,147.2903625
Pultenaea juniperina,2,9,1.004,8.06,1,lanceolate,-42 54 12.452,147 17 24.864,Hobart,-42.9034589,147.29024
Pultenaea juniperina,2,10,1.076,7.874,1,lanceolate,-42 54 12.809,147 17 24.557,Hobart,-42.9035581,147.2901547
Pultenaea juniperina,3,1,0.974,7.53,1,lanceolate,-42 36 34.210,147 52 54.358,Three Thumbs lookout,-42.6095028,147.8817661
Pultenaea juniperina,3,2,1.034,6.81,1,lanceolate,-42 36 34.210,147 52 54.358,Three Thumbs lookout,-42.6095028,147.8817661
Pultenaea juniperina,3,3,0.898,6.634,1,lanceolate,-42 36 34.210,147 52 54.358,Three Thumbs lookout,-42.6095028,147.8817661
Pultenaea juniperina,3,4,0.792,6.572,1,lanceolate,-42 36 34.210,147 52 54.358,Three Thumbs lookout,-42.6095028,147.8817661
Pultenaea juniperina,3,5,0.992,7.358,1,lanceolate,-42 36 34.210,147 52 54.358,Three Thumbs lookout,-42.6095028,147.8817661
