site_name,species_name,Name,Location,MAT,PPT,Alt,Status,Family,Genus,Species,Sppcode,GF,Dec/Ever,Lf type,C3C4,Nfixer,#_spp,LL,SLA,Lf size,Thick,H2O,DM/FM(g/g),Kmass,Karea,Nmass,Narea,Pmass,Parea,Amass_max,Aarea_max,Gs_max_mmol_m2_s,Rdmass,Rdarea,Ca-Ci,Ci,Gs_mean_mmol_m2_s,Ci/Ca av,Ci/Ca max
Melaleuca Park Conservation Area,Adenanthos cygnorum,Veneklaas,W_Australia,18.2,740,15,Native,Proteaceae,Adenanthos,cygnorum,1,S,E,needle,C3,N,30,40,43,NA,NA,0.56,0.44,NA,NA,0.79,1.8,NA,NA,66,13.8,326,4.4,1,67.5,297.5,209,0.726,0.815
Melaleuca Park Conservation Area,Andersonia heterophylla,Veneklaas,W_Australia,18.2,740,15,Native,Epacridaceae,Andersonia,heterophylla,2,S,E,needle,C3,N,30,10.8,38.7,NA,NA,0.48,0.52,NA,NA,0.94,2.4,NA,NA,35.8,8.4,335,12,3.1,67.9,297.1,185,0.789,0.814
Melaleuca Park Conservation Area,Astroloma xerophyllum,Veneklaas,W_Australia,18.2,740,15,Native,Epacridaceae,Astroloma,xerophyllum,3,S,E,broad,C3,N,30,8.6,44.8,NA,NA,0.44,0.56,NA,NA,0.98,2.2,NA,NA,49.1,9.7,200,7.2,1.6,67.9,297.1,171,0.756,0.814
Melaleuca Park Conservation Area,Banksia attenuata,Veneklaas,W_Australia,18.2,740,15,Native,Proteaceae,Banksia,attenuata,4,T,E,broad,C3,N,30,29.8,35.2,NA,NA,0.47,0.53,NA,NA,0.81,2.3,NA,NA,99.1,26.2,452,6.3,1.8,119,246,344,0.648,0.674
Melaleuca Park Conservation Area,Banksia menziesii,Veneklaas,W_Australia,18.2,740,15,Native,Proteaceae,Banksia,menziesii,5,T,E,broad,C3,N,30,38,31,NA,NA,0.48,0.52,NA,NA,0.8,2.6,NA,NA,62.5,18.5,391,5.6,1.8,86.5,278.5,291,0.659,0.763
Melaleuca Park Conservation Area,Bossiaea eriocarpa,Veneklaas,W_Australia,18.2,740,15,Native,Fabaceae,Bossiaea,eriocarpa,6,S,E,broad,C3,Y,30,16.3,49.6,NA,NA,0.49,0.51,NA,NA,1.89,3.8,NA,NA,92.3,18.8,402,9.2,1.9,93.8,271.2,277,0.675,0.743
Melaleuca Park Conservation Area,Calytrix flavescens,Veneklaas,W_Australia,18.2,740,15,Native,Myrtaceae,Calytrix,flavescens,7,S,E,needle,C3,N,30,27.5,41.9,NA,NA,0.45,0.55,NA,NA,1.03,2.5,NA,NA,52.7,14.4,352,7.7,1.8,81,284,208,0.733,0.778
Melaleuca Park Conservation Area,Conostephium pendulum,Veneklaas,W_Australia,18.2,740,15,Native,Epacridaceae,Conostephium,pendulum,8,S,E,broad,C3,N,30,27.1,46.2,NA,NA,0.44,0.56,NA,NA,0.91,2,NA,NA,50.1,11,495,8.4,1.8,64.2,300.8,294,0.802,0.824
Melaleuca Park Conservation Area,Eremaea pauciflora,Veneklaas,W_Australia,18.2,740,15,Native,Myrtaceae,Eremaea,pauciflora,9,S,E,needle,C3,N,30,14,50.3,NA,NA,0.5,0.5,NA,NA,1.16,2.3,NA,NA,59.6,14.1,283,9,1.8,93.4,271.6,194,0.711,0.744
Melaleuca Park Conservation Area,Hibbertia huegelii,Veneklaas,W_Australia,18.2,740,15,Native,Dilleniaceae,Hibbertia,huegelii,10,S,E,broad,C3,N,30,14.8,54.7,NA,NA,0.65,0.35,NA,NA,1.1,2,NA,NA,74.8,12.9,210,5.9,1.1,100.4,264.6,147,0.645,0.725
