species,root_type,remove
Daviesia brevifolia,cord_roots,retain
Daviesia debilior,cord_roots,retain
Daviesia decurrens,cord_roots,x
Daviesia euphorbioides,cord_roots,retain
Daviesia gracilis,cord_roots,x
Daviesia hakeoides subsp. hakeoides,cord_roots,retain
Daviesia hakeoides subsp. subnuda,cord_roots,retain
Daviesia incrassata,cord_roots,retain
Daviesia inflata,cord_roots,retain
Daviesia mesophylla,cord_roots,retain
Daviesia obtusifolia,cord_roots,retain
Daviesia physodes,cord_roots,x
Daviesia podophylla,cord_roots,x
Daviesia preissii,cord_roots,retain
Daviesia quadrilatera,cord_roots,retain
Daviesia triflora,cord_roots,retain
Daviesia alata,unistelar_roots,retain
Daviesia anceps,unistelar_roots,x
Daviesia arenaria,unistelar_roots,retain
Daviesia cordata,unistelar_roots,x
Daviesia costata,unistelar_roots,retain
Daviesia croniniana,unistelar_roots,retain
Daviesia divaricata,unistelar_roots,x
Daviesia epiphyllum,unistelar_roots,x
Daviesia genistifolia,unistelar_roots,x
Daviesia grahamii,unistelar_roots,retain
Daviesia horrida,unistelar_roots,retain
Daviesia lancifolia,unistelar_roots,retain
Daviesia latifolia,unistelar_roots,x
Daviesia leptophylla,unistelar_roots,x
Daviesia longifolia,unistelar_roots,retain
Daviesia mimosoides,unistelar_roots,x
Daviesia mollis,unistelar_roots,x
Daviesia nudiflora,unistelar_roots,retain
Daviesia obovata,unistelar_roots,x
Daviesia pachyloma,unistelar_roots,x
Daviesia pectinata,unistelar_roots,retain
Daviesia pedunculata,unistelar_roots,retain
Daviesia rhombifolia,unistelar_roots,x
Daviesia squarrosa,unistelar_roots,retain
Daviesia teretifolia,unistelar_roots,x
Daviesia ulcifolia,unistelar_roots,retain
Daviesia wyattiana,unistelar_roots,x
