Plant genus,Plant species,Plant scientific name,Plant family,Animal species binomial name,Animal genus,Animal subgenus,Animal species,Animal family,Animal subfamily,Animal common name,Animal class,Animal order,No. of visitors,Location - State,Nearest named place,Latitude (S),Longitude (E),Date,Month,Year,Reference,Dataset_ID,"Observation type (Observational (O), Survey (S), Experimental (E ), Pollen-grains only (P), DNA (D))","Taxanomic verfication (1, 0)","Physical speciman (1, 0)","Photo (1, 0)","Geographic location (1, 0)","Date of collection (1, 0)","No visitors recorded (0,1)",Comments,Pollinator match column,Pollinator match value,location_name,Pollinator taxon name
Acacia,aciphylla,Acacia aciphylla ,Mimosaceae,Leioproctus cyanescens,Leioproctus,,cyanescens,Colletidae,Neopasiphaeinae,,Insecta ,Hymenoptera,,WA,30 km N of Bullfinch,30.58,119.06,7/9/1979,Sep,1979,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):112,Animal family,Colletidae,30 km N of Bullfinch,Leioproctus cyanescens
Acacia,ampliceps,Acacia ampliceps ,Mimosaceae,Mythimna loreyimina,Mythimna,,loreyimina,Noctuidae,Noctuinae,Noctuid moth,Insecta ,Lepidoptera,,WA,Fortescue River estuary,22.24,119.2,15/6/1988,Jun,1988,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):156,Animal order,Lepidoptera,Fortescue River Estuary_1,Mythimna loreyimina
Acacia,ampliceps,Acacia ampliceps ,Mimosaceae,Pyralidae sp.,,,,Pyralidae,,Pyralid moth ,Insecta ,Lepidoptera,,WA,Fortescue River estuary,22.24,119.2,15/6/1988,Jun,1988,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):156,Animal order,Lepidoptera,Fortescue River Estuary_1,Pyralidae sp.
Acacia,aneura,Acacia aneura ,Mimosaceae,Acanthagenys rufogularis,Acanthagenys,,rufogularis,Meliphagidae,Meliphaginae,Spiny-cheeked Honeyeater,Aves,Passeriformes,,WA,Erlistoun Station,28.19,122.09,15/5/1980,May,1980,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):255,Animal family,Meliphagidae,Erlistoun Station,Acanthagenys rufogularis
Acacia,aneura,Acacia aneura ,Mimosaceae,Conopophila whitei,Conopophila,,whitei,Meliphagidae,Meliphaginae,Grey honeyeater,Aves,Passeriformes,,WA,Wanjarri,27.25,120.4,,,,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,0,0,Reference in Brown et al. (1997):169,Animal family,Meliphagidae,Wanjarri,Conopophila whitei
Acacia,aneura,Acacia aneura ,Mimosaceae,Hylaeus elegans,Hylaeus,Euprosopis,elegans,Colletidae,Hylaeinae,Hylaeine bee,Insecta ,Hymenoptera,,WA,37 km SW of Youanmi,28.27,118.18,13/3/1982,Mar,1982,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):111,Animal family,Colletidae,37 km SW of Youanmi,Hylaeus elegans
Acacia,aneura,Acacia aneura ,Mimosaceae,Phylidonyris albifrons,Phylidonyris,,albifrons,Meliphagidae,Meliphaginae,White-fronted Honeyeater,Aves,Passeriformes,,WA,Wanjarri,27.25,120.4,15/5/1980,May,1980,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):255,Animal family,Meliphagidae,Wanjarri,Phylidonyris albifrons
Acacia,blakelyi,Acacia blakelyi ,Mimosaceae,Ctenocolletes nicholsoni,Ctenocolletes,,nicholsoni,Stenotritidae,,Stenotritid bee,Insecta ,Hymenoptera,,WA,12 km NNE of Eurardy HS,27.34,114.24,19/8/1980,Aug,1980,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):113,Animal family,Stenotritidae,12 km NNE of Eurardy HS,Ctenocolletes nicholsoni
Acacia,celastrifolia,Acacia celastrifolia ,Mimosaceae,Lichenostomus ornatus,Lichenostomus,,ornatus,Meliphagidae,Meliphaginae,Yellow-plumed Honeyeater,Aves,Passeriformes,,WA,,,,,,,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,0,0,0,Reference in Brown et al. (1997):189,Animal family,Meliphagidae,unknown,Lichenostomus ornatus
Acacia,celastrifolia,Acacia celastrifolia ,Mimosaceae,Zosterops lateralis,Zosterops,,lateralis,Zosteropidae,,Silvereye,Aves,Passeriformes,,WA,Culeenup Island Yunderup,32.35,115.47,15/9/1974,Sep,1974,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):131,Animal family,Zosteropidae,Culeenup Island Yunderup_1,Zosterops lateralis
Acacia,celastrifolia,Acacia celastrifolia ,Mimosaceae,Zosterops lateralis,Zosterops,,lateralis,Zosteropidae,,Silvereye,Aves,Passeriformes,,WA,,,,,,,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,0,0,0,Reference in Brown et al. (1997):189,Animal family,Zosteropidae,unknown,Zosterops lateralis
Acacia,ligulata,Acacia ligulata ,Mimosaceae,Ctenocolletes centralis,Ctenocolletes,,centralis,Stenotritidae,,Stenotritid bee,Insecta ,Hymenoptera,,WA,115 km E of Wiluna,26.2,118.57,29/7/1983,Jul,1983,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):117,Animal family,Stenotritidae,115 km E of Wiluna_1,Ctenocolletes centralis
Acacia,ligulata,Acacia ligulata ,Mimosaceae,Leioproctus cyanescens,Leioproctus,,cyanescens,Colletidae,Neopasiphaeinae,,Insecta ,Hymenoptera,,WA,53 km E of Hyden,32.27,119.25,9/10/1979,Oct,1979,"Brown, E., Burbidge, A., Dell, J., Edinger, D., Hopper, S., & Wills, R. (1997). Pollination in Western Australia – A Database of Animals Visiting Flowers (Vol. 15). Perth: WA Naturalist's Club.",S14,O,1,0,0,1,1,0,Reference in Brown et al. (1997):112,Animal family,Colletidae,53 km E of Hyden,Leioproctus cyanescens
