location_name,latitude (deg),longitude (deg),locality,state
11 km SE of Moffettah Well,-24.17,120.17,"11 km SE of Moffettah Well, WA",WA
11 km SSE of Derby_1,-17.21,123.1,"11 km SSE of Derby, WA",WA
11 km SSE of Derby_2,-17.21,123.4,"11 km SSE of Derby, WA",WA
11 km W of Coolgardie,-30.57,120.4,"11 km W of Coolgardie, WA",WA
11 km W of Mt Barker,-34.38,117.4,"11 km W of Mt Barker, WA",WA
11 kmNE of Halls Creek,-18.08,127.23,"11 kmNE of Halls Creek, WA",WA
11 kmNE of Karratha,-20.44,116.51,"11 kmNE of Karratha, WA",WA
115 km E of Wiluna_1,-26.2,118.57,"115 km E of Wiluna, WA",WA
115 km E of Wiluna_2,-26.21,118.57,"115 km E of Wiluna, WA",WA
12 km E of Broome,-17.58,122.15,"12 km E of Broome, WA",WA
12 km N of Galena Bridge,-27.45,114.41,"12 km N of Galena Bridge, WA",WA
12 km N of Lake Barlee,-29.18,119.13,"12 km N of Lake Barlee, WA",WA
12 km N of Murchison River crossing,-27.42,114.41,"12 km N of Murchison River crossing, WA",WA
12 km NNE of Eurardy HS,-27.34,114.24,"12 km NNE of Eurardy HS, WA",WA
12 km NW of Murchison River crossing,-26.07,114.41,"12 km NW of Murchison River crossing, WA",WA
12 km SE of Ravensthorpe,-33.37,120.05,"12 km SE of Ravensthorpe, WA",WA
12 km SW of Boddington,-32.5,116.25,"12 km SW of Boddington, WA",WA
12 km W of Coolgardie_1,-30.57,121.04,"12 km W of Coolgardie, WA",WA
12 km W of Coolgardie_2,-30.57,121.05,"12 km W of Coolgardie, WA",WA
12 km WNW of Harvey,-33.05,115.53,"12 km WNW of Harvey, WA",WA
12.5 km ENE of Anketell HS,-28.02,118.51,"12.5 km ENE of Anketell HS, WA",WA
13 km ENE of Warriedar HS,-29.05,117.1,"13 km ENE of Warriedar HS, WA",WA
13 km NNE of Meekatharra,-26.35,118.29,"13 km NNE of Meekatharra, WA",WA
13 km NW of Carranya_1,-19.1,127.4,"13 km NW of Carranya, WA",WA
13 km NW of Carranya_2,-19.14,127.4,"13 km NW of Carranya, WA",WA
13 km S of Carnarvon,-24.59,113.4,"13 km S of Carnarvon, WA",WA
13 km S of Wannoo,-26.49,114.37,"13 km S of Wannoo, WA",WA
13 km W of Wialki,-30.29,118.02,"13 km W of Wialki, WA",WA
133 km S of Newman,-24.45,119.36,"133 km S of Newman, WA",WA
14 km S of Wyndham,-15.32,128.1,"14 km S of Wyndham, WA",WA
14 km SSW of Mt Jackson,-30.15,119.16,"14 km SSW of Mt Jackson, WA",WA
14 km SW of Cooma Well,-24.11,120.15,"14 km SW of Cooma Well, WA",WA
144 km NW of Wittenoom,-21.37,117.36,"144 km NW of Wittenoom, WA",WA
15 km E of Jerramungup,-33.55,119.05,"15 km E of Jerramungup, WA",WA
15 km N of Pindar,-28.28,115.47,"15 km N of Pindar, WA",WA
15 km NNE of Neale Junction,-28.08,125.31,"15 km NNE of Neale Junction, WA",WA
15 km NW of South Stirling,-34.28,118.07,"15 km NW of South Stirling, WA",WA
15 km S of Yallingup,-33.39,115.02,"15 km S of Yallingup, WA",WA
15 km S of Yellowdine,-31.25,119.39,"15 km S of Yellowdine, WA",WA
15 km SE of Sandalwood,-32.15,120.05,"15 km SE of Sandalwood, WA",WA
15 km SE of Sandalwood Rocks,-32.15,120.05,"15 km SE of Sandalwood Rocks, WA",WA
16 km E of Carnarvon,-24.53,113.48,"16 km E of Carnarvon, WA",WA
16 km E of Pinnacle Creek,-18.46,126.0,"16 km E of Pinnacle Creek, WA",WA
16 km NW of Eneabba_1,-29.49,115.16,"16 km NW of Eneabba, WA",WA
16 km NW of Eneabba_2,-29.45,115.16,"16 km NW of Eneabba, WA",WA
16 km S of Coolgardie_1,-31.06,121.1,"16 km S of Coolgardie, WA",WA
16 km S of Coolgardie_2,-31.05,121.1,"16 km S of Coolgardie, WA",WA
16 km S of Nerren Nerren HS,-27.08,114.38,"16 km S of Nerren Nerren HS, WA",WA
16 km S of Perth,-31.57,115.52,"16 km S of Perth, WA",WA
16 km S of Zanthus,-31.12,123.34,"16 km S of Zanthus, WA",WA
16 km W of Ravensthorpe,-33.35,119.52,"16 km W of Ravensthorpe, WA",WA
16 km WSW of Lyons River HS,-24.4,115.2,"16 km WSW of Lyons River HS, WA",WA
16.5 km SE of Cooma Well,-24.15,120.2,"16.5 km SE of Cooma Well, WA",WA
17 km S of Stirling Dam,-33.1,116.0,"17 km S of Stirling Dam, WA",WA
