location_name,latitude (deg),longitude (deg),locality,state
Barrow Island_1,-20.45,115.25,"Barrow Island, WA",WA
Barrow Island_2,-20.53,115.2,"Barrow Island, WA",WA
Beaufort Inlet_1,-34.26,118.4,"Beaufort Inlet, WA",WA
Beaufort Inlet_2,-34.27,118.53,"Beaufort Inlet, WA",WA
Beckenham,-32.01,115.58,"Beckenham, WA",WA
Beechboro,-31.52,115.56,"Beechboro, WA",WA
Beedelup Falls,-34.25,115.52,"Beedelup Falls, WA",WA
Beedelup National Park_1,-34.25,115.52,"Beedelup National Park, WA",WA
Beedelup National Park_2,-34.26,115.53,"Beedelup National Park, WA",WA
"Beekeepers Reserve, S of Dongara_1",-29.5,115.0,"Beekeepers Reserve, S of Dongara, WA",WA
"Beekeepers Reserve, S of Dongara_2",-29.8333,115.0,"Beekeepers Reserve, S of Dongara, WA",WA
Beverley Springs,-16.35,125.3,"Beverley Springs, WA",WA
Beverley_1,-32.07,116.55,"Beverley, WA",WA
Beverley_2,-32.05,116.55,"Beverley, WA",WA
Bickley,-32.01,116.06,"Bickley, WA",WA
Bickley Reservoir,-32.0,116.64,"Bickley Reservoir, WA",WA
"Bicton, Perth",-32.02,115.46,"Bicton, Perth, WA",WA
Billyacatting Hill,-31.03,118.01,"Billyacatting Hill, WA",WA
Billyacatting Hill Nature Reserve,-31.03,118.0,"Billyacatting Hill Nature Reserve, WA",WA
Binaronca Rocks,-31.45,121.45,"Binaronca Rocks, WA",WA
Bindoon,-31.2,116.1,"Bindoon, WA",WA
"Black Pt, d'Entrecasteaux National Park",-34.27,119.25,"Black Pt, d'Entrecasteaux National Park, WA",WA
Black Rock_1,-18.47,126.41,"Black Rock, WA",WA
Black Rock_2,-15.38,128.4,"Black Rock, WA",WA
Bluff Knoll_1,-34.23,118.15,"Bluff Knoll, WA",WA
Bluff Knoll_2,-34.23,118.16,"Bluff Knoll, WA",WA
Bold Park,-31.56,115.48,"Bold Park, WA",WA
Bolgart,-31.1,116.27,"Bolgart, WA",WA
Bonnie Rocks,-30.32,118.22,"Bonnie Rocks, WA",WA
"Boomerang Bay, Bigge Island",-14.3,125.09,"Boomerang Bay, Bigge Island, WA",WA
Boongaree Island,-15.04,125.11,"Boongaree Island, WA",WA
Boorabbin,-31.15,120.15,"Boorabbin, WA",WA
Boorabbin Rock_1,-31.12,120.17,"Boorabbin Rock, WA",WA
Boorabbin Rock_2,-31.07,120.1,"Boorabbin Rock, WA",WA
Boorabbin Rock_3,-31.12,120.07,"Boorabbin Rock, WA",WA
Boothendarra Creek,-30.14,115.26,"Boothendarra Creek, WA",WA
Booylgoo Rocks,-27.46,119.53,"Booylgoo Rocks, WA",WA
Boranup State Forest_1,-34.11,115.04,"Boranup State Forest, WA",WA
Boranup State Forest_2,-34.12,115.04,"Boranup State Forest, WA",WA
Bore Well near Wiluna,-27.0,120.0,"Bore Well near Wiluna, WA",WA
Botany Dept UWA,-31.58,115.49,"Botany Dept UWA, WA",WA
"Botany Dept, UWA",-31.58,115.49,"Botany Dept, UWA, WA",WA
Bougainville Peninsula,-14.05,126.07,"Bougainville Peninsula, WA",WA
Boulder,-30.47,121.29,"Boulder, WA",WA
Boulder Rock,-32.08,116.1,"Boulder Rock, WA",WA
Boy agin Rock,-32.28,116.54,"Boy agin Rock, WA",WA
Boyagin,-32.28,116.54,"Boyagin, WA",WA
Boyagin Rock,-32.28,116.54,"Boyagin Rock, WA",WA
Boyagin Rock Nature Reserve,-32.28,116.54,"Boyagin Rock Nature Reserve, WA",WA
Boyup Brook,-33.55,116.2,"Boyup Brook, WA",WA
Bremer Bay_1,-34.23,119.23,"Bremer Bay, WA",WA
Bremer Bay_2,-34.22,119.22,"Bremer Bay, WA",WA
Bremer Range,-32.35,120.45,"Bremer Range, WA",WA
Bridgetown_1,-33.57,116.08,"Bridgetown, WA",WA
Bridgetown_2,-33.55,116.1,"Bridgetown, WA",WA
Broke Inlet,-34.56,116.28,"Broke Inlet, WA",WA
Broome_1,-17.58,122.14,"Broome, WA",WA
Broome_2,-17.57,122.14,"Broome, WA",WA
Broome_3,-17.56,122.15,"Broome, WA",WA
Broome_4,-17.55,122.15,"Broome, WA",WA
Browns Tank Fraser Range,-32.05,122.55,"Browns Tank Fraser Range, WA",WA
"Browns Tank, Fraser Range",-32.05,122.55,"Browns Tank, Fraser Range, WA",WA
Brunswick Junction,-33.11,115.41,"Brunswick Junction, WA",WA
Bull Creek,-32.25,116.04,"Bull Creek, WA",WA
Bulla Bulling,-31.01,120.52,"Bulla Bulling, WA",WA
Bullabulling,-31.05,120.55,"Bullabulling, WA",WA
Bullsbrook,-31.4,115.59,"Bullsbrook, WA",WA
Bunbury,-33.19,115.38,"Bunbury, WA",WA
Bungalbin,-30.23,119.38,"Bungalbin, WA",WA
Bungalbin Hill_1,-30.24,119.38,"Bungalbin Hill, WA",WA
Bungalbin Hill_2,-30.17,119.44,"Bungalbin Hill, WA",WA
Bungalbin Hills,-30.23,119.38,"Bungalbin Hills, WA",WA
Buntine Nature Reserve,-29.58,116.35,"Buntine Nature Reserve, WA",WA
Burnerbinmah Station,-28.47,117.22,"Burnerbinmah Station, WA",WA
Busselton,-33.39,115.2,"Busselton, WA",WA
Caffarelli Island,-16.03,123.18,"Caffarelli Island, WA",WA
Calingiri,-31.05,116.26,"Calingiri, WA",WA
Canning Mills,-32.04,116.06,"Canning Mills, WA",WA
Canning Stock Route,-23.48,122.28,"Canning Stock Route, WA",WA
Canning Vale_1,-32.03,115.55,"Canning Vale, WA",WA
Canning Vale_2,-32.04,115.56,"Canning Vale, WA",WA
Cannington,-32.01,115.55,"Cannington, WA",WA
Cape Arid National Park_1,-33.29,123.25,"Cape Arid National Park, WA",WA
Cape Arid National Park_2,-33.51,123.12,"Cape Arid National Park, WA",WA
Cape Freycinet,-34.06,114.59,"Cape Freycinet, WA",WA
Cape Naturaliste,-33.32,115.01,"Cape Naturaliste, WA",WA
Cape Naturaliste Lighthouse,-33.32,115.01,"Cape Naturaliste Lighthouse, WA",WA
Cape Range National Park,-21.59,114.07,"Cape Range National Park, WA",WA
Cape le Grand National Park_1,-34.0,122.1,"Cape le Grand National Park, WA",WA
Cape le Grand National Park_2,-33.52,122.27,"Cape le Grand National Park, WA",WA
Cape le Grand National Park_3,-33.55,122.15,"Cape le Grand National Park, WA",WA
Capel,-33.33,115.33,"Capel, WA",WA
Carnarvon Range National Park,-24.57,120.26,"Carnarvon Range National Park, WA",WA
Carson Escarpment_1,-15.01,126.49,"Carson Escarpment, WA",WA
Carson Escarpment_2,-15.02,126.49,"Carson Escarpment, WA",WA
Castle Rock Bay,-33.34,115.05,"Castle Rock Bay, WA",WA
Cataby,-30.45,115.33,"Cataby, WA",WA
Cheetup Hill,-33.52,122.28,"Cheetup Hill, WA",WA
Cheyne Beach,-34.54,118.23,"Cheyne Beach, WA",WA
Cheyne Beach ~,-34.54,118.23,"Cheyne Beach ~, WA",WA
Chiddarcooping Hill_1,-30.45,118.4,"Chiddarcooping Hill, WA",WA
Chiddarcooping Hill_2,-30.54,118.4,"Chiddarcooping Hill, WA",WA
Chiddarcooping Hill_3,-30.54,118.41,"Chiddarcooping Hill, WA",WA
Chiddarcooping Nature Reserve_1,-30.54,118.39,"Chiddarcooping Nature Reserve, WA",WA
Chiddarcooping Nature Reserve_2,-30.54,118.4,"Chiddarcooping Nature Reserve, WA",WA
Chittering,-31.26,116.06,"Chittering, WA",WA
"Christmas Pool, Paterson Range",-21.53,122.74,"Christmas Pool, Paterson Range, WA",WA
Chutawalakin Hill,-30.55,118.43,"Chutawalakin Hill, WA",WA
City Beach,-31.56,115.46,"City Beach, WA",WA
Clackline Nature Reserve,-31.42,116.3,"Clackline Nature Reserve, WA",WA
Cliff Head,-29.32,114.59,"Cliff Head, WA",WA
Cockatoo Island,-16.06,123.37,"Cockatoo Island, WA",WA
Cockatoo Spring,-15.41,128.59,"Cockatoo Spring, WA",WA
Cockleshell Gully_1,-30.1,115.1,"Cockleshell Gully, WA",WA
Cockleshell Gully_2,-30.1,115.5,"Cockleshell Gully, WA",WA
Cockleshell Gully_3,-30.08,115.06,"Cockleshell Gully, WA",WA
Collie - Teddy Bear Mill,-33.22,116.09,"Collie - Teddy Bear Mill, WA",WA
Collie_1,-33.2,116.1,"Collie, WA",WA
Collie_2,-33.22,116.2,"Collie, WA",WA
Collie_3,-33.22,116.09,"Collie, WA",WA
Connelly's Flats,-34.27,116.01,"Connelly's Flats, WA",WA
Coobarra Creek,-24.25,118.56,"Coobarra Creek, WA",WA
Coolgardie_1,-30.57,121.1,"Coolgardie, WA",WA
Coolgardie_2,-30.58,121.1,"Coolgardie, WA",WA
Coolgardie_3,-31.03,121.04,"Coolgardie, WA",WA
Coolgardie_4,-30.57,121.12,"Coolgardie, WA",WA
Coolgardie_5,-31.14,121.28,"Coolgardie, WA",WA
"Cooljarloo, Cataby",-30.4,115.2,"Cooljarloo, Cataby, WA",WA
Cooloomia Homestead,-27.08,114.08,"Cooloomia Homestead, WA",WA
Cooloomia Nature Reserve,-27.08,114.08,"Cooloomia Nature Reserve, WA",WA
Coolup,-32.45,115.5,"Coolup, WA",WA
Coomallo Creek,-30.13,115.21,"Coomallo Creek, WA",WA
Coorow_1,-29.55,115.3,"Coorow, WA",WA
Coorow_2,-29.55,115.51,"Coorow, WA",WA
Coorow_3,-29.53,116.01,"Coorow, WA",WA
Coppin Pool,-22.53,118.08,"Coppin Pool, WA",WA
Corackerup Creek Nature Reserve,-34.1,118.43,"Corackerup Creek Nature Reserve, WA",WA
"Coroow Rd, 11 km East of Brand Hwy",-30.03,115.26,"Coroow Rd, 11 km East of Brand Hwy, WA",WA
Corrigin,-32.19,117.53,"Corrigin, WA",WA
Cottesloe,-31.59,115.45,"Cottesloe, WA",WA
Coulomb Point_1,-17.21,122.09,"Coulomb Point, WA",WA
Coulomb Point_2,-17.5,122.12,"Coulomb Point, WA",WA
Coulomb Point_3,-17.21,122.1,"Coulomb Point, WA",WA
Coulomb Point_4,-17.22,122.1,"Coulomb Point, WA",WA
Crystal Brook,-31.57,115.51,"Crystal Brook, WA",WA
Culeenup Island Yunderup_1,-32.35,115.47,"Culeenup Island Yunderup, WA",WA
Culeenup Island Yunderup_2,-32.5776,115.773,"Culeenup Island Yunderup, WA",WA
"Culeenup Island, Yunderup",-23.35,115.47,"Culeenup Island, Yunderup, WA",WA
Daggar Hills,-28.09,117.35,"Daggar Hills, WA",WA
Dampier Peninsula,-17.55,122.2,"Dampier Peninsula, WA",WA
Darling Range,-32.0,116.0,"Darling Range, WA",WA
Darlington,-31.55,116.0,"Darlington, WA",WA
"Darlington, Perth",-31.54,116.04,"Darlington, Perth, WA",WA
Dawesville,-32.4,115.4,"Dawesville, WA",WA
"Dawn Creek, Gibb River Road",-15.59,127.01,"Dawn Creek, Gibb River Road, WA",WA
Dedari,-30.57,121.1,"Dedari, WA",WA
"Dedari, 45 km WSW of Coolgardie",-30.57,121.1,"Dedari, 45 km WSW of Coolgardie, WA",WA
"Dedari, near Coolgardie",-30.57,121.1,"Dedari, near Coolgardie, WA",WA
Degerando Island,-15.2,124.12,"Degerando Island, WA",WA
Denmark,-34.57,117.21,"Denmark, WA",WA
Derby (near Fitzroy River),-17.45,123.45,"Derby (near Fitzroy River), WA",WA
Derby area,-17.46,123.45,"Derby area, WA",WA
Derby_1,-17.45,123.45,"Derby, WA",WA
Derby_2,-17.3,124.0,"Derby, WA",WA
Dianella,-31.53,115.53,"Dianella, WA",WA
Dog Rock_1,-32.55,121.05,"Dog Rock, WA",WA
Dog Rock_2,-32.55,121.08,"Dog Rock, WA",WA
Dongara,-29.14,114.56,"Dongara, WA",WA
Dongolocking Nature Reserve,-33.05,117.4,"Dongolocking Nature Reserve, WA",WA
"Donnelly Peak, Stirling Ranges",-34.19,117.49,"Donnelly Peak, Stirling Ranges, WA",WA
Donnelly River crossing,-34.15,115.56,"Donnelly River crossing, WA",WA
Donnelly River_1,-34.27,115.42,"Donnelly River, WA",WA
Donnelly River_2,-34.28,115.43,"Donnelly River, WA",WA
Donnybrook,-33.34,115.49,"Donnybrook, WA",WA
Dryandra,-32.47,116.55,"Dryandra, WA",WA
Drysdale River,-14.4,126.24,"Drysdale River, WA",WA
Drysdale River A1,-15.02,126.5,"Drysdale River A1, WA",WA
Drysdale River B2,-14.49,126.55,"Drysdale River B2, WA",WA
Drysdale River Reserve A3,-15.17,127.12,"Drysdale River Reserve A3, WA",WA
Drysdale River Reserve B4,-14.4,127.0,"Drysdale River Reserve B4, WA",WA
Dumbleyung,-33.2,117.45,"Dumbleyung, WA",WA
Dundas Hills,-32.05,121.55,"Dundas Hills, WA",WA
Durack River Homestead turnoff_1,-15.52,127.23,"Durack River Homestead turnoff, WA",WA
Durack River Homestead turnoff_2,-15.49,127.3,"Durack River Homestead turnoff, WA",WA
Durba Hills,-23.48,122.28,"Durba Hills, WA",WA
Duri,-31.15,120.15,"Duri, WA",WA
Dwellingup,-32.43,116.04,"Dwellingup, WA",WA
E of Beyondie,-24.39,120.06,"E of Beyondie, WA",WA
E of Carnarvon,-24.53,113.58,"E of Carnarvon, WA",WA
E of Esperance,-33.51,122.18,"E of Esperance, WA",WA
E of Hyden,-32.27,119.52,"E of Hyden, WA",WA
E of Jerramungup,-33.55,119.05,"E of Jerramungup, WA",WA
E of Karridale,-34.12,115.19,"E of Karridale, WA",WA
E of Kununurra,-15.46,128.44,"E of Kununurra, WA",WA
E of Lake Hope,-32.35,120.25,"E of Lake Hope, WA",WA
E of Lake King,-33.05,120.18,"E of Lake King, WA",WA
E of Mandurah (Riverside Gardens),-32.32,115.48,"E of Mandurah (Riverside Gardens), WA",WA
E of Marandoo camp,-22.38,118.06,"E of Marandoo camp, WA",WA
E of Mt Adams Road,-29.21,115.1,"E of Mt Adams Road, WA",WA
E of Mt Gibbs,-32.55,120.05,"E of Mt Gibbs, WA",WA
E of Mt Nossiter_1,-25.25,123.5,"E of Mt Nossiter, WA",WA
E of Mt Nossiter_2,-25.25,123.47,"E of Mt Nossiter, WA",WA
E of Norseman_1,-32.12,122.04,"E of Norseman, WA",WA
E of Norseman_2,-23.12,122.04,"E of Norseman, WA",WA
E of Norseman_3,-32.14,122.18,"E of Norseman, WA",WA
E of Norseman_4,-32.05,122.25,"E of Norseman, WA",WA
E of Southern Cross,-31.13,119.35,"E of Southern Cross, WA",WA
E of Spinifex Rock,-31.45,120.45,"E of Spinifex Rock, WA",WA
E of Wiluna,-26.21,118.57,"E of Wiluna, WA",WA
E of Yellowdine,-31.18,119.44,"E of Yellowdine, WA",WA
E. of Mt Hampton,-31.45,119.15,"E. of Mt Hampton, WA",WA
ENE of Beyondie HS,-24.47,120.02,"ENE of Beyondie HS, WA",WA
ENE of Norseman_1,-32.12,121.46,"ENE of Norseman, WA",WA
ENE of Norseman_2,-32.2,121.54,"ENE of Norseman, WA",WA
ENEof AnketellHS,-28.01,118.3,"ENEof AnketellHS, WA",WA
ESE of Meedo HS,-25.4,114.37,"ESE of Meedo HS, WA",WA
ESE of Minnie Creek,-24.02,115.42,"ESE of Minnie Creek, WA",WA
"Eagle Bay, Meelup",-33.33,115.04,"Eagle Bay, Meelup, WA",WA
East Mt Barren,-33.55,120.01,"East Mt Barren, WA",WA
East Mt Barren 7,-33.55,120.01,"East Mt Barren 7, WA",WA
East Yorkrakine Nature Reserve,-31.24,117.39,"East Yorkrakine Nature Reserve, WA",WA
East Yuna Nature Reserve_1,-28.28,115.14,"East Yuna Nature Reserve, WA",WA
East Yuna Nature Reserve_2,-28.32,115.15,"East Yuna Nature Reserve, WA",WA
East of Broome Hill,-33.5,117.35,"East of Broome Hill, WA",WA
East of Curtin,-31.0,122.3,"East of Curtin, WA",WA
Edgar Ranges_1,-18.54,123.02,"Edgar Ranges, WA",WA
Edgar Ranges_2,-18.4,123.2,"Edgar Ranges, WA",WA
Elgin (Bunbury),-33.3,115.4,"Elgin (Bunbury), WA",WA
Ellenbrook,-33.54,114.59,"Ellenbrook, WA",WA
Emu Rock,-32.27,119.25,"Emu Rock, WA",WA
Eneabba_1,-29.51,115.12,"Eneabba, WA",WA
Eneabba_2,-29.45,115.15,"Eneabba, WA",WA
Erlistoun Station,-28.19,122.09,"Erlistoun Station, WA",WA
Esperance,-33.51,121.53,"Esperance, WA",WA
Eucla sand dunes,-31.43,128.53,"Eucla sand dunes, WA",WA
Eurardy Station,-27.34,114.4,"Eurardy Station, WA",WA
Evanston,-29.44,119.28,"Evanston, WA",WA
Eyre Bird Observatory,-32.15,126.18,"Eyre Bird Observatory, WA",WA
Eyre Range,-33.45,119.55,"Eyre Range, WA",WA
Fitzgerald Inlet,-34.05,119.35,"Fitzgerald Inlet, WA",WA
Fitzgerald River,-34.04,119.31,"Fitzgerald River, WA",WA
Fitzgerald River National Park_1,-33.5,120.0,"Fitzgerald River National Park, WA",WA
Fitzgerald River National Park_2,-34.0,119.3,"Fitzgerald River National Park, WA",WA
Fitzgerald River National Park_3,-33.47,119.35,"Fitzgerald River National Park, WA",WA
Fitzgerald River National Park_4,-33.45,119.15,"Fitzgerald River National Park, WA",WA
Fitzgerald River National Park_5,-33.57,119.15,"Fitzgerald River National Park, WA",WA
Fitzgerald River Reserve,-34.0,119.3,"Fitzgerald River Reserve, WA",WA
Fitzroy Crossing,-18.11,125.35,"Fitzroy Crossing, WA",WA
Fitzroy River,-18.0,124.0,"Fitzroy River, WA",WA
Forrestdale Lake,-32.09,115.56,"Forrestdale Lake, WA",WA
Fortescue River Estuary_1,-22.24,119.2,"Fortescue River Estuary, WA",WA
Fortescue River Estuary_2,-22.4003,119.0336,"Fortescue River Estuary, WA",WA
Foster Rd near Ongerup,-33.55,118.25,"Foster Rd near Ongerup, WA",WA
Frank Hann National Park,-33.05,120.42,"Frank Hann National Park, WA",WA
Frankland River National Park,-34.21,117.01,"Frankland River National Park, WA",WA
"Frankland River, south of Rocky Gully",-33.54,115.46,"Frankland River, south of Rocky Gully, WA",WA
Frankland River_1,-34.2,117.0,"Frankland River, WA",WA
Frankland River_2,-34.22,117.01,"Frankland River, WA",WA
Frankland_1,-34.22,117.05,"Frankland, WA",WA
Frankland_2,-34.22,119.05,"Frankland, WA",WA
Fremantle,-32.03,115.45,"Fremantle, WA",WA
Frenchman's Peak,-33.58,122.1,"Frenchman's Peak, WA",WA
Gairdner Range_1,-30.12,115.2,"Gairdner Range, WA",WA
Gairdner Range_2,-30.06,115.12,"Gairdner Range, WA",WA
Garden Island,-32.12,115.4,"Garden Island, WA",WA
Geegully Creek,-18.49,123.23,"Geegully Creek, WA",WA
Geikie Gorge National Park,-18.05,125.42,"Geikie Gorge National Park, WA",WA
Geraldton_1,-28.46,114.37,"Geraldton, WA",WA
Geraldton_2,-28.46,114.4,"Geraldton, WA",WA
Gibb River Road,-15.48,127.33,"Gibb River Road, WA",WA
Gibson,-33.39,121.49,"Gibson, WA",WA
Giles Weather Station,-25.01,128.11,"Giles Weather Station, WA",WA
Gilgai i,-31.15,120.05,"Gilgai i, WA",WA
Gilgai_1,-31.15,120.05,"Gilgai, WA",WA
Gilgai_2,-31.15,120.55,"Gilgai, WA",WA
Gillingara,-30.55,116.0,"Gillingara, WA",WA
"Gingilup Swamp, Scott River",-34.19,115.28,"Gingilup Swamp, Scott River, WA",WA
Gingin,-31.21,115.54,"Gingin, WA",WA
Gingin Cemetery,-31.21,115.54,"Gingin Cemetery, WA",WA
Gingin cemetary,-31.21,115.54,"Gingin cemetary, WA",WA
Glenelg River,-15.48,124.44,"Glenelg River, WA",WA
Gnamagun Well,-16.27,122.55,"Gnamagun Well, WA",WA
Gnangara,-31.47,115.52,"Gnangara, WA",WA
Gnarlbine Rock_1,-31.15,120.55,"Gnarlbine Rock, WA",WA
Gnarlbine Rock_2,-31.15,120.15,"Gnarlbine Rock, WA",WA
Gnowangerup,-33.56,118.0,"Gnowangerup, WA",WA
Gogo Station,-18.29,125.45,"Gogo Station, WA",WA
Goodga River_1,-34.56,118.07,"Goodga River, WA",WA
Goodga River_2,-34.56,118.05,"Goodga River, WA",WA
Goodga River_3,-34.56,118.08,"Goodga River, WA",WA
Goomalling,-31.18,116.49,"Goomalling, WA",WA
Goongarrie National Park,-30.01,121.09,"Goongarrie National Park, WA",WA
Gooseberry Hill,-31.57,116.03,"Gooseberry Hill, WA",WA
Granite Peak,-34.45,116.45,"Granite Peak, WA",WA
"Graphite Valley, Rudall River National Park",-22.14,122.51,"Graphite Valley, Rudall River National Park, WA",WA
Graves Hill,-34.15,118.35,"Graves Hill, WA",WA
Green Head,-30.04,114.57,"Green Head, WA",WA
Greenmount,-31.54,116.02,"Greenmount, WA",WA
Greenmount Hill,-31.54,116.02,"Greenmount Hill, WA",WA
Gungin Gully,-32.0,116.07,"Gungin Gully, WA",WA
Gunyidi_1,-30.11,116.04,"Gunyidi, WA",WA
Gunyidi_2,-30.11,116.05,"Gunyidi, WA",WA
Gunyidi_3,-30.16,116.07,"Gunyidi, WA",WA
Gunyidi_4,-30.16,116.2,"Gunyidi, WA",WA
"Hamelin Pool, Shark Bay_1",-26.24,114.1,"Hamelin Pool, Shark Bay, WA",WA
"Hamelin Pool, Shark Bay_2",-26.4003,114.1,"Hamelin Pool, Shark Bay, WA",WA
Hamersley Range_1,-22.14,118.04,"Hamersley Range, WA",WA
Hamersley Range_2,-22.24,118.28,"Hamersley Range, WA",WA
"Hanging Rock, Rudall River National Park",-22.14,122.51,"Hanging Rock, Rudall River National Park, WA",WA
Harbutt Range,-22.52,122.48,"Harbutt Range, WA",WA
Hardy Inlet,-34.17,115.09,"Hardy Inlet, WA",WA
Harry Waring Marsupial Reserve,-32.1,115.5,"Harry Waring Marsupial Reserve, WA",WA
Hassell National Park,-34.48,118.15,"Hassell National Park, WA",WA
Hatter Hill,-32.45,119.55,"Hatter Hill, WA",WA
Hawks Head Lookout Kalbarri,-27.48,114.29,"Hawks Head Lookout Kalbarri, WA",WA
Hearson Cove,-20.38,116.47,"Hearson Cove, WA",WA
Helena Valley_1,-31.55,116.04,"Helena Valley, WA",WA
Helena Valley_2,-31.55,116.02,"Helena Valley, WA",WA
Helena and Aurora Ranges,-30.23,119.41,"Helena and Aurora Ranges, WA",WA
"Herald Gully, Mt Taylor",-35.01,118.02,"Herald Gully, Mt Taylor, WA",WA
Highbury townsite,-33.03,117.15,"Highbury townsite, WA",WA
Hill River Nature Reserve,-30.18,115.11,"Hill River Nature Reserve, WA",WA
Hill River_1,-30.15,115.15,"Hill River, WA",WA
Hill River_2,-30.2,115.15,"Hill River, WA",WA
Hill near Woolbernup,-34.01,119.4,"Hill near Woolbernup, WA",WA
Hillman_1,-33.18,116.48,"Hillman, WA",WA
Hillman_2,-33.19,116.48,"Hillman, WA",WA
Hopetoun,-33.57,120.07,"Hopetoun, WA",WA
Horrocks Beach,-28.23,114.25,"Horrocks Beach, WA",WA
"Indijup, Margaret River",-33.42,115.04,"Indijup, Margaret River, WA",WA
Inglewood,-31.55,115.52,"Inglewood, WA",WA
"Injidup, Margaret River",-33.42,115.04,"Injidup, Margaret River, WA",WA
Irrunytju Rockhole,-26.07,128.58,"Irrunytju Rockhole, WA",WA
Israelite Bay,-33.36,123.51,"Israelite Bay, WA",WA
J Site W1 Prince Regent River,-15.47,125.2,"J Site W1 Prince Regent River, WA",WA
J Yorkrakine Nature Reserve,-31.26,117.28,"J Yorkrakine Nature Reserve, WA",WA
Jandakot_1,-32.1,115.5,"Jandakot, WA",WA
Jandakot_2,-31.1,115.5,"Jandakot, WA",WA
Jandakot_3,-32.07,115.5,"Jandakot, WA",WA
Jarrahdale i,-32.2,116.03,"Jarrahdale i, WA",WA
Jarrahdale_1,-32.2,116.03,"Jarrahdale, WA",WA
Jarrahdale_2,-32.21,116.03,"Jarrahdale, WA",WA
Jarrahdale_3,-31.12,116.02,"Jarrahdale, WA",WA
Jerramungup,-33.56,118.55,"Jerramungup, WA",WA
Jimberlana Hill,-32.09,121.48,"Jimberlana Hill, WA",WA
Jitarning,-32.45,118.0,"Jitarning, WA",WA
"Johnson Road, Medina",-32.13,115.48,"Johnson Road, Medina, WA",WA
Joondalup_1,-31.43,115.46,"Joondalup, WA",WA
Joondalup_2,-31.44,117.46,"Joondalup, WA",WA
Julimar State Forest,-31.28,116.18,"Julimar State Forest, WA",WA
Junana Rock,-33.23,123.24,"Junana Rock, WA",WA
Jurien,-30.15,115.0,"Jurien, WA",WA
Jurien Bay Rd,-30.15,115.1,"Jurien Bay Rd, WA",WA
Jurien Bay Road_1,-30.15,115.15,"Jurien Bay Road, WA",WA
Jurien Bay Road_2,-30.13,115.15,"Jurien Bay Road, WA",WA
Jurien Bay_1,-30.15,116.26,"Jurien Bay, WA",WA
Jurien Bay_2,-30.15,114.59,"Jurien Bay, WA",WA
Jurien Bay_3,-30.15,115.0,"Jurien Bay, WA",WA
Kalamunda,-31.58,116.04,"Kalamunda, WA",WA
Kalbarri,-27.43,114.09,"Kalbarri, WA",WA
Kalbarri National Park,-27.36,114.21,"Kalbarri National Park, WA",WA
Kalgoorlie_1,-30.27,121.2,"Kalgoorlie, WA",WA
Kalgoorlie_2,-30.5,121.2,"Kalgoorlie, WA",WA
Kalguddering,-30.58,116.45,"Kalguddering, WA",WA
Kalguddering Hill,-30.58,116.45,"Kalguddering Hill, WA",WA
Kalumburu Aboriginal Mission,-14.18,126.4,"Kalumburu Aboriginal Mission, WA",WA
Kalumburu Road,-15.39,126.21,"Kalumburu Road, WA",WA
Karratha_1,-20.44,116.51,"Karratha, WA",WA
Karratha_2,-20.44,116.52,"Karratha, WA",WA
Karroun Hill Nature Reserve,-30.03,118.02,"Karroun Hill Nature Reserve, WA",WA
Katanning,-33.41,117.33,"Katanning, WA",WA
Kellerberin,-31.38,117.43,"Kellerberin, WA",WA
Kelmscott,-32.07,116.0,"Kelmscott, WA",WA
Ken wick,-32.02,115.58,"Ken wick, WA",WA
Kendenup_1,-34.3,117.38,"Kendenup, WA",WA
Kendenup_2,-34.29,117.38,"Kendenup, WA",WA
Kennedy Ranges,-24.06,115.09,"Kennedy Ranges, WA",WA
Kensington,-32.0,115.52,"Kensington, WA",WA
Kenwick,-32.02,115.58,"Kenwick, WA",WA
Kimberley,-15.0,126.0,"Kimberley, WA",WA
Kimbolton Spring_1,-26.38,123.42,"Kimbolton Spring, WA",WA
Kimbolton Spring_2,-16.38,123.42,"Kimbolton Spring, WA",WA
King Leopold Ranges,-17.36,126.02,"King Leopold Ranges, WA",WA
King River,-34.54,117.43,"King River, WA",WA
King River Road,-15.4,128.05,"King River Road, WA",WA
King's Park,-31.57,115.5,"King's Park, WA",WA
Kings Park_1,-31.57,115.5,"Kings Park, WA",WA
Kings Park_2,-31.9503,115.0836,"Kings Park, WA",WA
Knapp Rock,-32.05,120.45,"Knapp Rock, WA",WA
Kojonup,-33.5,117.09,"Kojonup, WA",WA
Kondinin Lakes,-32.3,118.1,"Kondinin Lakes, WA",WA
Kununnurra,-15.46,128.44,"Kununnurra, WA",WA
Kununurra,-15.46,128.44,"Kununurra, WA",WA
Kununurra airport,-15.3,128.22,"Kununurra airport, WA",WA
Kwinana_1,-32.14,115.46,"Kwinana, WA",WA
Kwinana_2,-32.07,115.5,"Kwinana, WA",WA
Lacrosse Island,-14.45,128.18,"Lacrosse Island, WA",WA
Lake Cave,-34.04,115.01,"Lake Cave, WA",WA
Lake Chinocup,-33.29,118.26,"Lake Chinocup, WA",WA
Lake Cohen,-24.26,125.05,"Lake Cohen, WA",WA
Lake Cronin,-32.23,119.46,"Lake Cronin, WA",WA
Lake Indoon,-29.52,115.09,"Lake Indoon, WA",WA
Lake King,-33.1,119.38,"Lake King, WA",WA
Lake Magenta Nature Reserve,-33.3,119.1,"Lake Magenta Nature Reserve, WA",WA
