location,coordinates,species
Mt. Field National Park,"42°39'29""S 146°31'04""E",Dracophyllum minimum
Mt. Field National Park,"42°39'29""S 146°31'04""E",Epacris serpyllifolia
Mt. Field National Park,"42°40'68""S 146°38'22""E",Trochocarpa thymifolia
Mt. Field National Park,"42°39'44""S 146°38'57""E",Monotoca empetrifolia
Mt. Field National Park,"42°39'46""S 146°38'08""E",Richea acerosa
Mt. Field National Park,"42°41'55""S 146°34'26""E",Richea milliganii
Mt. Field National Park,"42°40'56""S 146°35'26""E",Richea pandanifolia
Mt. Field National Park,"42°39'34""S 146°38'14""E",Richea scoparia
Mt. Field National Park,"42°39'29""S 146°31'04""E",Richea scoparia
Mt. Field National Park,"42°39'39""S 146°38'57""E",Richea sprengelioides
Wellington Range Park,"42°54'24""S 147°15'47""E",Richea procera
Snug Tiers,"43°03'59""S 147°10'45""E",Richea dracophylla
Tasmanian Wilderness World Heritage Area,"42°49'55""S 146°23'06""E",Trochocarpa gunnii
Echo Sugarloaf State Reserve,"43°14'43""S 147°07'52""E",Lissanthe strigosa
Randalls Bay Conservation Area,"43°14'41""S 147°07'55""E",Epacris impressa
Randalls Bay Conservation Area,"43°14'41""S 147°07'55""E",Leucopogon ericoides
Egg and Bacon Bay Road,"43°14'45""S 147°07'04""E",Epacris lanuginosa
Huon Road,"42°54'12""S 147°16'50""E",Epacris impressa
Ridgeway Park,"42°55'09""S 147°17'01""E",Leucopogon virgatus
Ridgeway Park,"42°55'09""S 147°17'01""E",Leucopogon collinus
Remarkable Cave State Reserve,"43°11'12""S 147°50'48""E",Epacris marginata
Remarkable Cave State Reserve,"43°11'12""S 147°50'48""E",Leucopogon parviflorus
Cape Raoul State Reserve,"43°13'05""S 147°47'05""E",Leptecophylla juniperina subsp. juniperina
