Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N,nitrogen_fixing,life_history
ACAACU,Acacia acuminata,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,shrub,5.92,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACAALA,Acacia alata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Sprent 2001; Brundrett&Abbott 1991,NA,NA,1,perennial
ACABAR,Acacia barbinervis,native,FABACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,34.49,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACABRO,Acacia browniana,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACACEL,Acacia celastrifolia,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,22,"Standish et al, unpub data",AMF,Sprent 2001; Standish et al. unpub data,0.03,1.65,1,perennial
ACADEC,Acacia decurrens,weed,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,tree,16.07,Weighed,AMF,Sprent 2001; AMF assumed,NA,NA,1,perennial
ACADEN,Acacia dentifera,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,10.87,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACADIV,Acacia divergens,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.3,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACADRU,Acacia drummondii,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,4.03,Nursery records,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,0.03,1.54,1,perennial
ACAEXT,Acacia extensa,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,15.63,Nursery records,AMF,Sprent 2001; Brundrett&Abbott 1991,0.03,1.46,1,perennial
ACAHOR,Acacia horridula,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,14.84,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,0.04,1.91,1,perennial
ACAINC,Acacia incrassata,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,15.23,Approximation: avg seed mass of the other JF Acacia species (n = 29).,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACALAS,Acacia lasiocarpa,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,4.61,Nursery records,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACALAT,Acacia lateriticola,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,5.62,Nursery records,AMF,Sprent 2001; Brundrett&Abbott 1991,NA,NA,1,perennial
ACALON,Acacia longifolia,weed,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,13.67,Weighed,AMF,Sprent 2001; AMF assumed,NA,NA,1,perennial
ACAMIC,Acacia microbotrya,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,70.41,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACAMYR,Acacia myrtifolia,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,13.96,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACANER,Acacia nervosa,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,15.56,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACAOBO,Acacia obovata,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,18.41,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACAPNA,Acacia preissiana,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,10.97,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACAPUL,Acacia pulchella,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,11,"Standish et al, unpub data",AMF,Sprent 2001; Brundrett&Abbott 1991,NA,NA,1,perennial
ACASAL,Acacia saligna,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,14.71,Nursery records,AMF,Sprent 2001; Brundrett&Abbott 1991,0.05,2.06,1,perennial
ACASEM,Acacia semitrullata,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,14.21,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACASTE,Acacia stenoptera,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,shrub,30.3,Nursery records,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACATER,Acacia teretifolia,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,6.82,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACATET,Acacia tetragonocarpa,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,26.64,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACATRI,Acacia trigonophylla,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,17.47,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACAURO,Acacia urophylla,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,14.75,Weighed,AMF,Sprent 2001; Brundrett&Abbott 1991,0.05,1.81,1,perennial
ACAVAR,Acacia varia,native,FABACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,shrub,1.84,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACAWIL,Acacia willdenowiana,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,shrub,12.5,Nursery records,AMF,Sprent 2001; Lamont 1982 on AMF for Genus,NA,NA,1,perennial
ACEVUL,Acetosella vulgaris,weed,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett 2009 for Family,NA,NA,0,perennial
ACTGLO,Actinotus glomeratus,native,APIACEAE,SEEDER,Burrows et al. 2008 for Genus,soil,Burrows et al. 2008 for Genus,forb,0.85,Approximation: avg seed mass of Actinotus species (n = 5),AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
ADEBAR,Adenanthos barbiger,native,PROTEACEAE,RESPROUTER,Burrows et al. 2008,soil,Lamont&Groom 1998,shrub,15.16,Approximation: avg seed mass of 5 Adenanthos species (Cochrane et al. 2002).,Root clusters,Skene 1998,0.02,0.52,0,perennial
AGRSCA,Agrostocrinum scabrum,native,HEMEROCALLIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,NA,Kew SID,AMF,Brundrett&Abbott 1991,0.04,0.85,0,perennial
AIRCAR,Aira caryophyllea,weed,POACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,grass,NA,Kew SID,AMF,McGee 1986,0.21,2.23,0,annual
ALLFRA,Allocasuarina fraseriana,native,CASUARINACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,5,"Standish et al, unpub data",AMF/ECM,Brundrett&Abbott 1991; Reddell et al. 1986 for Nfixer,0.03,1.09,1,perennial
ALLHUE,Allocasuarina huegeliana,native,CASUARINACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,4.83,McAlinden 1998,AMF/ECM,Reddell et al. 1986,NA,NA,1,perennial
ALLHUM,Allocasuarina humilis,native,CASUARINACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF/ECM,Brundrett&Abbott 1991,NA,NA,0,perennial
AMPAMP,Amphipogon amphipogonoides,native,POACEAE,SEEDER,Norman et al. 2006,soil,Inferred using data for Family,grass,0.52,Nursery records,AMF,Lamont 1982 for Family,NA,NA,0,perennial
AMPSIM,Amperea simulans,native,EUPHORBIACEAE,RESPROUTER,Burrows et al. 2008 for Genus,soil,Default,forb,NA,NA,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
ANAARV,Anagallis arvensis,weed,PRIMULACEAE,SEEDER,Burrows et al. 2008,soil,Vlahos & Bell 1986,forb,NA,Kew SID,AMF,McGee 1986,0.13,NA,0,annual
ANAPRO,Anarthria prolifera,native,ANARTHRIACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,NA,NA,None,NM: Brundrett 2009; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
ANDINV,Andersonia involucrata,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.3,Roche 1997,Ericoid,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
ANDLAT,Andersonia latiflora,native,ERICACEAE,SEEDER,Norman et al. 2006,soil,Inferred using data for Genus,shrub,0.09,Nursery records,Ericoid,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
