trait_name,find,replace
dispersal_syndrome,ballistichory,ballistic
dispersal_syndrome,exozoochory,epizoochory
dispersal_syndrome,hoarding,NA
dispersal_syndrome,unknown,undefined
fruit_type,cone,strobilus
fruit_type,fig,syconium
fruit_type,hypanthium,NA
fruit_type,pedicel,NA
fruit_type,pod,legume
fruit_width,0,NA
seed_colour,aril-like funicle,NA
seed_colour,berry like; red,red
seed_colour,black aril,black
seed_colour,capsule-like; black,black
seed_colour,drupaceous,NA
seed_colour,"drupaceous, orange",orange
seed_colour,"drupaceous, red",red
seed_colour,drupaceous; blue,blue
seed_colour,drupaceous; red,red
seed_colour,drupe like,NA
seed_colour,orange aril,orange
seed_colour,pale green,green
seed_colour,red aril,red
seed_colour,samara-like mericarp,NA
seed_colour,white aril,white
seed_colour,white funicle,white
seed_colour,wing,NA
seed_colour,yellow aril,yellow
leaf_phenology,1,deciduous
leaf_phenology,0,evergreen
