abbrev,individual_id,bundle_id,xylem_id,max_lumen_width,min_lumen_width,wall_thickness_1,wall_thickness_2,wall_thickness_3
acacmela,1,1,1,8.136,5.607,2.403,2.699,2.784
acacmela,1,2,1,8.136,5.607,2.403,2.699,2.784
acacmela,1,3,1,6.724,7.279,2.053,2.599,2.654
acacmela,1,1,2,15.221,11.003,1.895,2.108,2.035
acacmela,1,2,2,15.221,11.003,1.895,2.108,2.035
acacmela,1,3,2,11.641,6.601,2.34,2.952,2.067
acacmela,1,1,3,9.783,6.737,2.403,3.557,3.399
acacmela,1,2,3,9.783,6.737,2.403,3.557,3.399
acacmela,1,3,3,17.156,9.117,1.733,1.6,2.067
acacmela,1,1,4,17.163,11.695,2.17,2.235,4.55
acacmela,1,2,4,17.163,11.695,2.17,2.235,4.55
acacmela,1,3,4,8.915,6.499,2.707,2.474,2.534
acacmela,1,1,5,9.069,5.945,1.707,3.268,3.298
acacmela,1,2,5,9.069,5.945,1.707,3.268,3.298
acacmela,1,3,5,8.398,5.386,2.127,1.885,1.795
acacmela,2,1,1,22.783,11.243,2.222,3.377,2.075
acacmela,2,2,1,16.53,12.714,2.679,2.353,3.378
acacmela,2,3,1,12.933,8.948,3.027,2.311,2.12
acacmela,2,1,2,17.036,8.185,1.764,2.285,2.029
acacmela,2,2,2,12.163,6.829,3.734,1.902,1.788
acacmela,2,3,2,13.384,14.904,2.872,2.248,1.698
acacmela,2,1,3,14.941,11.019,1.914,2.164,2.789
acacmela,2,2,3,9.592,6.633,2.591,1.698,3.068
acacmela,2,3,3,10.057,10.913,2.687,2.15,2.015
acacmela,2,1,4,13.558,7.567,2.243,2.312,2.401
acacmela,2,2,4,9.374,8.148,2.12,2.464,2.14
acacmela,2,3,4,15.74,8.682,2.311,2.656,2.146
acacmela,2,1,5,12.869,8.27,2.666,2.845,2.393
acacmela,2,2,5,4.908,3.11,2.666,2.333,2.588
acacmela,2,3,5,13.046,6.523,2.409,2.097,2.156
acacmela,3,1,1,10.683,7.442,1.823,2.333,3.152
acacmela,3,2,1,13.629,9.363,3.088,2.505,3.121
acacmela,3,3,1,9.972,7.399,1.795,1.612,2.071
acacmela,3,1,2,3.461,4.015,2.615,2.278,2.546
acacmela,3,2,2,7.101,5.562,3.311,3.499,2.999
acacmela,3,3,2,13.66,9.307,1.982,2.74,2.626
acacmela,3,1,3,4.143,4.054,2.046,1.949,2.112
acacmela,3,2,3,14.05,10.373,1.968,2.183,2.358
acacmela,3,3,3,14.598,8.39,2.382,2.295,1.539
acacmela,3,1,4,11.004,8.629,2.488,2.745,1.967
acacmela,3,2,4,11.695,8.705,2.834,1.666,1.672
acacmela,3,3,4,7.532,7.07,1.58,1.562,1.938
acacmela,3,1,5,10.145,5.868,2.791,1.963,1.359
acacmela,3,2,5,9.84,5.844,2.748,1.943,2.513
acacmela,3,3,5,11.669,8.001,1.878,1.646,1.55
acrolaev,1,1,1,23.722,14.261,1.912,2.607,2.09
acrolaev,1,2,1,23.636,10.774,1.459,2.593,2.346
acrolaev,1,3,1,9.99,7.298,1.52,1.75,1.599
acrolaev,1,1,2,21.743,16.157,3.472,2.645,2.833
acrolaev,1,2,2,15.633,12.398,1.467,1.684,1.834
acrolaev,1,3,2,13.568,6.95,1.556,1.389,2.248
acrolaev,1,1,3,10.083,10.204,1.559,1.137,1.478
acrolaev,1,2,3,12.948,9.999,1.435,1.618,1.695
acrolaev,1,3,3,14.342,3.596,1.861,1.693,1.635
acrolaev,1,1,4,17.142,11.311,2.137,2.137,2.153
acrolaev,1,2,4,25.203,12.927,2.365,2.754,2.313
acrolaev,1,3,4,13.129,7.09,2.403,1.635,1.984
acrolaev,1,1,5,12.427,8.873,2.503,2.074,2.239
acrolaev,1,2,5,25.457,12.581,2.525,2.801,2.801
acrolaev,1,3,5,12.185,6.689,2.379,2.597,1.682
acrolaev,2,1,1,26.584,11.722,2.219,2.36,4.228
acrolaev,2,2,1,19.249,11.815,2.72,2.455,2.011
acrolaev,2,3,1,22.954,15.959,2.72,2.298,2.929
acrolaev,2,1,2,24.945,9.554,3.919,2.836,2.412
acrolaev,2,2,2,18.967,11.393,2.482,2.684,2.274
acrolaev,2,3,2,13.425,10.452,2.365,1.859,2.247
acrolaev,2,1,3,27.369,13.887,3.135,2.542,3.223
acrolaev,2,2,3,22.262,14.223,2.13,2.562,2.45
acrolaev,2,3,3,12.426,10.76,2.074,2.203,2.455
acrolaev,2,1,4,18.853,13.216,2.219,2.542,2.174
acrolaev,2,2,4,13.073,12.717,1.859,2.266,1.988
acrolaev,2,3,4,24.215,12.513,2.247,2.182,1.649
acrolaev,2,1,5,12.392,8.52,1.847,2.174,2.137
acrolaev,2,2,5,18.885,13.066,2.58,3.012,2.089
acrolaev,2,3,5,21.814,11.15,2.203,1.886,1.539
acrolaev,3,1,1,19.271,13.239,2.203,2.381,2.009
acrolaev,3,2,1,18.523,16.721,2.326,3.373,3.216
acrolaev,3,3,1,16.425,14.373,2.379,2.05,2.182
acrolaev,3,1,2,17.491,10.652,2.562,2.102,2.525
acrolaev,3,2,2,14.341,14.084,2.189,2.257,1.501
acrolaev,3,3,2,12.166,8.752,1.541,1.498,1.498
acrolaev,3,1,3,22.2,11.18,1.902,2.574,2.057
acrolaev,3,2,3,15.079,12.073,2.224,2.266,1.884
acrolaev,3,3,3,9.185,8.916,1.957,2.645,2.102
acrolaev,3,1,4,15.173,9.336,3.227,2.203,2.326
acrolaev,3,2,4,19.43,11.145,2.313,2.767,2.208
acrolaev,3,3,4,12.694,7.948,1.521,1.262,1.31
acrolaev,3,1,5,16.649,10.855,2.482,2.469,2.16
acrolaev,3,2,5,14.587,10.1,1.711,1.663,1.935
acrolaev,3,3,5,16.8,10.057,2.151,2.013,1.808
acmesmit,1,1,1,7.684,5.62,2.203,1.808,1.892
acmesmit,1,2,1,12.008,9.844,2.664,2.658,2.165
acmesmit,1,3,1,8.297,7.236,1.547,1.925,2.437
acmesmit,1,1,2,10.2,7.503,1.808,2.011,2.257
acmesmit,1,2,2,9.996,9.261,2.116,2.337,2.406
acmesmit,1,3,2,11.248,7.775,2.09,2.263,1.893
acmesmit,1,1,3,10.984,8.497,1.674,1.539,2.009
acmesmit,1,2,3,9.182,7.692,1.87,1.673,1.833
acmesmit,1,3,3,11.609,12.294,2.899,2.259,2.566
acmesmit,1,1,4,12.332,11.671,2.496,1.784,1.368
acmesmit,1,2,4,12.919,6.597,1.685,2.489,1.337
acmesmit,1,3,4,8.608,6.086,1.906,1.592,1.836
acmesmit,1,1,5,14.853,10.535,1.84,2.259,1.98
acmesmit,1,2,5,12.628,11.543,2.347,1.599,1.635
acmesmit,1,3,5,9.082,7.745,1.879,2.018,1.836
acmesmit,2,1,1,11.46,5.687,1.815,1.521,1.199
acmesmit,2,2,1,4.653,6.548,1.941,1.736,1.773
acmesmit,2,3,1,7.776,6.069,1.589,1.853,1.625
acmesmit,2,1,2,8.284,6.318,1.762,1.957,1.576
acmesmit,2,2,2,9.066,5.247,1.498,2.494,1.498
acmesmit,2,3,2,7.949,6.771,1.252,1.656,1.057
acmesmit,2,1,3,9.112,7.845,1.368,1.41,1.199
acmesmit,2,2,3,9.323,6.442,1.834,1.736,2.247
acmesmit,2,3,3,9.521,5.946,1.345,1.334,1.334
acmesmit,2,1,4,8.749,8.869,1.625,1.376,1.325
acmesmit,2,2,4,5.957,5.042,1.994,1.817,1.859
acmesmit,2,3,4,11.269,9.169,1.695,1.506,1.31
acmesmit,2,1,5,8.356,5.728,1.322,1.345,1.061
acmesmit,2,2,5,8.077,5.64,1.771,2.095,1.234
acmesmit,2,3,5,7.587,7.847,1.569,1.695,1.873
acmesmit,3,1,1,9.46,6.394,1.957,2.089,1.817
acmesmit,3,2,1,11.49,10.14,2.176,1.939,1.859
acmesmit,3,3,1,8.998,7.629,1.625,2.18,2.21
acmesmit,3,1,2,9.436,5.487,1.762,1.672,1.501
acmesmit,3,2,2,11.459,10.049,2.291,2.737,2.483
acmesmit,3,3,2,13.413,8.559,2.496,1.939,2.842
acmesmit,3,1,3,10.889,8.221,1.817,1.738,1.104
acmesmit,3,2,3,10.443,7.943,1.576,2.351,2.45
acmesmit,3,3,3,6.61,7.767,1.393,1.762,1.237
acmesmit,3,1,4,11.316,8.222,1.345,1.625,1.762
acmesmit,3,2,4,12.031,6.908,2.146,2.05,2.122
acmesmit,3,3,4,11.328,9.3,1.684,1.684,1.41
acmesmit,3,1,5,13.632,7.871,1.873,1.506,2.176
acmesmit,3,2,5,10.648,9.148,1.998,2.266,1.393
acmesmit,3,3,5,9.504,8.613,1.762,1.674,1.562
actelind,1,1,1,16.893,11.982,4.129,5.076,5.176
actelind,1,2,1,8.048,6.759,3.447,4.222,3.195
actelind,1,3,1,10.133,10.561,2.948,3.365,3.026
