abbrev,individual,fresh_vol,dry_mass,drying_temp,
acacfasc,1,32,26.53,80,x
acacfasc,2,61.66,49.66,80,x
acacfasc,3,95.94,74.46,80,x
ackapani,1,56.22,28.12,80,x
ackapani,2,106.81,52.46,80,x
ackapani,3,67.11,29.05,80,x
acmehemi,1,46.1,30.5,110,x
acmehemi,2,54.6,34.82,110,x
acmehemi,3,73.13,47.26,110,x
acmeinge,1,44.26,27.73,80,x
acmeinge,2,41.66,21.62,80,x
acmeinge,3,98.88,47.29,80,x
acraeudi,1,82.9,54.4,80,x
acraeudi,2,59.47,36.56,80,x
acraeudi,3,72.17,35.72,80,x
acrobaeu,1,51.01,36.9,80,x
acrobaeu,2,84.57,57.71,80,x
acrobaeu,3,42.72,27.83,80,x
acroimpe,1,96.9,55.02,110,x
acrolaev,1,57.1,41.51,80,x
acropauc,1,47.92,35.81,80,x
acropauc,2,53.61,40.54,80,x
acropauc,3,30.9,22.31,80,x
acropauc,4,36.95,25.65,80,x
acropauc,5,117.42,82.11,80,x
acropube,1,96.81,66.45,80,x
acropube,2,76.22,44.97,80,x
acropube,3,69.59,41.02,80,x
acrosube,1,57.49,32.22,80,x
acrosube,2,65.49,32.36,80,x
acrosube,3,64.91,31.64,80,x
akanbidw,1,58.9,31.89,80,x
akanbidw,2,78.35,40.02,80,x
akanbidw,3,92.16,45.21,80,x
alanvill,1,102.12,71.72,80,x
alanvill,2,69.73,44.63,80,x
alanvill,3,48.93,30.09,80,x
alecconn,1,61.5,58.46,80,x
alecconn,2,48.78,37.71,80,x
alecdive,1,65.26,56.16,80,x
alecsubc,2,73.91,56.75,80,x
alecsubc,3,61,46.89,80,x
alectome,1,160.12,137.83,80,x
alectome,2,82.26,70.06,80,x
alectome,3,58.8,48.41,80,x
alectome,4,94.52,75.68,80,x
alphexce,1,60.15,35.37,80,x
alphexce,2,60.32,38.04,80,x
alphexce,3,52.28,32.34,80,x
alphpetr,1,68.22,40.68,80,x
alphpetr,2,78.18,40.87,80,x
alphpetr,3,59.23,30.08,80,x
alyxmagn,1,42.88,30,110,x
amoranti,1,79.88,56.66,80,x
amoranti,2,64.92,46.93,80,x
anopmacl,1,35.84,18.95,80,x
anopmacl,2,49.77,29.19,80,x
anopmacl,3,32.81,15.99,80,x
aphaphil,1,49,35.98,80,
aphaphil,2,44.8,30.67,80,
aphaphil,3,46.65,27.17,80,x
aphaphil,4,71.25,41.27,80,x
apopanom,1,85.36,76,80,x
apopanom,2,49,42.71,80,x
archgran,1,47.44,28.96,80,x
archgran,2,57.81,33.81,80,x
archgran,3,85.47,49.86,80,x
archmuel,1,76.25,41.42,80,x
archthoz,1,83.81,72.32,80,x
archthoz,2,132.42,114.25,80,x
archthoz,3,93.75,77.01,80,x
