abbrev,individual_id,sample_id,leaflet_id,leaf_area_mm2,leaf_fresh_mass_g,leaf_dry_mass_g,notes
acacfasc,1,1,NA,761,0.3798,0.1879,
acacfasc,1,2,NA,855.5,0.4449,0.2232,
acacfasc,1,3,NA,839.1,0.4172,0.2081,
acacfasc,1,4,NA,917.3,0.4242,0.2043,
acacfasc,2,1,,1082.8,0.6925,0.3398,
acacfasc,2,2,,845.5,0.5775,0.2779,
acacfasc,2,3,,899.5,0.5528,0.2738,
acacfasc,2,4,,831.3,0.5946,0.2838,
acacfasc,3,1,,1041.3,0.5769,0.2332,
acacfasc,3,2,,1251.1,0.6278,0.2892,
acacfasc,3,3,,1256.3,0.7055,0.3328,
acacfasc,3,4,,1328,0.7001,0.3311,
acacfasc,4,1,,566.9,0.2432,0.1094,
acacfasc,4,2,,1349.6,0.6043,0.256,
acacfasc,4,3,,1053.9,0.4449,0.1547,
acacfasc,4,4,,1039.8,0.4401,0.1887,
acalcapi,1,1,NA,58.4,0.0103,0.0041,
acalcapi,1,2,NA,45.3,0.0071,0.0028,
acalcapi,1,3,NA,47.3,0.0076,0.0034,
acalcapi,1,4,NA,46.7,0.0073,0.0029,
ackapani,1,1,a,1557.919,0.3725,0.1322,
ackapani,1,1,b,1093.959,0.2476,0.0862,
ackapani,1,1,c,1084.754,0.2503,0.0872,
ackapani,1,2,a,1753.084,0.4183,0.148,
ackapani,1,2,b,2281.509,0.5749,0.2046,
ackapani,1,2,c,1229.442,0.306,0.1079,
ackapani,1,2,d,547.448,0.1243,0.0447,
ackapani,1,3,a,3121.771,0.7049,0.2423,
ackapani,1,3,b,4210.107,1.0258,0.35,
ackapani,1,3,c,4177.736,1.0133,0.349,
ackapani,1,3,d,1707.443,0.3662,0.1258,
ackapani,1,4,a,1189.729,0.2849,0.1033,
ackapani,1,4,b,1048.402,0.251,0.0894,
ackapani,1,4,c,2944.476,0.7534,0.2733,
ackapani,1,4,d,3836.068,1.0313,0.3736,
ackapani,2,1,a,1428.808,0.2749,0.0858,
ackapani,2,1,b,1888.382,0.3926,0.1329,
ackapani,2,1,c,673.994,0.1221,0.0395,
ackapani,2,1,d,573.242,0.1021,0.0323,
ackapani,2,2,a,6473.101,1.6826,0.5695,
ackapani,2,2,b,4885.198,1.1991,0.4183,
ackapani,2,2,c,2792.637,0.6449,0.2226,
ackapani,2,2,d,5729.734,1.4348,0.4976,
ackapani,2,3,a,1485.672,0.3266,0.1133,
ackapani,2,3,b,3362.582,0.8019,0.278,
ackapani,2,3,c,1322.125,0.2823,0.0968,
ackapani,2,3,d,3888.061,0.9752,0.3425,
ackapani,2,4,a,2738.248,0.6356,0.2177,
ackapani,2,4,b,1521.608,0.3413,0.113,
ackapani,2,4,c,1056.377,0.242,0.0779,
ackapani,3,1,a,1654.674,0.506,0.1992,
ackapani,3,1,b,1095.191,0.3162,0.125,
ackapani,3,1,c,1410.487,0.3647,0.1413,
ackapani,3,1,d,1172.165,0.2896,0.1127,
ackapani,3,2,a,2368.69,0.7672,0.2993,
ackapani,3,2,b,2103.36,0.6336,0.25,
ackapani,3,2,c,1977.049,0.5556,0.2177,
ackapani,3,2,d,1749.278,0.4847,0.1856,
ackapani,3,3,a,739.842,0.1563,0.0587,
ackapani,3,3,b,820.211,0.1838,0.0719,
ackapani,3,3,c,894.059,0.2122,0.0844,
ackapani,3,3,d,1210.786,0.3095,0.1214,
ackapani,3,4,a,1031.4,0.3164,0.125,
ackapani,3,4,b,711.889,0.2064,0.0827,
ackapani,3,4,c,511.126,0.1433,0.0581,
ackapani,3,4,d,635.668,0.1922,0.0783,
ackapani,4,1,a,3805.3,0.834,0.2756,
ackapani,4,1,b,2891.197,0.5782,0.1912,
ackapani,4,1,c,2137.879,0.4244,0.1429,
ackapani,4,2,a,1370.526,0.2788,0.0928,
ackapani,4,2,b,999.174,0.1895,0.0623,
ackapani,4,2,c,1929.377,0.4125,0.1332,
ackapani,4,3,a,2563.837,0.517,0.1705,
ackapani,4,3,b,2097.153,0.3959,0.1319,
ackapani,4,3,c,1254.211,0.2452,0.0811,
ackapani,4,4,a,1401.464,0.2667,0.0886,
ackapani,4,4,b,1642.107,0.3283,0.1084,
ackapani,4,4,c,2569.312,0.5198,0.1755,
acmeinge,1,1,NA,1769.995,0.4708,0.1687,
acmeinge,1,2,NA,1703.348,0.478,0.1731,
acmeinge,1,3,NA,1246.648,0.3204,0.1187,
acmeinge,1,4,NA,2288.209,0.7076,0.2525,
acmeinge,2,1,NA,5123.431,1.5809,0.5102,
acmeinge,2,2,NA,3447.606,1.0931,0.3561,
acmeinge,2,3,NA,3319.175,1.0914,0.3612,
acmeinge,2,4,NA,4614.69,1.4595,0.4713,
acmeinge,3,1,NA,1783.648,0.6493,0.2223,
