abbrev,individual_id,sample_id,leaflet_id,leaf_area_mm2,leaf_fresh_mass_g,leaf_dry_mass_g,notes,
acacmela,1,1,NA,926.54,0.1885,0.0741,,
acacmela,1,2,NA,1148.03,0.2507,0.0805,,
acacmela,1,3,NA,762.72,0.1603,0.0436,,
acacmela,1,4,NA,1141.12,0.2432,0.0789,,
acacmela,2,1,NA,1207.29,0.3026,0.1376,,
acacmela,2,2,NA,851.87,0.229,0.0993,,
acacmela,2,3,NA,955.81,0.2372,0.118,,
acacmela,2,4,NA,1109.7,0.27,0.1221,,
acacmela,3,1,NA,822.55,0.2429,0.0935,,
acacmela,3,2,NA,1029.56,0.3075,0.1188,,
acacmela,3,3,NA,920.47,0.2774,0.1065,,
acacmela,3,4,NA,907.65,0.2627,0.1199,,
acacmela,4,1,NA,1081.75,0.3587,0.1475,,
acacmela,4,2,NA,964.79,0.2857,0.116,,
acacmela,4,3,NA,984.95,0.326,0.1553,,
acacmela,4,4,NA,1023.36,0.3333,0.1485,,
acalcapi,1,1,NA,96.65,0.0164,0.0057,,
acalcapi,1,2,NA,135.45,0.0222,0.008,,
acalcapi,1,3,NA,93.11,0.0153,0.005,,
acalcapi,1,4,NA,123.56,0.0193,0.0069,,
acalcapi,3,1,NA,37.98,0.008,0.0025,,
acalcapi,3,2,NA,73.82,0.005,0.0022,,
acalcapi,3,3,NA,43.93,0.004,0.0014,,
acalcapi,3,4,NA,57.82,0.007,0.0024,,
acalcapi,4,1,NA,76.03,0.009,0.0033,,
acalcapi,4,2,NA,87.9,0.012,0.003,,
acalcapi,4,3,NA,79.18,0.008,0.0025,,
acalcapi,4,4,NA,57.96,0.006,0.0026,,
acrolaev,1,1,NA,1792.48,0.5726,0.1941,,
acrolaev,1,2,NA,1272.11,0.4171,0.1426,,
acrolaev,1,3,NA,1570.54,0.501,0.1757,,
acrolaev,1,4,NA,1125.1,0.3752,0.133,,
acrolaev,2,1,NA,642.44,0.2005,0.0886,,
acrolaev,2,2,NA,939.33,0.2974,0.1308,,
acrolaev,2,3,NA,1084.42,0.3397,0.1372,,
acrolaev,2,4,NA,842.91,0.2743,0.1106,,
acrolaev,3,1,NA,983.89,0.2791,0.1158,,
acrolaev,3,2,NA,1781.65,0.5458,0.2231,,
acrolaev,3,3,NA,1228.15,0.3432,0.1497,,
acrolaev,3,4,NA,1289.01,0.3565,0.1394,,
acrolaev,4,1,NA,1076.23,0.3481,0.1007,,
acrolaev,4,2,NA,1137.36,0.3309,0.0949,,
acrolaev,4,3,NA,952.9,0.2754,0.0811,,
acrolaev,4,4,NA,841.68,0.2549,0.0802,,
actelind,1,1,NA,2432.61,0.604,0.258,,
actelind,1,2,NA,2475.34,0.649,0.2829,,
actelind,1,3,NA,3833.33,0.998,0.4289,,
actelind,1,4,NA,2282.9,0.565,0.243,,
actelind,2,1,NA,3550.16,0.773,0.3791,,
actelind,2,2,NA,1444.72,0.302,0.1472,,
actelind,2,3,NA,2460.36,0.499,0.239,,
actelind,2,4,NA,3023.76,0.721,0.3598,,
actelind,3,1,NA,2017.57,0.423,0.2076,,
actelind,3,2,NA,1968.38,0.427,0.207,,
actelind,3,3,NA,2360.34,0.493,0.2393,,
actelind,3,4,NA,2080.77,0.455,0.2189,,
actelind,4,1,NA,3155.32,0.742,0.3237,,
actelind,4,2,NA,3463.02,0.925,0.4147,,
actelind,4,3,NA,4860.71,1.158,0.4945,,
actelind,4,4,NA,3210.28,0.775,0.3319,,
alecdive,1,1,NA,182.02,0.066,0.0381,,
alecdive,1,2,NA,124.2,0.045,0.0265,,
alecdive,1,3,NA,175.3,0.027,0.0157,suspect,
alecdive,1,4,NA,252.23,0.049,0.0283,,
alecdive,2,1,NA,165.14,0.03,0.0235,,
alecdive,2,2,NA,269.16,0.057,0.0426,,
alecdive,2,3,NA,155.51,0.031,0.0229,,
alecdive,2,4,NA,159.02,0.029,0.0236,,
alecdive,3,1,NA,153,0.044,0.0261,,
alecdive,3,2,NA,109.59,0.038,0.0221,,
alecdive,3,3,NA,100.63,0.036,0.0213,,
alecdive,3,4,NA,98.26,0.032,0.0185,,
alecdive,4,1,NA,214.96,0.075,0.041,,
alecdive,4,2,NA,122.82,0.042,0.022,,
alecdive,4,3,NA,114.94,0.036,0.0189,,
alecdive,4,4,NA,139.06,0.049,0.0256,,
alecsubd,1,1,rachis,71.87,0.065,0.0354,,
alecsubd,1,1,c,3792.38,0.683,0.3357,,
alecsubd,1,1,a,918.91,0.16,0.0796,,
alecsubd,1,1,b,3334.06,0.581,0.2815,,
alecsubd,1,1,d,883.94,0.148,0.0725,,
alecsubd,1,2,rachis,58.21,0.041,0.0223,,
alecsubd,1,2,b,1163.36,0.175,0.0964,,
alecsubd,1,2,c,320.34,0.046,0.0259,,
alecsubd,1,2,a,1519.3,0.223,0.1177,,
alecsubd,1,3,rachis,151.17,0.207,0.1092,,
alecsubd,1,3,a,5125.09,0.962,0.4841,,
alecsubd,1,3,c,2306.08,0.401,0.202,,
alecsubd,1,3,b,4654.33,0.82,0.406,,
alecsubd,1,3,d,1805.05,0.309,0.1527,,
alecsubd,1,4,rachis,93.81,0.07,0.0359,,
alecsubd,1,4,b,1849.2,0.291,0.1503,,
alecsubd,1,4,c,1735.76,0.271,0.1401,,
alecsubd,1,4,d,417.85,0.061,0.0311,,
alecsubd,1,4,a,1205.15,0.18,0.0892,,
alecsubd,2,1,rachis,68.11,0.035,0.0227,,
alecsubd,2,1,a,1258.85,0.239,0.1355,,
alecsubd,2,1,b,1041.14,0.194,0.108,,
alecsubd,2,1,d,259.64,0.046,0.0253,,
alecsubd,2,1,c,226.78,0.04,0.0219,,
alecsubd,2,1,f,163.85,0.027,0.0151,,
alecsubd,2,1,e,179.01,0.029,0.0151,,
alecsubd,2,2,rachis,37.13,0.016,0.0102,,
alecsubd,2,2,b,440.78,0.094,0.052,,
alecsubd,2,2,a,407.63,0.084,0.0468,,
alecsubd,2,2,c,52.27,0.008,0.0056,,
alecsubd,2,2,d,33.14,0.006,0.003,,
alecsubd,2,3,rachis,72.86,0.052,0.0278,,
alecsubd,2,3,a,898.03,0.175,0.0973,,
alecsubd,2,3,b,1038.33,0.199,0.1108,,
alecsubd,2,3,c,208.08,0.038,0.0213,,
alecsubd,2,3,d,141.74,0.025,0.0137,,
alecsubd,2,3,f,77.6,0.014,0.0075,,
alecsubd,2,3,e,78.02,0.011,0.0068,,
alecsubd,2,4,rachis,94.08,0.062,0.0351,,
alecsubd,2,4,a,818.46,0.172,0.0975,,
alecsubd,2,4,b,816.48,0.17,0.0968,,
alecsubd,2,4,c,477.07,0.1,0.0562,,
alecsubd,2,4,d,299.63,0.061,0.0344,,
alecsubd,2,4,g,79.6,0.017,0.0091,,
alecsubd,2,4,e,113.84,0.023,0.0129,,
alecsubd,2,4,f,112.33,0.023,0.012,,
alecsubd,2,4,h,72.82,0.013,0.0063,,
alecsubd,3,1,rachis,55.24,0.034,0.0199,,
alecsubd,3,1,b,870.46,0.2,0.1109,,
alecsubd,3,1,c,173.09,0.036,0.0217,,
alecsubd,3,1,d,135.93,0.029,0.0167,,
alecsubd,3,1,a,886.53,0.197,0.1088,,
alecsubd,3,2,rachis,67.44,0.048,0.0305,,
alecsubd,3,2,e,57.75,0.012,0.0096,,
alecsubd,3,2,f,47.68,0.008,0.0079,suspect,
alecsubd,3,2,d,155.47,0.036,0.0241,,
alecsubd,3,2,a,578.91,0.145,0.0876,,
alecsubd,3,2,b,546.54,0.132,0.0809,,
alecsubd,3,2,c,185.29,0.042,0.0264,,
alecsubd,3,3,rachis,105.66,0.08,0.0431,,
alecsubd,3,3,b,1351.45,0.307,0.1741,,
alecsubd,3,3,d,451.38,0.093,0.0515,,
alecsubd,3,3,f,186.21,0.036,0.0209,,
alecsubd,3,3,c,342.63,0.069,0.0383,,
alecsubd,3,3,e,100.72,0.018,0.0103,,
alecsubd,3,3,a,1368.92,0.0321,0.01794,suspect,
alecsubd,3,4,rachis,41.61,0.015,0.0104,,
alecsubd,3,4,b,343.98,0.076,0.0444,,
alecsubd,3,4,d,31.92,0.004,0.004,suspect,
alecsubd,3,4,c,58.15,0.012,0.0068,,
alecsubd,3,4,a,474.72,0.093,0.0538,,
alecsubd,4,1,a,753.76,0.126,NA,,
alecsubd,4,1,b,729.02,0.128,NA,,
alecsubd,4,1,c,175.25,0.028,NA,,
alecsubd,4,1,d,190.92,0.029,NA,,
alecsubd,4,1,rachis,70.45,0.036,NA,,
alecsubd,4,2,rachis,100.06,0.061,0.0393,,
