abbrev,individual_id,bundle_id,xylem_id,max_lumen_width,min_lumen_width,wall_thickness_1,wall_thickness_2,wall_thickness_3
gmelleic,1,1,1,0.02641,0.02132,0.00183,0.00225,0.00275
gmelleic,1,1,2,0.02223,0.02169,0.0033,0.00164,0.00225
gmelleic,1,1,3,0.02276,0.02195,0.003,0.00232,0.00202
gmelleic,1,1,4,0.02453,0.02003,0.00261,0.00318,0.00209
gmelleic,1,1,5,0.02132,0.01708,0.00288,0.00141,0.00164
gmelleic,1,2,1,0.02908,0.02371,0.00312,0.00312,0.00278
gmelleic,1,2,2,0.0194,0.01706,0.00198,0.00204,0.00183
gmelleic,1,2,3,0.02144,0.01566,0.0022,0.00252,0.0022
gmelleic,1,2,4,0.0207,0.02331,0.00354,0.00317,0.00336
gmelleic,1,2,5,0.01792,0.01454,0.00219,0.00235,0.00234
gmelleic,1,3,1,0.0203,0.02195,0.00229,0.00182,0.00228
gmelleic,1,3,2,0.02103,0.01684,0.00178,0.00186,0.00221
gmelleic,1,3,3,0.02063,0.02171,0.0014,0.00183,0.00249
gmelleic,1,3,4,0.02161,0.01877,0.00239,0.0038,0.00202
gmelleic,1,3,5,0.02491,0.01528,0.00288,0.00178,0.00219
crypscle,1,1,1,0.01156,0.00998,0.00417,0.00365,0.00319
crypscle,1,1,2,0.01184,0.01198,0.00336,0.00331,0.00391
crypscle,1,1,3,0.01203,0.01159,0.00318,0.00318,0.00258
crypscle,1,1,4,0.01156,0.01364,0.00258,0.00281,0.00292
crypscle,1,1,5,0.01148,0.0099,0.00351,0.00428,0.00314
crypscle,1,2,1,0.01025,0.00864,0.00264,0.00232,0.00252
crypscle,1,2,2,0.01386,0.01051,0.00314,0.00241,0.00231
crypscle,1,2,3,0.01433,0.00908,0.00326,0.00299,0.00308
crypscle,1,2,4,0.01478,0.01419,0.00351,0.00338,0.00431
crypscle,1,2,5,0.00717,0.00552,0.00387,0.00297,0.0039
crypscle,1,3,1,0.00901,0.0078,0.00269,0.00327,0.00243
crypscle,1,3,2,0.01343,0.01356,0.00393,0.0031,0.00319
crypscle,1,3,3,0.01451,0.00944,0.00306,0.00321,0.00281
crypscle,1,3,4,0.01136,0.00687,0.00288,0.00408,0.0024
crypscle,1,3,5,0.0131,0.01026,0.00254,0.00275,0.00226
phylsaur,1,1,1,0.01127,0.01072,0.00193,0.00211,0.00231
phylsaur,1,1,2,0.00992,0.01131,0.00209,0.00249,0.00195
phylsaur,1,1,3,0.02174,0.01049,0.00293,0.00283,0.00143
phylsaur,1,1,4,0.02015,0.01038,0.00251,0.00231,0.00161
phylsaur,1,1,5,0.01364,0.01644,0.00258,0.00206,0.0023
phylsaur,1,2,1,0.01971,0.01795,0.00265,0.00255,0.0013
phylsaur,1,2,2,0.02174,0.01223,0.00193,0.00307,0.0013
phylsaur,1,2,3,0.01319,0.01465,0.00226,0.00162,0.00176
phylsaur,1,2,4,0.02021,0.01302,0.00155,0.00197,0.0017
phylsaur,1,2,5,0.01055,0.01299,0.00285,0.00198,0.00166
phylsaur,1,3,1,0.01192,0.00927,0.00149,0.00175,0.00146
phylsaur,1,3,2,0.01067,0.01386,0.00158,0.00127,0.00097
phylsaur,1,3,3,0.01421,0.01031,0.00184,0.00159,0.00135
phylsaur,1,3,4,0.01964,0.01679,0.00235,0.00134,0.00212
phylsaur,1,3,5,0.0154,0.01233,0.00156,0.00158,0.00171
phylsaur,2,1,1,0.01558,0.01732,0.00239,0.00197,0.00192
phylsaur,2,1,2,0.02381,0.01705,0.00238,0.00213,0.00209
phylsaur,2,1,3,0.02039,0.0161,0.0041,0.00227,0.00208
phylsaur,2,1,4,0.01551,0.01993,0.00226,0.00164,0.00169
phylsaur,2,1,5,0.02099,0.01536,0.00243,0.00164,0.00163
phylsaur,2,2,1,0.01774,0.01419,0.00165,0.00155,0.00213
phylsaur,2,2,2,0.01817,0.00988,0.00134,0.00161,0.00155
phylsaur,2,2,3,0.01103,0.01171,0.00142,0.00119,0.00116
phylsaur,2,2,4,0.01885,0.01389,0.00188,0.00149,0.00184
phylsaur,2,2,5,0.01004,0.01507,0.00132,0.00177,0.0017
phylsaur,2,3,1,0.01223,0.01366,0.0017,0.00163,0.00158
phylsaur,2,3,2,0.01098,0.01229,0.0017,0.00172,0.00177
phylsaur,2,3,3,0.02554,0.00951,0.00156,0.00174,0.00174
phylsaur,2,3,4,0.01472,0.01454,0.00172,0.00152,0.00153
phylsaur,2,3,5,0.02337,0.01147,0.00155,0.00171,0.00207
phylsaur,3,1,1,0.00916,0.00786,0.00125,0.00149,0.00107
phylsaur,3,1,2,0.01381,0.01084,0.00212,0.00132,0.0014
phylsaur,3,1,3,0.00717,0.00619,0.0018,0.00149,0.00165
