abbrev,individual_id,fresh_vol,dry_mass,drying_temp
acacmela,1,15.86,9.25,80
acacmela,2,24.91,14.13,80
acacmela,3,39.81,31.4331,80
acacmela,4,40.2,31.872,80
acalcapi,1,7.52,4.88,80
acalcapi,2,34.54,25.18,80
acalcapi,3,28.83,22.2184,80
acmesmit,1,28.5,16.34,80
acmesmit,2,14.9,8.67,80
acmesmit,3,24.02,15.0296,80
acrolaev,1,25.46,21.13,80
acrolaev,2,55.08,37.38,80
acrolaev,3,23.63,17.3,80
actelind,1,21.65,15.668,80
actelind,2,19.93,14.6836,80
actelind,3,36.3,25.5347,80
alecconn,1,5.04,4.12,80
alecconn,2,10.08,8.56,80
alecdive,1,17.9,15.76,80
alecdive,2,20.3,16.5,80
alecdive,3,16.4,12.7,80
alecsubd,1,47.64,42.2048,80
alecsubd,2,6.19,4.863,80
alecsubd,3,9.04,7.8624,80
alecsubd,4,7.54,5.2663,80
alecsubd,5,6.89,6.79,80
alecsubd,6,34.21,29.9919,80
alstcons,1,20.4,12.04,80
alstcons,2,26.47,14.34,80
alstcons,3,23.54,14.0854,80
alyxrusc,1,18.63,14.12,80
alyxrusc,2,11.12,10.2033,80
alyxrusc,3,15.65,12.6037,80
alyxrusc,4,16.34,13.1962,80
alyxrusc,5,15.32,11.207,80
alyxrusc,6,20.9,16.744,80
anthniti,1,39.01,24.1569,80
anthniti,2,25.69,17.0491,80
anthniti,3,11.37,9.1096,80
araubidw,1,39.22,20.99,80
araucunn,1,67.24,38.0102,80
gossbidw,1,43.15,33.24,80
gossbidw,2,10.51,9.1383,80
gossbidw,3,35.5,30.17825,80
gossbidw,4,20.6,17.1568,80
backangu,1,27.14,21.75,80
backangu,2,37.34,32.52,80
backangu,3,37.7,32.66,80
baloinop,1,19.22,12.5,80
baloinop,2,48.17,29.959,80
baloinop,3,38.53,26.3756,80
baloinop,4,30.67,24.4538,80
bracdisc,1,17.34,6.69,80
bracdisc,2,30.63,10.54,80
bracdisc,3,52.25,19.64,80
bracrupe,1,26.22,14.84,80
bursspin,1,18.7,15.2769,80
bursspin,2,18.66,13.9182,80
bursspin,3,19.65,15.7066,80
psydodor,1,18.96,14.55,80
psydodor,2,31.81,24.35,80
psydodor,3,20.91,20.6699,80
psydodor,4,17.8,14.1806,80
psydlamp,1,25.77,21.61,80
psydlamp,2,19.22,16.5866,80
psydlamp,3,28.32,27.7965,80
capparbo,3,62.78,45.5165,80
capparbo,1,25.86,15.98,80
capparbo,2,12.04,7.39,80
casemult,1,47.71,41.1483,80
casemult,2,55.02,46.7867,80
casemult,3,30.99,25.3755,80
citrmoor,1,6.77,3.82,80
citrmoor,2,79.64,42.5276,80
citrmoor,3,102.44,60.279,80
claoaust,1,18.35,10.92,80
claoaust,2,10.47,6.11,80
claoaust,3,27.9,17.57,80
crotacro,1,9.03,6.27,80
crotacro,2,8.56,6.33,80
crotacro,3,26.97,19.59,80
crotacro,4,7.74,5.49,80
crotinsu,1,26.21,19.43,80
crotinsu,2,27.43,22.75,80
crotinsu,3,18.3,15.3114,80
cryperyt,1,14.4,7.96,80
crypfloy,1,11.56,8.54,80
crypobov,1,85.3,45.9897,80
crypobov,2,55.66,31.0743,80
crypobov,3,6.73,3.6068,80
cryptrip,1,21.77,16.6913,80
cryptrip,2,18.17,13.2013,80
dendphot,1,45.5,6.89,80
dendphot,2,26.36,7.25,80
dendphot,3,29.23,7.72,80
diosaust,1,15.81,9.9,80
diosaust,2,10.89,6.08,80
diosaust,3,40.84,28.9562,80
diosgemi,1,24.89,21.34,80
diosgemi,2,42.81,35.2461,80
diosgemi,3,26.34,22.2944,80
diospent,1,14.5,8.89,80
diospent,2,44.28,31.2296,80
diospent,3,98.07,61.3684,80
diplaust,1,14.64,7.78,80
diplaust,2,13.17,6.7966,80
drypdepl,1,31.48,24.48,80
drypdepl,2,64.45,54.0752,80
drypdepl,3,30.53,24.3924,80
drypdepl,4,27.72,22.9418,80
drypdepl,5,12.37,9.0479,80
ehreacum,1,24.05,12.69,80
ehreacum,2,84.76,48.1663,80
ehrememb,1,29.4,24.3876,80
ehrememb,2,66.08,47.05,80
ehrememb,3,31.52,22.7418,80
ehrememb,4,16.25,13.897,80
elaekirt,1,13.38,5.1933,80
elaekirt,2,92.66,55.4996,80
elaekirt,3,45.42,22.2698,80
elatxylo,1,27.45,19.64,80
elatxylo,2,12.39,8.82,80
elatxylo,3,21.91,16.7,80
elatxylo,4,38.45,33.05,80
erytnume,1,84.03,17.87,80
erytspli,1,18.03,14.91,80
erytspli,2,53.62,46.3979,80
erytspli ,3,27.55,24.1772,80
excodall,1,41.18,33.1399,80
excodall,2,41.24,27.7631,80
excodall,3,14.66,9.3298,80
flincoll,1,32.04,20.63,80
flincoll,2,18.24,14.28,80
flincoll,3,22.42,18.12,80
flincoll,4,18.72,14.7674,80
geijsali,1,9.12,5.6,80
geijsali,2,23.56,11.6351,80
geijsali,3,130.54,93.2616,80
guiosemi,1,15.25,9.71,80
guiosemi,2,19.54,12.62,80
guiosemi,3,43.24,27.7488,80
litsreti,1,6.27,2.91,80
litsreti,1,34.12,14.1418,80
denhbilo,1,11.12,7.73,80
denhbilo,2,16.21,11.29,80
denhbilo,3,12.56,8.54,80
denhbilo,4,27.4,19.49,80
dinoeryt,1,21.47,16.9439,80
melimicr,1,15.68,8.72,80
melimicr,2,20.48,9.97,80
melimicr,3,45.76,25.0686,80
neolaust,1,21.14,12.87,80
neolaust,2,32.1,19.81,80
neolaust,3,10.54,6.05,80
notemicr,1,21.5,16.63,80
notemicr,2,18.96,16.891,80
notemicr,3,32.6,27.4831,80
oleapani,1,21.51,16.0284,80
oleapani,1,82.69,69.6364,80
oleapani,3,53.71,45.2896,80
pittundu,1,27.36,18.69,80
pittundu,2,114.75,73.2191,80
pittundu,3,27.71,19.3846,80
pittvisc,1,7.21,5.5308,80
pittvisc,2,46.45,31.379,80
pittvisc,3,15.95,12.2462,80
pittvisc,4,30.84,24.9833,80
plancoti,1,22.92,19.3,80
plancoti,2,17.19,14.26,80
plancoti,3,13.68,11.14,80
