species,diaspore_type,dispersal_mode,seed_dispersal_uncertain,showy_fruit_no_reward,diaspore_diam_mm_lower,diaspore_diam_mm_upper,mean_diaspore_diam_mm,diaspore_notes,diaspore_measurement_notes,fruit_type,fruit_diam_mm_lower,fruit_diam_mm_upper,fruit_notes,Butler_dispersal_mode,Butler_seed_diam_mm,
Codonocarpus attenuatus,,,,,,,,,,,,,,,3,
Solanum aviculare,,,,,,,,,,,,,,,1,
Polyscias murrayi,,,,,,,,,,,,,,,2,
Macaranga tanarius,,,,,,,,,,,,,,,9,
Acacia fasciculifera,seed,myrmecochory,,no,5.5,,5.5,white funicle,used Butler,pod,10,13,brown,un,5.5,
Acacia maidenii,seed_aril,endozoochory,,NA,3,,3,aril-like funicle,used Butler,pod,2.5,4,brown,ae,3,
Acacia melanoxylon,seed_aril,endozoochory,,NA,2.5,,2.5,aril-like funicle,used Butler,pod,3.5,8,brown,ae,2.5,
Acalypha capillipes,seed,myrmecochory,,no,1,,1,,used Butler,capsule,2,3,green,un,1,
Ackama paniculosa,seed,anemochory,,NA,1,,1,,used Butler,capsule,2,3,brown,wa,1,
Acmena hemilampra,berry,endozoochory,,NA,10,20,15,white,,berry,10,20,white,ae,8,
Acmena ingens,berry,endozoochory,,NA,20,40,30,red,,berry,20,40,red,ae,18,
Acmena smithii,berry,endozoochory,,NA,5,20,12.5,purple,,berry,5,20,purple,ae,7,
Acradenia euodiiformis,seed,myrmecochory,,no,4,8,6,,assumed 1mm thick walls,follicle,6,10,brown,ae,3.5,Seed 5mm long. Assming 2mm width.
Acronychia baeuerlenii,drupe,endozoochory,,NA,8,12,10,green,,drupe,8,12,green,ae,4,Seed 3-5mm long. Roughly round in shape.
Acronychia imperforata,drupe,endozoochory,,NA,7,10,8.5,yellow,,drupe,7,10,yellow,ae,5,Seeds 4-6mm long.
Acronychia laevis,drupe,endozoochory,,NA,6,8,7,pink,,drupe,6,8,pink,ae,3,
Acronychia oblongifolia,drupe,endozoochory,,NA,11,15,13,white,,drupe,11,15,white,ae,3,
Acronychia pauciflora,drupe,endozoochory,,NA,7,9,8,pale green,,drupe,7,9,pale green,ae,2,
Acronychia pubescens,drupe,endozoochory,,NA,15,30,22.5,white,,drupe,15,30,white,ae,3,
Acronychia suberosa,drupe,endozoochory,,NA,10,15,12.5,white,,drupe,10,15,white,ae,3.5,
Actephila lindleyi,seed,endozoochory,uncertain,no,4,,4,,used Butler,capsule,10,12,green,un,4,
Akania bidwillii,seed,endozoochory,,yes,10,,10,yellow,,capsule,25,,red,eu,8,
Alangium villosum,drupe,endozoochory,,NA,10,20,15,black,,drupe,10,20,black,ae,7,
Alchornea ilicifolia,seed,myrmecochory,uncertain,no,4,,4,,used Butler,capsule,6,8,green,un,4,
Alectryon connatus,seed_aril,endozoochory,,NA,5,,5,red aril,used Butler,capsule,12,17,yellow,ae,5,
Alectryon diversifolius,seed_aril,endozoochory,,NA,6,10,8,red aril,assumed 2mm thick walls,capsule,10,14,green,ae,4,
Alectryon reticulatus,seed_aril,endozoochory,,NA,4,12,8,red aril,assumed 2mm thick walls,capsule,8,16,green,ae,5,
Alectryon subcinereus,seed_aril,endozoochory,,NA,6,8,7,red aril,assumed 1mm thick walls,capsule,8,10,green,ae,5,
Alectryon subdentatus,seed_aril,endozoochory,,NA,5,10,7.5,red aril,assumed 1.5mm thick walls,capsule,8,13,green,ae,5,
Alectryon tomentosus,seed_aril,endozoochory,,NA,5,9,7,red aril,assumed 1.5mm thick walls,capsule,8,12,green,ae,5,
Alphitonia excelsa,drupe,endozoochory,,NA,6,10,8,drupaceous,assumed fresh state,drupe,6,10,black,ae,3,
Alphitonia petriei,drupe,endozoochory,,NA,10,15,12.5,drupaceous,assumed fresh state,drupe,10,15,black,ae,2,
Alstonia constricta,seed,anemochory,,NA,5,,5,,used Butler,follicle,7,,green,wa,5,
Alyxia magnifolia,drupe,endozoochory,,NA,11,23,17,red,,drupe,11,23,red,ae,5,
Alyxia ruscifolia,drupe,endozoochory,,NA,8,15,11.5,orange,,drupe,8,15,orange,ae,5,
Amorphospermum antilogum,berry,endozoochory,,NA,30,65,47.5,purple,,berry,30,65,purple,ae,30,
Anopterus macleayanus,seed,anemochory,,NA,5,,5,,used Butler,capsule,20,,brown,wa,5,
Anthocarapa nitidula,seed_aril,endozoochory,,NA,10,,10,red aril,used Butler,capsule,10,25,yellow,eu,10,
Aphananthe philippinensis,drupe,endozoochory,,NA,7,10,8.5,black,,drupe,7,10,black,ae,3.5,
Apophyllum anomalum,berry,endozoochory,,NA,5,8,6.5,purple,,berry,5,8,purple,ae,NA,
Araucaria bidwillii,seed,hoarding,,NA,30,40,35,,,cone,300,,green,un,20,
Araucaria cunninghamii,seed,anemochory,,NA,20,25,22.5,,,cone,120,,green,wa,5,
Archidendron grandiflorum,seed,endozoochory,,yes,6,,6,,used Butler,pod,10,20,orange,eu,6,
Archidendron muellerianum,seed,endozoochory,,yes,6,,6,,used Butler,pod,7.7,9.5,orange,eu,6,
Archidendropsis thozetiana,seed,anemochory,,NA,5,,5,wing,used Butler,pod,10,20,green,wa,5,
Ardisia bakeri,drupe,endozoochory,,NA,7,10,8.5,black,,drupe,7,10,black,ae,5,
Argyrodendron actinophyllum,samara,anemochory,,NA,5,12,8.5,samara-like mericarp,excluded 55mm wing,samara,5,12,samara-like mericarp,wa,8,
Argyrodendron sp. Kin Kin,samara,anemochory,,NA,6,10,8,samara-like mericarp,excluded 75mm wing,samara,6,10,samara-like mericarp,wa,8,
Argyrodendron trifoliolatum,samara,anemochory,,NA,6,10,8,samara-like mericarp,excluded 40mm wing,samara,6,10,samara-like mericarp,wa,8,
Arytera dictyoneura,seed_aril,endozoochory,,NA,5,,5,red aril,used Butler,capsule,6,8,yellow,ae,5,
Arytera distylis,seed_aril,endozoochory,,NA,6,,6,red aril,used Butler,capsule,10,18,yellow,ae,6,
Arytera divaricata,seed_aril,endozoochory,,NA,6,,6,red aril,used Butler,capsule,8,13,yellow,ae,6,
Arytera foveolata,seed_aril,endozoochory,,NA,6,,6,red aril,used Butler,capsule,6,10,orange,ae,6,
Arytera microphylla,seed_aril,endozoochory,,NA,4,,4,red aril,used Butler,capsule,6,8,yellow,ae,4,
Atalaya multiflora,samara,anemochory,,NA,6,,6,samara-like mericarp,excluded 35mm wing,samara,6,0,samara-like mericarp,wa,6,
Atalaya salicifolia,samara,anemochory,,NA,5,,5,samara-like mericarp,excluded 35mm wing,samara,5,0,samara-like mericarp,wa,5,
Atractocarpus benthamianus,berry,endozoochory,,NA,15,30,22.5,orange,,berry,15,30,orange,ae,4,
Atractocarpus chartaceus,berry,endozoochory,,NA,15,30,22.5,red aril,,berry,15,30,red aril,ae,3,
Auranticarpa rhombifolia,seed,endozoochory,,yes,2.5,,2.5,,used Butler,capsule,6,8,orange,eu,2.5,
Backhousia angustifolia,seed,anemochory,,NA,1,,1,,used Butler,nut,1.5,2.5,brown,wa,1,
Backhousia kingii,seed,anemochory,,NA,0.5,,0.5,,half of fruit diam,nut,1,2,brown,wa,1,
Backhousia myrtifolia,seed,anemochory,,NA,1,,1,,used Butler,nut,4,7,brown,wa,1,
Backhousia subargentea,seed,anemochory,,no,0.5,,0.5,,half of fruit diam,nut,1,1.5,brown,un,1,
Baloghia inophylla,seed,endozoochory,,no,6,,6,,used Butler,capsule,12,18,green,un,6,
Baloghia marmorata,seed,endozoochory,,no,6,,6,,used congener,capsule,15,20,brown,un,13,Seeds 1.5 cm long. Assuming not completely round in shape.
Barklya syringifolia,seed,myrmecochory,uncertain,no,5,,5,,used Butler,pod,15,,brown,un,5,
Beilschmiedia elliptica,berry,endozoochory,,NA,10,13,11.5,black,,berry,10,13,black,ae,9,
Beilschmiedia obtusifolia,berry,endozoochory,,NA,15,25,20,black,,berry,15,25,black,ae,6,
Bosistoa pentacocca,seed,endozoochory,,no,11,,11,,used Butler,follicle,18,23,brown,eu,11,
Bosistoa transversa,seed,myrmecochory,,no,10,,10,,used Butler,follicle,8,10,brown,un,7,
Bouchardatia neurococca,seed,myrmecochory,,no,4,,4,,used Butler,follicle,6,10,brown,un,4,
Brachychiton acerifolius,seed,endozoochory,,yes,6,,6,,used Butler,follicle,30,40,black,eu,6,
Brachychiton australis,seed,endozoochory,,no,5.5,,5.5,,used Butler,follicle,30,40,brown,un,5.5,
Brachychiton discolor,seed,endozoochory,,no,8,,8,,used Butler,follicle,30,40,brown,un,8,
Brachychiton rupestris,seed,endozoochory,,no,4,,4,,used Butler,follicle,20,30,brown,un,4,
Breynia oblongifolia,berry,endozoochory,,NA,4,7,5.5,red,,berry,4,7,red,ae,2.5,
Bridelia exaltata,berry,endozoochory,,NA,8,13,10.5,black,,berry,8,13,black,ae,5,
Bridelia leichhardtii,drupe,endozoochory,,NA,3,7,5,black,,drupe,3,7,black,ae,2.5,
Bursaria incana,seed,anemochory,,NA,4,,4,,used Butler,capsule,6,10,brown,wa,4,
Bursaria spinosa,seed,anemochory,,NA,4,,4,,used congener,capsule,7,9,brown,wa,4,
Capparis arborea,berry,endozoochory,,NA,20,60,40,green,,berry,20,60,green,ae,5,
Capparis mitchellii,berry,endozoochory,,NA,30,60,45,yellow,,berry,30,60,yellow,ae,4,
Carissa ovata,berry,endozoochory,,NA,10,,10,black,,berry,10,0,black,ae,5,
Casearia multinervosa,seed_aril,endozoochory,,NA,5,,5,red aril,assumed 1.5mm thick walls,capsule,8,,yellow,ae,1.5,
Castanospermum australe,seed,hydrochory,,NA,40,,40,,used Butler,pod,50,,brown,un,40,
Castanospora alphandii,drupe,endozoochory,,NA,10,30,20,,pink; drupaceous,drupe,10,30,pink,un,18,
Casuarina cristata,seed,anemochory,,NA,5,10,7.5,samara,,cone,13,20,brown,wa,NA,
Celtis paniculata,drupe,endozoochory,,NA,8,10,9,black,,drupe,8,10,black,ae,5,
Cinnamomum oliveri,berry,endozoochory,,NA,12,18,15,black,,berry,12,18,black,ae,6,
Cinnamomum virens,berry,endozoochory,,NA,10,15,12.5,black,,berry,10,15,black,ae,5,
Citronella moorei,drupe,endozoochory,,NA,15,25,20,black,,drupe,15,25,black,ae,10,
Citrus australasica,berry,endozoochory,,NA,15,20,17.5,black,estimated fruit diam (only length given in app),berry,15,20,black,ae,4,
Citrus australis,berry,endozoochory,,NA,30,65,47.5,green,,berry,30,65,green,ae,5,
Claoxylon australe,seed_aril,endozoochory,,NA,2.5,,2.5,red aril,used Butler,capsule,6,,green,eu,2.5,
Claoxylon tenerifolium,seed_aril,endozoochory,,NA,2,,2,red aril,used Butler,capsule,7,,purple,ae,2,
Cleistanthus cunninghamii,seed,endozoochory,,no,3,,3,,used Butler,capsule,5,7,red,un,3,
Clerodendrum floribundum,drupe,endozoochory,,NA,8,12,10,black,,drupe,8,12,black,ae,3,
Clerodendrum tomentosum,drupe,endozoochory,,NA,5,8,6.5,black,,drupe,5,8,black,ae,2,
Coatesia paniculata,seed,myrmecochory,,no,2,,2,,used Butler,follicle,5,7,green,un,2,
Commersonia bartramia,seed,exozoochory,,NA,1.5,,1.5,,used Butler,capsule,15,25,brown,ae,1.5,
Corynocarpus rupestris,drupe,endozoochory,,NA,30,,30,red,,drupe,30,0,red,ae,25,
Croton acronychioides,seed,myrmecochory,uncertain,no,4,,4,,used Butler,capsule,10,,green,un,4,
Croton insularis,seed,myrmecochory,uncertain,no,3,,3,,used Butler,capsule,6,8,green,un,3,
Croton phebalioides,seed,myrmecochory,uncertain,no,3,,3,,used Butler,capsule,6,8,green,un,3,
Croton stigmatosus,seed,myrmecochory,uncertain,no,3,,3,,used Butler,capsule,6,8,brown,un,3,
Croton verreauxii,seed,myrmecochory,uncertain,no,3,,3,,used congener,capsule,6,,green,un,2.5,
Cryptocarya bidwillii,berry,endozoochory,,NA,9,11,10,black,,berry,9,11,black,ae,8,
Cryptocarya erythroxylon,berry,endozoochory,,NA,10,16,13,black,,berry,10,16,black,ae,10,
Cryptocarya floydii,berry,endozoochory,,NA,9,11,10,black,,berry,9,11,black,ae,11,
Cryptocarya foveolata,berry,endozoochory,,NA,10,15,12.5,black,,berry,10,15,black,ae,8,
Cryptocarya glaucescens,berry,endozoochory,,NA,12,18,15,black,,berry,12,18,black,ae,12,
Cryptocarya laevigata,berry,endozoochory,,NA,15,25,20,red,,berry,15,25,red,ae,12,
Cryptocarya macdonaldii,berry,endozoochory,,NA,10,12,11,black,,berry,10,12,black,ae,8,
Cryptocarya microneura,berry,endozoochory,,NA,11,13,12,black,,berry,11,13,black,ae,8,
Cryptocarya obovata,berry,endozoochory,,NA,10,12,11,black,,berry,10,12,black,ae,8,
Cryptocarya sclerophylla,berry,endozoochory,,NA,14,16,15,black,,berry,14,16,black,ae,8,
Cryptocarya triplinervis,berry,endozoochory,,NA,10,12,11,black,,berry,10,12,black,ae,5,
Cupaniopsis flagelliformis,seed_aril,endozoochory,,NA,8,,8,orange,used Butler,capsule,15,20,orange,ae,8,
Cupaniopsis newmanii,seed_aril,endozoochory,,NA,9,,9,yellow,used Butler,capsule,18,24,pink,ae,9,
Cupaniopsis parvifolia,seed_aril,endozoochory,,NA,5,,5,orange,used Butler,capsule,10,15,orange,ae,5,
Cupaniopsis serrata,seed_aril,endozoochory,,NA,8,,8,yellow,used Butler,capsule,12,16,brown,ae,8,
Cupaniopsis simulata,seed_aril,endozoochory,,NA,8,,8,orange,used Butler,capsule,15,28,orange,ae,8,
Cupaniopsis tomentella,seed_aril,endozoochory,,NA,10,,10,yellow,used Butler,capsule,20,27,orange,ae,10,
Cupaniopsis wadsworthii,seed_aril,endozoochory,,NA,9,,9,orange,used Butler,capsule,15,20,green,ae,9,
