species,family,Growth form,mean leaf area (cm2),dry matter content (%),SLA (mm2/mg),presence of hair on adult leaves,presence of hair on juvenile leaves,presence of spines on vegetative parts of plant,latitude,longitude
Banksia ericifolia,Proteaceae,Shrub,0.147136364,48.88405797,4.362180956,1,1,0,-33.59491667,151.2762778
Darwinia fasciculata,Myrtaceae,Shrub,0.058542857,38.50574713,5.825159915,0,0,0,-33.59491667,151.2762778
Epacris microphylla,Ericaceae,Shrub,0.063833333,59.42622951,8.804597701,0,0,0,-33.59491667,151.2762778
Grevillea speciosa,Proteaceae,Shrub,0.618947368,44.33333333,5.817174515,1,1,0,-33.59491667,151.2762778
Persoonia lanceolata,Proteaceae,Shrub,5.4429,37.6820208,4.292507886,0,0,0,-33.59491667,151.2762778
Macrozamia communis,Zamiaceae,Shrub,16.52495,49.54915807,3.623098005,0,0,1,-33.57775,151.2917222
Pultenea daphnoides,Fabaceae,Shrub,1.245909091,37.43718593,8.361805979,1,1,0,-33.57775,151.2917222
Syncarpia glomulifera,Myrtaceae,Tree,23.08,51.65383612,7.287653931,1,1,0,-33.57775,151.2917222
Capparis sp,Capparaceae,Climber,22.29492857,33.99026764,14.50831559,0,0,1,-12.41041667,130.8200833
Cupaniopsis anacardioides,Sapindaceae,Tree,41.39833333,47.14502972,12.1402737,0,0,0,-12.41041667,130.8200833
Pachygone ovata,Menispermaceae,Climber,50.4496,46.45404387,14.61460023,1,1,0,-12.41041667,130.8200833
Polyalthia sp,Annonaceae,Tree,88.2361,40.29411765,18.40168926,0,0,0,-12.41041667,130.8200833
Pongamia pinnata,Fabaceae,Tree,42.6545,33.28101056,26.54062496,1,0,0,-12.41041667,130.8200833
Alloteropsis semialata,Poaceae,Herb,8.416083333,28.39069317,14.36927323,0,,0,-12.45230556,131.1080278
Eucalyptus miniata,Myrtaceae,Tree,71.5165,44.79621543,5.80962632,0,0,0,-12.45230556,131.1080278
Terminalia ferdinandiana,Combretaceae,Tree,156.0438333,40.31193761,7.740269511,0,0,0,-12.45230556,131.1080278
Xanthostemon paradoxus,Myrtaceae,Tree,43.19558333,31.64487268,9.394428737,0,0,0,-12.45230556,131.1080278
Acacia aneura,Fabaceae,Tree,0.396387097,50.92345468,2.576100629,0,0,0,-23.523625,133.5619
Calotis hispidula,Asteraceae,Herb,,,,1,1,1,-23.523625,133.5619
Eragrostis eriopoda,Poaceae,Herb,0.536944444,44.65161923,10.62087912,0,,0,-23.523625,133.5619
Paraneurachne mueleri,Poaceae,Herb,1.055066667,35.42392567,12.97213115,1,,0,-23.523625,133.5619
Rhodanthe floribunda,Asteraceae,Herb,,,,1,1,0,-23.523625,133.5619
Corymbia opaca,Myrtaceae,Shrub,7.764416667,54.82922416,3.843770627,0,0,0,-23.72461667,133.8628333
Eriachne mucronata,Poaceae,Herb,0.3610625,48.96313364,6.796470588,0,,0,-23.72461667,133.8628333
Eucalyptus gammophylla,Myrtaceae,Shrub,44.01825,54.68492907,4.2955111,0,0,0,-23.72461667,133.8628333
Eucalyptus gillenii,Myrtaceae,Shrub,26.30642857,52.06674832,3.60962462,0,0,0,-23.72461667,133.8628333
Triodia brizoides,Poaceae,Herb,1.036190476,54.6704568,2.631197098,0,,1,-23.72461667,133.8628333
Acmena graveolens,Myrtaceae,Tree,61.2345,43.97287925,7.207450565,0,0,0,-16.10325,145.4461667
