Species,Date,Temp,CO2,Potnum,MeasTemp,Time.x,A_sat_umol_per_m2_s1,Cond_at_A_sat_mol_per_m2_s1,Ci_at_A_sat_ppm,Trans_at_A_sat_mmol_per_m2_s1,Time.y,A_max_umol_per_m2_s1,Cond_at_A_max_mol_per_m2_s1,Ci_at_A_max_ppm,Trans_at_A_max_mmol_per_m2_s1,CO2R,LA (cm2),Height (cm),Basaldia (mm),LeafDW (g),StemDW (g),RootDW (g),LMA (g m-2),LAR (m2 kg-1),age_at_harvest,Water,RootShoot,Leafnum,LAR m2 kg-1),Basaldia1 (mm),Basaldia2 (mm),Tipdia1 (mm),Tipdia2 (mm),Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,leaf_area_cm2_one_leaf,leaf_dry_mass_g_one_leaf,LMA_g_m2_one_leaf,LSolSugA (g m-2),LStarchA (g m-2),LSolPro (g m-2),ChlAandB (umol m-2),ChlAB,LeafpercentN (%),LeafpercentC (%),harvest_age,sample_temp,context
Eucalyptus saligna,1/04/2008,Amb,640,246,28,43116,14.3,0.245,277,2.2,12:08:39,27.1,0.253,1260,2.38,1499.61,6165,106,NA,29.98,26.58,45.36,48.44,NA,150_days,Wet,0.79,514,6,13.05,13.15,1.65,2.53,62,NA,29,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Amb,640,249,28,53931,18.3,0.396,284,5.51,15:08:51,25.8,0.299,1270,4.74,1499.14,5559,127,NA,24.09,29.93,26.25,43.28,NA,150_days,Wet,0.48,535,6.9,12.97,14.07,1.78,2.43,74,NA,35,39,0,NA,NA,NA,NA,NA,3.33,451.16,1.7,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Amb,640,256,28,45100,16.7,0.508,311,5.21,12:41:40,23.5,0.455,1340,5.24,1499.87,6707,138,NA,28.6,32.07,30.5,42.46,NA,150_days,Wet,0.5,384,7.3,13.02,12.41,1.4,2.48,35,NA,29,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Amb,640,271,28,35843,17.8,0.371,284,4.19,10:07:42,22.6,0.323,1610,3.45,1799.64,7553,110,NA,33.4,27.45,17.16,44.34,NA,150_days,Wet,0.28,665,9.5,13.45,12.18,2.25,2.26,83,NA,30,53,0,18.82,0.0807,42.88,2.91,3.2,NA,NA,NA,3.6543,47.36,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Amb,640,279,28,51277,18.4,0.233,232,3.99,14:24:35,36.7,0.182,1070,3.34,1499.45,6205,107,NA,29.58,29.59,46.42,47.78,NA,150_days,Wet,0.77,505,5.8,15.69,14.95,2.14,2.66,60,NA,32,28,0,20.73,0.1039,50.12,2.76,5.95,NA,NA,NA,2.5553,47.45,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Elv,280,443,28,46814,14.4,0.339,297,4.62,13:10:26,18.2,0.188,1270,3.13,1500.28,7138,114,NA,22.63,23.2,23.48,31.75,NA,150_days,Dry,0.5,876,10.1,10.7,11.83,1.94,2.97,98,NA,35,63,0,NA,NA,NA,NA,NA,1.75,476.62,1.91,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Elv,280,462,28,53435,14.6,0.297,285,4.74,15:00:53,18.9,0.255,1300,4.34,1500.06,5376,128,NA,19.82,19.59,19.3,36.93,NA,150_days,Dry,0.48,525,9,9.55,9.94,1.23,2.08,69,NA,35,34,0,12.84,0.0445,34.66,2.26,1.16,NA,NA,NA,3.6447,48.84,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Elv,280,472,28,43668.5,15.4,0.34299999999999997,294,3.54,12:03:16,-0.101,0.00273,1520,0.0474,1505.89,6467,131,NA,18.96,32.95,28.85,29.25,NA,150_days,Dry,0.55,503,7.9,11.6,14.74,1.95,3.42,50,NA,35,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Elv,280,474,28,35931,13.5,0.283,289,4.06,09:47:00,10,0.231,1670,3.2,1804.44,5936,124,NA,21.43,21.52,24.28,36.16,NA,150_days,Dry,0.55,622,8.7,10.57,11.32,1.31,2.93,85,NA,40,45,0,NA,NA,NA,NA,NA,3.41,319.75,1.87,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,1/04/2008,Elv,280,477,28,55460,15.8,0.35,289,5.15,15:34:36,20.5,0.23,1280,3.91,1500.18,6355,130,NA,18.24,20.52,13.61,28.71,NA,150_days,Wet,0.34,863,12,11.13,9.12,1.53,2.75,121,NA,39,82,0,10.13,0.0348,34.35,3.24,4.23,NA,NA,NA,3.4713,48.23,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
