species,Tree,Leaf type,Obs,initial entry,Photosynthesis (umol m-2 s-1),PARi (umol m-2 s-1),Irradiance,Stomatal conductance (mol m-2 s-1),Ci (umol mol-1),Ci/Ca,Transpiration (mmol m-2 s-1),Leaf to air VPD (kPa),Tair (degC),Tleaf (degC),CO2R (umol mol-1),CO2S (umol mol-1),H2OR (mmol mol-1),H2OS (mmol mol-1),RH_R,RH_S,Atmospheric pressure (kPa),Reference air saturation vapor pressure (kPa),Reference air vapor pressure (kPa),Reference air vapor pressure deficit (kPa),sampling_period
Eucalyptus tetrodonta,ET2N,mature,1,1,10.2,1725,saturating,0.233,257,0.739,7.22,3.22,37.07,37.64,363.07,347.81,24.411,32.815,38.87,52.26,100.8,6.302,2.449,3.852,October
Eucalyptus tetrodonta,ET2N,mature,2,2,12.2,1729,saturating,0.285,255,0.74,8.59,3.17,37.33,37.82,363.02,344.77,23.942,33.905,37.58,53.21,100.8,6.392,2.402,3.99,October
Eucalyptus tetrodonta,ET2N,mature,3,3,11.7,1671,saturating,0.365,273,0.793,9.52,2.82,37.55,37.25,362.27,344.27,24.424,35.436,37.89,54.97,100.8,6.469,2.451,4.018,October
Eucalyptus tetrodonta,ET2N,mature,4,4,11.1,1668,saturating,0.259,256,0.74,7.93,3.2,37.67,37.81,362.41,345.73,24.337,33.598,37.5,51.76,100.8,6.511,2.442,4.069,October
Eucalyptus tetrodonta,ET2N,mature,5,5,10.4,1673,saturating,0.292,269,0.776,8.77,3.17,37.76,37.78,362.88,346.81,23.633,33.77,36.25,51.79,100.8,6.543,2.372,4.171,October
Eucalyptus tetrodonta,ET2N,mature,6,6,9.89,1823,saturating,0.201,246,0.707,7.34,3.75,37.71,38.74,363.05,348.17,23.066,31.572,35.47,48.55,100.8,6.525,2.314,4.211,October
Eucalpytus tetradonta,ET2N,expanding,7,7,-3.66,1638,saturating,0.0907,404,1.105,3.98,4.34,37.96,39.29,362.99,365.64,23.114,27.767,35.06,42.12,100.8,6.614,2.319,4.295,October
Eucalpytus tetradonta,ET2N,expanding,8,8,5.23,1796,saturating,0.195,288,0.815,7.18,3.77,38.22,38.75,362.83,353.57,23.066,31.353,34.49,46.88,100.8,6.708,2.314,4.394,October
Eucalpytus tetradonta,ET2N,expanding,9,9,2.5,1253,saturating,0.119,301,0.841,4.86,4.07,38.36,38.84,363.15,358.05,23.037,28.71,34.19,42.61,100.8,6.759,2.311,4.448,October
Eucalpytus tetradonta,ET2N,expanding,10,10,-0.465,1543,saturating,0.0783,345,0.953,3.6,4.53,38.49,39.69,363.14,362.13,23.216,27.416,34.22,40.41,100.8,6.807,2.329,4.477,October
