Species,Resprouting ability,Leaf form,Vegetation,Biome,MAT,MAP,AI,P50 (-MPa),Wood density (mg mm-3),SLA (mm2 mg-1),Mean individual leaf size (cm2) (per 40 cm branch length),HV (x10-4),P88 (-MPa)
Hakea archaeoides,Resprouter,Broadleaved,Forest,Humid,16.82,1404,0.96,4.27,2.3,2.35,440.74,3.56,NA
Hakea bakeriana,Resprouter,Terete,Forest,Humid,16.64,1123.7,0.73,5.16,1.54,2.14,251.35,3.36,NA
Hakea bucculenta,Non-sprouter,Broad-leaved,Mediterranean,Arid,19.56,430.9,0.16,7.51,1.19,2.31,124.02,6.66,NA
Hakea cristata,Resprouter,Broad-leaved,Mediterranean,Arid,16.66,826.5,0.41,6.44,2.56,3.29,789.29,2.23,NA
Hakea dactyloides,Non-sprouter,Broad-leaved,Forest,Humid,15.24,1033.6,0.76,4.88,1.78,6.14,145.56,3.43,NA
Hakea eyreana,Resprouter,Terete,Arid,Arid,22.12,217.6,0.08,5.07,1.23,1.22,242.81,5.86,NA
Hakea francisiana,Non-sprouter,Broad-leaved,Mediterranean,Arid,18.09,303.3,0.13,7.73,1.53,2.28,162.72,3.82,NA
Hakea gibbosa,Non-sprouter,Terete,Forest,Humid,16.38,1202.1,0.82,5.44,1.42,2.3,129.17,2.74,NA
Hakea grammatophylla,Resprouter,Broad-leaved,Arid,Arid,20.53,330.9,0.13,7.99,3.67,5.95,505.2,2.14,NA
Hakea ivoryi,Resprouter,Terete,Grassland,Arid,20.38,361.9,0.14,6.8,1.41,1.69,176.21,5.78,NA
Hakea leucoptera,Resprouter,Terete,Arid,Arid,19.41,294.9,0.13,6.78,5.12,0.6,32.18,20.89,NA
Hakea macraeana,Non-sprouter,Terete,Forest,Humid,13.61,970.2,0.8,6.65,1.8,2.7,241.59,1.62,NA
Hakea microcarpa,Non-sprouter,Terete,Forest,Humid,11.58,1015.4,0.85,5.44,3.08,2.17,62.57,2.52,NA
Hakea salicifolia,Non-sprouter,Broad-leaved,Forest,Humid,15.39,1191.8,0.81,4.37,1.27,4.88,298.57,2.33,NA
Hakea tephrospermum,Resprouter,Terete,Grassland,Arid,17.44,424.2,0.2,7.5,1.34,2.65,96.99,8.51,NA
Hakea trifurcata,Non-sprouter,Terete,Mediterranean,Arid,17.03,588.4,0.33,5.91,2.19,3.06,103.78,5.09,NA
