Location,taxon,GF,Decid/ever,Leaf form,C3C4,Nfixer,leaf lifespan (months),SLA (cm2/g),Leaf size (cm2),Nmass (%),Narea (g/m2),Amass (nmol/g/s),Aarea (micromol/m2/s),Rdmass,Rdarea
Berrimah_66,Eucalyptus tetrodonta,T,E,S,C3,No,,63.5,,0.68,1.09,105,16.4, 7.0,1.1
Berrimah_66,Eucalyptus miniata,T,E,S,C3,No,,74.0,,0.86,1.17,119,16.1, 6.4,0.9
Berrimah_66,Planchonia careya,T,D,S,C3,No,,90.4,,1.20,1.36,126,14.0, 5.7,0.6
Berrimah_66,Terminalia ferdinandiana,T,D,S,C3,No,,107.0,,1.58,1.48,161,15.6, 6.4,0.6
Berrimah_66,Syzygium suborbiculare,T,SD,S,C3,No,,87.2,,1.19,1.37,92,10.5, 4.7,0.5
