Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
MARDRU,Marianthus drummondianus,native,PITTOSPORACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,shrub,3.25,Weighed,AMF,Brundrett 2008 for Family,,
MEDMIN,Medicago minima*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,1.16,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
MELINC,Melaleuca incana,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.13,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
MELLAT,Melaleuca lateriflora,native,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,0.41,Weighed,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
MELPOL,Melaleuca polycephala,native,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,0.07,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
MELPRE,Melaleuca preissiana,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.20,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
MELRAD,Melaleuca radula,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.08,Weighed,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
MELRHA,Melaleuca rhaphiophylla,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,0.34,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
MELSCA,Melaleuca scabra,native,MYRTACEAE,SEEDER,Bellairs & Bell 1990,canopy,Bell et al. 1993,shrub,0.12,Weighed,AMF/ECM,Brundrett&Abbott 1991,,
MELVIM,Melaleuca viminea,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.17,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,,
MICMED,Microtis media,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008 for the Genus,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,0.12,1.41
MICSTI,Microlaena stipoides,native,POACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,perennial grass,4.97,Kew SID,AMF,Lamont 1982 for Family,,
MILTEN,Millotia tenuifolia,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,annual forb,0.17,Weighed,AMF,Lamont 1982 for Family,,
MIRDIL,Mirbelia dilatata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.08,Weighed,Nfixer/AMF/ECM,Sprent 2001; Brundrett&Abbott 1991,0.05,1.93
MONDEB,Monopsis debilis*,weed,CAMPANULACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.01,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
MONGRA,Monotaxis grandiflora,native,EUPHORBIACEAE,RESPROUTER,Alcoa DB,soil,Default,shrub,1.80,McAlinden 1998,AMF,Brundrett 2008 for Family,,
MONOCC,Monotaxis occidentalis,native,EUPHORBIACEAE,RESPROUTER,Alcoa DB,soil,Default,perennial forb,1.80,Approximation based on one species,AMF,Brundrett 2008 for Family,,
NEUALO,Neurachne alopecuroidea,native,POACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial grass,2.13,Kew SID,AMF,Lamont 1982 for Family,,
OLABEN,Olax benthamiana,native,OLACACEAE,RESPROUTER,Alcoa DB,soil,Default,shrub,22.84,Weighed,Root hemiparasite,Brundrett 2008 for Genus,,
OLEAXI,Olearia axillaris,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.44,Kew SID,AMF,Lamont 1982 for Family,,
OLEPAU,Olearia paucidentata,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.13,Weighed,AMF,Brundrett&Abbott 1991,,
OPEAPI,Opercularia apiciflora,native,RUBIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,perennial forb,0.35,Approximation: avg seed mass of Opercularia species (n = 6).,AMF,Brundrett 2008 for Genus,,
OPEECH,Opercularia echinocephala,native,RUBIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,0.26,Weighed,AMF,Brundrett&Abbott 1991,,2.9
OPEHIS,Opercularia hispidula,native,RUBIACEAE,RESPROUTER,Burrows et al. 2008,soil,Vlahos & Bell 1986,perennial forb,0.26,Weighed,AMF,Brundrett 2008 for Genus,,
OPEVAG,Opercularia vaginata,native,RUBIACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,perennial forb,0.31,Weighed,AMF,Brundrett 2008 for Genus,,
ORNCOM,Ornithopus compressus*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,3.50,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
ORNPIN,Ornithopus pinnatus*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.96,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
OROMIN,Orobanche minor*,weed,OROBANCHACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered (weed),annual forb,0.02,Kew SID,Holoparasite,Brundrett 2008,,
ORTLAX,Orthrosanthus laxus,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,3.92,Kew SID,AMF,Brundrett 2008 for Family,,
OXACOR,Oxalis corniculata*,weed,OXALIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered (weed),annual forb,0.19,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
OXAPUR,Oxalis purpurea*,weed,OXALIDACEAE,RESPROUTER,Burrows et al. 2008 for Genus,soil,Infered (weed),perennial forb,0.64,Approximation: avg seed mass of Oxalis species (n = 15).,AMF,Brundrett pers. comm. 10 Aug 2012,,
PARLAT,Parentucellia latifolia*,weed,OROBANCHACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.02,Kew SID,Root hemiparasite,Brundrett 2008 for Genus,,
PARLOP,Paraserianthes lophantha,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,66.90,Kew SID,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Family ,0.05,1.88
PARVIS,Parentucellia viscosa*,weed,OROBANCHACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,annual forb,0.02,Kew SID,Root hemiparasite,Brundrett 2008 for Genus,,
PATBAB,Patersonia babianoides,native,IRIDACEAE,RESPROUTER,Smith et al. 2000,soil,Smith et al. 2000,perennial forb,1.68,Weighed,AMF,Brundrett 2008 for Genus,,
PATOCC,Patersonia occidentalis,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,2.60,Kew SID,AMF,Brundrett&Abbott 1991,,
PATPYG,Patersonia pygmaea,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,3.98,Nursery records,AMF,Brundrett 2008 for Genus,,
PATRUD,Patersonia rudis,native,IRIDACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,perennial forb,7.35,Nursery records,AMF,Brundrett 2008 for Genus,,
PATUMB,Patersonia umbrosa,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,25.40,Weighed,AMF,Brundrett 2008 for Genus,,
PENAIR,Pentaschistis airoides*,weed,POACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,annual grass,0.05,John Dwyer,AMF,Brundrett pers. comm. 10 Aug 2012,,
PENPEL,Pentapeltis peltigera,native,APIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,3.18,Weighed,AMF,Brundrett 2008 for Family,0.05,1.35
PERELL,Persoonia elliptica,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,tree,390.00,Abbott 1984,Hairy roots,Lamont 1982 for Genus,,
PERLON,Persoonia longifolia,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,tree,722.00,Abbott 1984,Hairy roots,Lamont 1982 for Genus,0.05,0.72
PERPRO,Persicaria prostrata,native,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,perennial forb,1.20,Kew SID,None,NM: Brundrett 2009 for Family,,
PETDUB,Petrorhagia dubia*,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.24,John Dwyer,None,NM: Brundrett pers. comm. 10 Aug 2012,,
PETLIN,Petrophile linearis,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,3.57,Nursery records,Root clusters,Skene 1998,,
PETSTR,Petrophile striata,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,7.42,Weighed,Root clusters,Skene 1998,,
PHAPAR,Phalaris paradoxa*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual grass,1.40,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
PHISPI,Philotheca spicata,native,RUTACEAE,SEEDER,Norman et al. 2006,soil,Inferred using data for Family,shrub,0.64,Weighed,AMF,Brundrett 2008 for Genus,,
PHYCAL,Phyllanthus calycinus,native,PHYLLANTHACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.00,"Standish et al, unpub data",AMF,Brundrett&Abbott 1991,0.06,1.29
PHYOCT,Phytolacca octandra*,weed,PHYTOLACCACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),perennial forb,4.79,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
PHYPAR,Phyllangium paradoxum,native,LOGANIACEAE,SEEDER,Alcoa DB,soil,Default,annual forb,0.03,Appoximation: avg seed mass of Mitrasacme species (n =2).,AMF,Brundrett 2008 for Family,,
PIMBRE,Pimelea brevistyla,native,THYMELACEAE,RESPROUTER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,5.63,Weighed,AMF,Brundrett 2008 for Genus,,
PIMCIL,Pimelea ciliata,native,THYMELACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,2.91,Weighed,AMF,Brundrett 2008 for Genus,,
PIMIMB,Pimelea imbricata,native,THYMELACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,shrub,0.97,Weighed,AMF,Brundrett&Abbott 1991,,
PIMLEH,Pimelea lehmanniana,native,THYMELACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,7.35,Weighed,AMF,Brundrett 2008 for Genus,,
PIMROS,Pimelea rosea,native,THYMELACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.31,McAlinden 1998,AMF,Brundrett 2008 for Genus,,
PIMSPE,Pimelea spectabilis,native,THYMELACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,8.20,Kew SID,AMF,Brundrett 2008 for Genus,,
PIMSUA,Pimelea suaveolens,native,THYMELACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.65,Weighed,AMF,Brundrett 2008 for Genus,,
PIMSYL,Pimelea sylvestris,native,THYMELACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,2.00,Roche 1997 ,AMF,Brundrett 2008 for Genus,,
PINPIN,Pinus pinaster*,weed,PINACEAE,SEEDER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,tree,50.45,Weighed,ECM,Brundrett 2009 for Genus,,
PLACOM,Platysace compressa,native,APIACEAE,SEEDER,Smith et al. 2000,soil,Bell et al. 1993,perennial forb,0.43,Weighed,AMF,Brundrett 2008 for Genus,,
PLAJUN,Platysace juncea,native,APIACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Family,perennial forb,0.77,Weighed,AMF,Brundrett 2008 for Genus,,
PLALAN,Plantago lanceolata*,weed,PLANTAGINACEAE,SEEDER,Alcoa DB,soil,Infered (weed),perennial forb,1.30,Kew SID,AMF,Brundrett 2008 for Genus,,
PLATEN,Platysace tenuissima,native,APIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,2.02,Weighed,AMF,Brundrett 2008 for Genus,,
POAANN,Poa annua*,weed,POACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,annual grass,0.30,Kew SID,AMF,Brundrett 2008 for Genus,,
PODANG,Podotheca angustifolia,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,annual forb,0.81,McAlinden 1998,AMF,Lamont 1982 for Family,,
PODGNA,Podotheca gnaphalioides,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,annual forb,0.90,Nursery records,AMF,Lamont 1982 for Family,,
PODGRA,Podolepis gracilis,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,annual forb,0.12,Milberg et al 1999,AMF,Lamont 1982 for Family,0.1,
PODLES,Podolepis lessonii,native,ASTERACEAE,SEEDER,Norman et al. 2006,soil,Infered using data for Genus,annual forb,0.12,Kew SID,AMF,Lamont 1982 for Family,,
POLAVI,Polygonum aviculare*,weed,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),annual forb,1.30,Kew SID,None,NM: Pendleton&Smith 1983,,
POLMON,Polypogon monspeliensis*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual grass,0.10,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
POLTET,Polycarpon tetraphyllum*,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.05,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
PORHUE,Poranthera huegelii,native,PHYLLANTHACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,0.67,Weighed,AMF/ECM,Brundrett 2008 for Genus,,
PORMIC,Poranthera microphylla,native,PHYLLANTHACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,annual forb,0.35,Kew SID,AMF/ECM,Brundrett 2008 for Genus,,
PRABRO,Prasophyllum brownii,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008 for Genus,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
PRAELA,Prasophyllum elatum,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
PSELUT,Pseudognaphalium luteoalbum,native,ASTERACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,annual forb,0.01,Kew SID,AMF,McGee 1986,,
PTEBAR,Pterostylis barbata,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
PTEESC,Pteridium esculentum,native,DENNSTAEDTIACE,SEEDER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Estimated,AMF,Brundrett 2008 for Genus,,
PTEPAN,Pterochaeta paniculata,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,annual forb,0.16,Nursery records,AMF,Lamont 1982 for Family,,
PTEPYR,Pterostylis pyramidalis,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
PTEREC,Pterostylis recurva,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
PTESCA,Pterostylis scabra,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
PTEVIT,Pterostylis vittata,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
PTIDEC,Ptilotus decipiens,native,AMARANTHACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,annual forb,2.74,Approximation: avg seed mass of Ptilotus species (n = 23),None,NM: Brundrett 2009 for Family,,
PTIDRU,Ptilotus drummondii,native,AMARANTHACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,4.16,Nursery records,None,NM: Brundrett 2009 for Family,,
PTIMAN,Ptilotus manglesii,native,AMARANTHACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,2.82,Nursery records,None,NM: Brundrett 2009 for Family,,
PYRNIG,Pyrorchis nigricans,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
QUIURV,Quinetia urvillei,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,annual forb,0.51,John Dwyer,AMF,Lamont 1982 for Family,,
RANCOL,Ranunculus colonorum,native,RANUNCULACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,4.65,Weighed,AMF,Brundrett 2008 for Genus,0.16,2.16
RAPRAP,Raphanus raphanistrum*,weed,BRASSICACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,21.58,Kew SID,None,NM: Brundrett 2009 for Family,,
REGCIL,Regelia ciliata,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,1.15,Kew SID,AMF,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,,
RHOCIT,Rhodanthe citrina,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,annual forb,0.03,Kew SID,AMF,Lamont 1982 for Family,,
ROMROS,Romulea rosea*,weed,IRIDACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),perennial forb,3.52,Kew SID,AMF,Brundrett&Abbott 1991,,
RUMCON,Rumex conglomeratus*,weed,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),perennial forb,1.50,Kew SID,None,NM: Brundrett 2009 for Family,,
RUMCRI,Rumex crispus*,weed,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),perennial forb,1.50,Kew SID,None,NM: Brundrett 2009 for Family,,
SAGAPE,Sagina apetala*,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.01,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
SAGPRO,Sagina procumbens*,weed,CARYOPHYLLACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,perennial forb,0.02,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
SCACAL,Scaevola calliptera,native,GOODENIACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,perennial forb,25.32,Weighed,AMF,Brundrett&Abbott 1991,0.07,1.57
SCAPIL,Scaevola pilosa,native,GOODENIACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,perennial forb,7.98,Weighed,AMF,Brundrett 2008 for Genus,,
SCAPLA,Scaevola platyphylla,native,GOODENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,31.83,Approximation: avg seed mass of Scaevola species (n = 10).,AMF,Brundrett 2008 for Genus,,
SCHDIS,Schoenus discifer,native,CYPERACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,annual sedge,1.24,Approximation: avg seed mass of Schoenus species (n = 5).,Root clusters,Lamont 1982 for Family,,
SCHLAT,Schoenus latitans,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,perennial sedge,1.24,Approximation: avg seed mass of Schoenus species (n = 5).,Root clusters,Lamont 1982 for Family,,
SENDIA,Senecio diaschides*,weed,ASTERACEAE,SEEDER,Ward et al. 1997,soil,Ward et al. 1997,perennial forb,0.89,Approximation: avg seed mass of Senecio species (n = 139),AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
SENHIS,Senecio hispidulus,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.25,Weighed,AMF,Lamont 1982 for Family,,
SENLEU,Senecio leucoglossus,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,annual forb,0.18,Weighed,AMF,Lamont 1982 for Family,,
SENPIN,Senecio pinnatifolius,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,annual forb,0.50,Kew SID,AMF,Lamont 1982 for Family,,
SENQUA,Senecio quadridentatus,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,perennial forb,0.14,Kew SID,AMF,Lamont 1982 for Family,0.17,3.58
SENVUL,Senecio vulgaris*,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,annual forb,0.22,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,0.32,4.05
SILGAL,Silene gallica*,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.34,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
SILHUM,Siloxerus humifusus,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,annual forb,0.26,Weighed,AMF,Lamont 1982 for Family,,
SOLNIG,Solanum nigrum*,weed,SOLANACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,perennial forb,0.70,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
SONASP,Sonchus asper*,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Vlahos & Bell 1986,annual forb,0.28,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
SONOLE,Sonchus oleraceus*,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,annual forb,0.35,Milberg et al 1999,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,0.14,2.98
SPEARV,Spergula arvensis*,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.40,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
SPEMAR,Spergularia marina,native,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Default,annual forb,0.05,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
SPERUB,Spergularia rubra*,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.07,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
SPHLIN,Sphaerolobium linophyllum,native,FABACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.11,Approximation: avg seed mass of Sphaerolobium species (n = 5).,Nfixer/AMF,Lamont 1982 on Nfixer and AMF for Family,,
SPHMAC,Sphaerolobium macranthum,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,6.53,Weighed,Nfixer/AMF,Lamont 1982 on Nfixer and AMF for Family,,
SPHMED,Sphaerolobium medium,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.96,Weighed,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Family ,,
SPHVIM,Sphaerolobium vimineum,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.10,Hanley et al 2003,Nfixer/AMF,Lamont 1982 on Nfixer and AMF for Family,,
SPYTRI,Spyridium tricolor,native,RHAMNACEAE,SEEDER,Rachel Standish,soil,Inferred using data for Family,shrub,0.82,Approximation: avg seed mass of Spyidium species species (n = 18).,ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,,
STAARV,Stachys arvensis*,weed,LAMIACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.70,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
STAMON,Stackhousia monogyna,native,CELASTRACEAE,RESPROUTER,Norman et al. 2006,soil,Inferred using data for Family,perennial forb,2.28,Weighed,AMF,Brundrett 2008 for Genus,,
STAVER,Stachystemon vermicularis,native,EUPHORBIACEAE,RESPROUTER,Alcoa DB,soil,Default,shrub,24.14,Weighed,AMF,Brundrett 2008 for Family,,
STEFIL,Stellaria filiformis,native,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Default,annual forb,0.42,Approximation: avg seed mass of Stellaria species (n = 16).,None,NM: Brundrett pers. comm. 10 Aug 2012,,
STEMED,Stellaria media*,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.40,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,,
STETRI,Stenanthemum tridentatum,native,RHAMNACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,shrub,0.82,Approximation: avg seed mass of Spyidium species species (n = 18).,ECM,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,,
STICOM,Stipa compressa,native,POACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,annual grass,3.91,McAlinden 1998,AMF,Lamont 1982 for Family,,
STILAT,Stirlingia latifolia,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,13.90,McAlinden 1998,Root clusters,Skene 1998; Brundrett&Abbott 1991,,
STRCYL,Streptoglossa cylindriceps,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,annual forb,1.06,Approximation: avg seed mass of Streptoglossa species (n= 3).,AMF,Lamont 1982 for Family,,
STUMUE,Stuartina muelleri,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,annual forb,ND,,AMF,Lamont 1982 for Family,,
STYAFF,Stylidium affine,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,0.59,Kew SID,AMF,Brundrett 2008 for Genus,,
STYAMO,Stylidium amoenum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,0.05,Weighed,AMF,Brundrett 2008 for Genus,0.04,0.92
STYBRU,Stylidium brunonianum,native,STYLIDIACEAE,SEEDER,Burrows et al. 2008,soil,Vlahos & Bell 1986,perennial forb,0.09,Weighed,AMF,Brundrett&Abbott 1991,,
STYBUL,Stylidium bulbiferum,native,STYLIDIACEAE,SEEDER,Roche 1997,soil,Bell et al. 1993,perennial forb,0.13,Weighed,AMF,Brundrett 2008 for Genus,,
STYCAL,Stylidium calcaratum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,annual forb,0.02,Nursery records,AMF,Brundrett 2008 for Genus,,
