Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
HIBSUB,Hibbertia subvaginata,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.67,Weighed,AMF,Brundrett 2008 for Genus,,
HIBVAG,Hibbertia vaginata,native,DILLENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,13.10,Weighed,AMF,Brundrett 2008 for Genus,,
HOLLAN,Holcus lanatus*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),perennial grass,0.30,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
HOLSET,Holcus setiger*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual grass,1.67,Approximation: avg seed mass of Holcus species (n = 2).,AMF,Brundrett pers. comm. 10 Aug 2012,,
HOMHOM,Homalosciadium homalocarpum,native,APIACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,annual forb,0.31,Weighed,AMF,Brundrett 2008 for Family,,
HORLEP,Hordeum leporinum*,weed,POACEAE,SEEDER,Rachel Standish,soil,Infered (weed),annual grass,3.90,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
HOVCHO,Hovea chorizemifolia,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,24.45,Weighed,Nfixer/AMF,Sprent 2001; Brundrett&Abbott 1991,,
HOVTRI,Hovea trisperma,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,20.41,Bell 1994,Nfixer/AMF,Sprent 2001; Brundrett&Abbott 1991,0.06,1.75
HYACOT,Hyalosperma cotula,native,ASTERACEAE,SEEDER,Norman et al. 2006,soil,Vlahos & Bell 1986,annual forb,0.07,Anne Cochrane,AMF,Brundrett&Abbott 1991,,
HYADEM,Hyalosperma demissum,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,annual forb,0.03,John Dwyer,AMF,Lamont 1982 for Family,,
HYBCAL,Hybanthus calycinus,native,VIOLACEAE,RESPROUTER,Roche 1997,soil,Inferred using data for Genus,perennial forb,3.13,Weighed,AMF,Brundrett 2008 for Genus,,
HYBDEB,Hybanthus debilissimus,native,VIOLACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,perennial forb,13.14,Weighed,AMF,Brundrett 2008 for Genus,,
HYBFLO,Hybanthus floribundus,native,VIOLACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,15.63,Nursery records,AMF,Brundrett 2008 for Genus,,
HYDCAL,Hydrocotyle callicarpa,native,ARALIACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,annual forb,0.44,Approximation: avg seed mass of Hydrocotyle species (n = 9),AMF,Brundrett 2008 for Genus,,
HYPANG,Hypocalymma angustifolium,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.41,Kew SID,AMF,Brundrett&Abbott 1991; Brundrett pers. comm. 10 Aug 2012,0.03,1
HYPCOR,Hypocalymma cordifolium,native,MYRTACEAE,RESPROUTER,Burrows et al. 2008,soil,Assume for Genus; fruit a capsule,shrub,0.18,Weighed,AMF,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,,
HYPEXS,Hypolaena exsulca,native,RESTIONACEAE,RESPROUTER,Alcoa DB,soil,Default,perennial rush,5.46,Approximation based on one species,Root clusters,Lamont 1982 for Family,,
HYPGLA,Hypochaeris glabra*,weed,ASTERACEAE,SEEDER,Smith et al. 2000,soil,Bellairs & Bell 1993,annual forb,0.41,Milberg et al 1999,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
HYPOCC,Hypoxis occidentalis,native,HYPOXIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,1.41,Approximation: avg seed mass of Hypoxis species (n = 10).,AMF,Allsop & Stock 1993,,
HYPROB,Hypocalymma robustum,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.50,Nursery records,AMF,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,,
ISOCUN,Isotropis cuneifolia,native,FABACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,perennial forb,12.60,Approximation based on one species,Nfixer/AMF,Sprent 2001; Lamont 1982 on AMF for Family ,,
ISOCYP,Isolepis cyperoides,native,CYPERACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Fgenus,perennial sedge,0.12,Approximation: avg seed mass of Isolepis species (n = 10).,Root clusters,Lamont 1982 for Family,,
ISODUB,Isopogon dubius,native,PROTEACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,4.41,Weighed,Root clusters,Skene 1998; Brundrett&Abbott 1991,,
ISOFOR,Isopogon formosus,native,PROTEACEAE,SEEDER,Burrows et al. 2008,canopy,Burrows et al. 2008,shrub,1.28,Kew SID,Root clusters,Skene 1998,,
ISOHYP,Isotoma hypocrateriformis,native,CAMPANULACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,annual forb,0.04,Nursery records,AMF,Brundrett 2008 for Family,,
ISOMAR,Isolepis marginata*,weed,CYPERACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,annual sedge,0.12,Approximation: avg seed mass of Isolepis species (n = 10).,Root clusters,Lamont 1982 for Family,,
ISOSPH,Isopogon sphaerocephalus,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,3.80,Weighed,Root clusters,Skene 1998,,
IXIVIS,Ixiolaena viscosa,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Infered using data for Family,annual forb,0.35,Approximation based on one species,AMF,Lamont 1982 for Family,,
JACALA,Jacksonia alata,native,FABACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,0.79,Weighed,Nfixer/AMF/ECM,Lamont 1982 on Nfixer and AMF for Family; Brundrett 2009 on ECM for Genus,,
JACFUR,Jacksonia furcellata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,5.92,Nursery records,Nfixer/AMF/ECM,Sprent 2001; Lamont 1982 on AMF for Family; Brundrett 2009 on ECM for Genus,,
JOHLUP,Johnsonia lupulina,native,HEMEROCALLIDACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,3.00,Roche 1997 ,AMF,Brundrett 2008 for Family,,
JUNBUF,Juncus bufonius*,weed,JUNCACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,annual rush,0.02,Kew SID,Root clusters,Brundrett 2009 for Family,,
