IDmerg1,ID_all,SPP,species_name,SITE,siteold,spp_old,WDkate,SectorArea,SpaceFrac,VessLumFrac,VessDens,VessD(arith),VessD(hydr),VessD95,Ktheo,space_in_nonlumen_perhaps,SolidFrac,nonlumSpaceFrac,FracNonlumen,densityNonlumen,densityNonspace
145,169,acador,Acacia doratoxylon,loRloP,glp,acador,0.76,0.89,0.07,0.07,116,25,31,32,2467,0.001,0.93,0.001,0.93,0.82,0.82
146,170,acahav,Acacia havilandiorum,loRloP,RHM,Acahav,0.92,0.7,0.04,0.04,79,23,29,31,1396,0.001,0.96,0.001,0.96,0.96,0.96
116,139,acaosw,Acacia oswaldii,loRhiP,RHW,Acaosw,0.98,0.66,0.03,0.03,60,23,29,28,937,0.002,0.97,0.002,0.97,1.01,1.01
53,59,acasua,Acacia suaveolens,hiRloP,glp,Acasua_syd,0.59,0.93,0.09,0.06,387,13,20,24,1247,0.03,0.91,0.028,0.94,0.63,0.65
55,61,acauli,Acacia ulicifolia,hiRloP,glp,acauli,0.6,0.96,0.09,0.07,221,18,29,37,3096,0.024,0.91,0.023,0.93,0.64,0.66
4,4,acmsmi,Acmena smithii,hiRhiP,ghp,acmsmi,0.66,0.86,0.11,0.1,305,18,23,27,2094,0.015,0.89,0.013,0.9,0.73,0.75
61,68,baneri,Banksia ericifolia,hiRloP,glp,baneri,0.59,0.6,0.12,0.11,333,19,23,25,1903,0.01,0.88,0.009,0.89,0.66,0.67
149,173,bercun,Bertya cunninghamii,loRloP,RHM,Bercun,0.75,0.62,0.09,0.06,218,18,21,23,1032,0.022,0.91,0.02,0.94,0.8,0.82
150,174,beyopa,Beyeria opaca,loRloP,RHM,beyopa,0.71,0.99,0.05,0.05,202,16,19,19,549,0.005,0.95,0.005,0.95,0.75,0.75
10,11,calser,Callicoma serratifolia,hiRhiP,ghp,calser,0.46,0.69,0.17,0.15,576,17,20,23,2115,0.025,0.83,0.021,0.85,0.54,0.55
155,179,caslae,Cassinia laevis,loRloP,RHM,Caslae,0.65,0.79,0.09,0.06,426,13,15,15,464,0.024,0.91,0.023,0.94,0.69,0.71
11,12,cerape,Ceratopetalum apetalum,hiRhiP,ghp,cerape,0.51,0.73,0.14,0.1,715,13,15,15,700,0.048,0.86,0.043,0.9,0.57,0.6
12,13,citpau,Citriobatus pauciflorus,hiRhiP,ghp,citpau,0.69,0.79,0.14,0.09,637,12,16,16,848,0.063,0.86,0.058,0.91,0.75,0.8
70,81,dilret,Dillwynia retorta,hiRloP,glp,DilRet,0.82,0.93,0.07,0.07,176,20,26,29,1841,0.008,0.93,0.007,0.93,0.88,0.88
122,145,dodvia,Dodonaea viscosa subsp. Angustifolia,loRhiP,RHW,Dodvian,0.9,0.84,0.07,0.06,223,18,21,22,1019,0.003,0.93,0.003,0.94,0.96,0.96
156,180,dodvic,Dodonaea viscosa subsp. Cuneata,loRloP,RHM,Dodvicu,0.79,0.91,0.07,0.06,240,17,20,21,966,0.007,0.93,0.007,0.94,0.85,0.85
124,147,dodvis,Dodonaea viscosa subsp. spatulata,loRhiP,RHW,Dodvisp,0.76,0.89,0.08,0.07,256,18,21,22,1221,0.006,0.92,0.006,0.93,0.83,0.83
16,17,dorsas,Doryphora sassafras,hiRhiP,ghp,dorsas,0.51,0.72,0.17,0.14,928,13,16,18,1325,0.035,0.83,0.03,0.86,0.59,0.61
17,18,epapul,Epacris pulchella,hiRhiP,ghp,epapul,0.67,0.8,0.08,0.07,588,12,12,13,321,0.016,0.92,0.015,0.93,0.72,0.73
157,181,eredes,Eremophila deserti,loRloP,RHM,Eredes,0.81,0.88,0.06,0.05,241,15,17,18,558,0.007,0.94,0.007,0.95,0.85,0.86
158,182,eregla,Eremophila glabra,loRloP,RHM,Eregla,0.76,0.84,0.07,0.05,327,14,17,17,542,0.016,0.93,0.015,0.95,0.81,0.82
127,150,erelon,Eremophila longifolia,loRhiP,RHW,Erelon,0.7,0.49,0.13,0.11,383,18,23,25,2272,0.014,0.87,0.012,0.89,0.79,0.8
128,151,eremit,Eremophila mitchellii,loRhiP,RHW,Eremit,0.72,0.87,0.08,0.07,282,17,20,21,1049,0.003,0.92,0.003,0.93,0.78,0.78
160,184,eucdum,Eucalyptus dumosa,loRloP,RHM,Eucdum,0.91,0.48,0.08,0.08,191,22,26,27,2006,0.001,0.92,0.001,0.92,0.99,0.99
161,185,eucsoc,Eucalyptus socialis,loRloP,RHM,Eucsoc,0.72,0.93,0.07,0.07,179,21,25,26,1631,0.002,0.93,0.002,0.93,0.78,0.78
131,154,geipar,Geijera parviflora,loRhiP,RHW,Geipar,1.01,0.64,0.08,0.07,205,20,23,25,1508,0.004,0.92,0.003,0.93,1.09,1.09
22,23,gomlat,Gompholobium latifolium,hiRhiP,ghp,Gomlat,0.72,0.89,0.08,0.07,221,17,25,31,1977,0.016,0.92,0.015,0.93,0.77,0.78
79,93,greold,Grevillea oldei,hiRloP,glp,greold,0.63,0.8,0.09,0.08,238,18,24,26,1720,0.019,0.91,0.017,0.92,0.68,0.7
132,155,haktep,Hakea tephrosperma,loRhiP,RHW,Haktep,0.73,0.87,0.07,0.05,260,14,18,18,620,0.024,0.93,0.023,0.95,0.76,0.78
85,100,hibobt,Hibbertia obtusifolia,hiRloP,glp,hibobt,0.64,0.58,0.11,0.1,401,17,20,22,1453,0.015,0.89,0.013,0.9,0.71,0.72
90,107,leppol,Leptospermum polygalifolium,hiRloP,glp,leppol,0.76,0.66,0.08,0.08,166,23,26,28,2171,0.003,0.92,0.003,0.92,0.83,0.83
92,110,leptri,Leptospermum trinervium,hiRloP,glp,Leptri,0.67,0.65,0.08,0.07,161,23,27,28,1841,0.004,0.92,0.004,0.93,0.72,0.73
93,111,leueri,Leucopogon ericoides,hiRloP,glp,leueri,0.66,0.81,0.09,0.09,367,17,18,20,1017,0.006,0.91,0.006,0.91,0.72,0.73
26,28,lommyr,Lomatia myricoides,hiRhiP,ghp,lommyr,0.52,0.76,0.15,0.12,454,17,22,25,2045,0.037,0.85,0.033,0.88,0.59,0.62
134,157,melunc,Melaleuca uncinata,loRhiP,RHW,Melunc,0.86,0.58,0.1,0.1,254,21,25,26,2113,0.006,0.9,0.005,0.9,0.95,0.96
165,189,melunc,Melaleuca uncinata,loRloP,RHM,MelUnc_m,0.8,0.59,0.11,0.11,291,21,24,26,2187,0.008,0.89,0.007,0.89,0.9,0.9
166,190,micses,Micromyrtus sessilis,loRloP,RHM,Micses,0.87,0.72,0.05,0.04,246,14,16,16,342,0.004,0.95,0.003,0.96,0.91,0.91
30,32,neodea,Neolitsia dealbata,hiRhiP,ghp,neodea,0.45,0.69,0.17,0.14,571,16,23,28,3094,0.041,0.83,0.035,0.86,0.52,0.54
168,192,oledec,Olearia decurrens,loRloP,RHM,Oledec,0.81,0.46,0.05,0.04,252,13,15,16,308,0.012,0.95,0.012,0.96,0.84,0.85
169,193,olepim,Olearia pimeleoides,loRloP,RHM,Olepim,0.99,0.47,0.05,0.03,285,11,12,12,133,0.021,0.95,0.02,0.97,1.02,1.04
34,36,palsca,Palmeria scandens,hiRhiP,ghp,palsca,0.46,0.83,0.15,0.11,573,14,24,32,3900,0.045,0.85,0.04,0.89,0.52,0.54
100,118,perlan,Persoonia lanceolata,hiRloP,glp,perlan,0.62,0.83,0.11,0.08,443,14,17,19,898,0.027,0.89,0.025,0.92,0.67,0.69
101,120,perlev,Persoonia levis,hiRloP,glp,Perlev_syd,0.58,0.36,0.13,0.11,531,15,19,22,1545,0.019,0.87,0.017,0.89,0.66,0.67
103,122,petpul,Petrophile pulchella,hiRloP,glp,petpul,0.56,0.76,0.11,0.1,419,16,19,20,1161,0.017,0.89,0.015,0.9,0.63,0.64
136,159,phidif,Philotheca difformis,loRhiP,RHW,Phidif,0.92,0.53,0.04,0.03,219,13,14,15,218,0.006,0.96,0.006,0.97,0.95,0.95
137,160,pimmic,Pimelea microcephala,loRhiP,RHW,Pimmic,0.67,0.91,0.08,0.06,290,15,19,20,857,0.02,0.92,0.018,0.94,0.71,0.73
110,133,pulros,Pultenaea rosmarinofolia,hiRloP,glp,pulros,0.77,0.76,0.05,0.04,158,18,21,22,687,0.004,0.95,0.004,0.96,0.81,0.81
41,44,rapvar,Rap var,hiRhiP,ghp,rapvar,0.53,0.75,0.17,0.14,1069,12,16,16,1328,0.039,0.83,0.033,0.86,0.61,0.64
139,163,senar3,Senna artemisioides var 3lft,loRhiP,RHW,Senart3,0.74,0.85,0.08,0.08,144,24,31,32,3146,0.004,0.92,0.004,0.92,0.8,0.8
