Family ,Species,Status,Fruit type,Sex type,Code,Source
Actinidiaceae,Saurauia andreana ,n,"fleshy, indeh",bi,1,Hyland et al. (2003)
Agavaceae,Pleomele angustifolia ,n,berry,bi,1,Pedley (1986)
Anacardiaceae,Blepharocarya involucrigera ,e,drupe,dio,2,Jessup (1985) 
Anacardiaceae,Buchanania arborescens ,n,drupe,bi,1,Jessup (1985) 
Anacardiaceae,Buchanania mangoides ,e,drupe,bi,1,Jessup (1985) 
Anacardiaceae,Buchanania obovata ,e,drupe,bi,1,Jessup (1985) 
Anacardiaceae,Euroschinus falcata var. falcata ,e,drupe,mono,3,"Morialty 2554, QRS"
Anacardiaceae,Pleiogynium timorense ,n,drupe,dio,2,Jessup (1985)
Anacardiaceae,Rhus taitensis ,n,drupe,dio,2,Jessup (1985)
Anacardiaceae,Semecarpus australiensis ,n,drupe,dio,2,Jessup (1985)
Annonaceae,Cananga odorata ,n,berry,bi,1,Hyland et al.  (2003)
Annonaceae,Fitzalania heteropetala ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Goniothalamus australis ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Haplostichanthus johnsonii ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Haplostichanthus sp. (Johnstone River LWJ 471) ,e,berry,bi ,1,Hyland et al. (2003).
Annonaceae,Meiogyne cilindrocarpa ,n,berry,bi,1,Hyland et al. (2003)
Annonaceae,Miliusa brahei ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Miliusa horsfieldii ,n,berry,bi,1,Hyland et al. (2003) 
Annonaceae,Miliusa traceyi ,e,berry,bi,1,Hyland et al. (2003) 
Annonaceae,Mitrephora zippelliana ,n,berry,bi,1,Hyland et al. (2003)
Annonaceae,Polyalthia australis ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Polyalthia michaelii ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Polyalthia nitidissima ,n,berry,bi,1,Hyland et al. (2003)
Annonaceae,Polyalthia ssp. (Wyvuri BH 2632RFK) ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Polyaulax ssp. (Tingle Scrub DGF 2676) ,e,berry,bi,1,Hyland et al. (2003)
Annonaceae,Pseuduvaria froggattii ,e,"fleshy, indeh",dio,2,Jessup (1987)
Annonaceae,Pseuduvaria hylandii ,e,berry,dio,2,Jessup (1987) 
Annonaceae,Pseuduvaria mulgraveana var. glabrescens ,e,berry,dio,2,Jessup (1987) 
Annonaceae,Xylopia maccreae ,e,follicles,bi,1,Hyland et  al. (2003)
Annonaceae,Xylopia ssp. (B. Homestead CD CC173) ,e,follicles,bi,1,"flowers not seen, estimated to be bisexual."
Apocynaceae,Alstonia actinophylla ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Alstonia linearis ,e,follicles,bi,1,Forster (1996)
Apocynaceae,Alstonia muelleriana ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Alstonia scholaris ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Alstonia spectabilis ssp. ophioxyloides ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Alstonia spectabilis ssp. spectabilis ,e,follicles,bi,1,Forster (1996)
Apocynaceae,Alyxia orophila ,e,drupe,bi,1,Forster (1996)
Apocynaceae,Cerbera floribunda ,n,drupe,bi,1,Forster (1996) 
Apocynaceae,Cerbera inflata ,e,drupe,bi,1,Forster (1996) 
Apocynaceae,Cerbera manghas ,n,drupe,bi,1,Forster (1996) 
Apocynaceae,Kopsia arborea ,n,drupe,bi,1,Forster (1996)
Apocynaceae,Neisosperma poweri  ,e,drupe,bi,1,Forster (1996)
Apocynaceae,Tabemaemontana pubescens ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Voacanga grandifolia ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Wrightia laevis ssp. millgar ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Wrightia pubescens ssp. penicillata ,n,follicles,bi,1,Forster (1996)
Apocynaceae,Wrightia pubescens ssp. pubescens ,e,follicles,bi,1,Forster (1996)
Aquifoliaceae,Ilex arnhemensis ssp. arnhemensis ,n,drupe,dio,2,Pedley (1984)
Aquifoliaceae,Ilex arnhemensis ssp. ferdinandi ,e,drupe,dio,2,Pedley (1984)
Aquifoliaceae,Ilex ssp. (Gadgarra BH 2011RFK) ,e,drupe,dio?,2,"females not seen, estimated to be dioecious"
Aquifoliaceae,Sphenostemon lobosporus ,e,drupe,dio,2,Pedley (1984)
Araliaceae,Delarbrea michieana ,e,drupe,mono,3,Lowry (1986)  
Araliaceae,Gastonia spectabilis ,n,drupe,bi,1,Hyland et al. (2003) 
Araliaceae,Polyscias australiana ,n,drupe,bi,1,Hyland et al. (2003) 
Araliaceae,Polyscias bellendenkerensis ,e,drupe,bi,1,Hyland et al. (2003)
Araliaceae,Polyscias elegans ,n,drupe,mono,3,"Gray 4470, QRS"
Araliaceae,Polyscias mollis ,e,drupe,dio,2,Hyland et al. (2003)
Araliaceae,Polyscias murrayi ,e,drupe,bi,1,Hyland et al. (2003)
Araliaceae,Polyscias nodosa ,n,drupe,bi,1,Hyland et al. (2003)
Araliaceae,Polyscias willmottii ,e,drupe,bi,1,Hyland et al. (2003)
Araliaceae,Schefflera actinophylla ,n,drupe,bi,1,Hyland et al. (2003)
Araliaceae,Schefflera bractescens ,n,drupe,bi,1,"Hyland 9521, QRS"
Balanopaceae,Balanops australiana ,e,"pyrenes, fleshy",dio,2,Carlquist (1989) 
Bignoniaceae,Deplanchea tetraphylla ,n,capsule,bi,1,Hyland et al.  (2003)
Bixaceae,Cochlospermum gillivraei ssp. gillivraei ,n,capsule,bi,1,George (1982)
Boraginaceae,Cordia dichotoma ,n,drupe,dio,2,Johnston (1951) 
Boraginaceae,Cordia subcordata ,n,drupe,bi,1,Johnston (1951) 
Boraginaceae,Ehretia acuminata ,n,drupe,bi,1,Hyland et al.  (2003)
Boraginaceae,Ehretia membranifolia ,e,drupe,bi,1,Hyland et al.  (2003)
Brassicaceae (Capparaceae),Capparis arborea ,e,berry,bi,1,"Hewson (1982), FOA 8"
Brassicaceae (Capparaceae),Capparis sp. (Forty Mile Scrub BH 3883RFK) ,e,berry,bi,1,Hyland et al.  (2003)
Brassicaceae (Capparaceae),Crateva religiosa ,n,berry,bi,1,Hewson (1982)
Burseraceae,Canarium acutifolium ,n,drupe,dio,2,Hyland et al.  (2003)
Burseraceae,Canarium australasicum ,e,drupe,dio,2,Hewson (1985) 
Burseraceae,Canarium australianum var. australianum ,n,drupe,dio,2,Hewson (1985) 
Burseraceae,Canarium muelleri ,e,drupe,dio,2,Hewson (1985) 
Burseraceae,Canarium vitiense ,n,drupe,dio,2,Hewson (1985) 
Burseraceae,Garuga floribunda ,n,drupe,bi,1,Hewson (1985)
Calycanthaceae (Idiospermaceae),Idiospermum australiense ,e,drupe,mono,3,Worboys (in press)
Casuarinaceae,Allocasuarina torulosa ,e,samara,dio,2,Wilson and Johnson (1989)
Casuarinaceae,Casuarina equisetifolia ,n,samara,mono,3,Wilson and Johnson (1989)
Casuarinaceae,Gymnostoma australianum ,e,samara,mono,3,Hyland et al. (2003)
Celastraceae,Denhamia obscura ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Denhamia oleaster ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Denhamia pittosporoides ssp. angustifolia ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Denhamia pittosporoides ssp. pittosporoides ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Denhamia viridissima ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Elaeodendron australe var. australe ,e,drupe,dio,2,Jessup (1984)
Celastraceae,Elaeodendron melanocarpum ,e,drupe,dio,2,Jessup (1984)
Celastraceae,Euonymus australiana ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Hedraianthera porphyropetala ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Hedraianthera ssp. (Mossman VKM 2557) ,e,capsule,bi,1,Hyland et al. (2003)
Celastraceae,Hypsophila dielsiana ,e,capsule,bi,1,Hyland et al. (2003)
Celastraceae,Hypsophila halleyana ,e,capsule,bi,1,Hyland et al. (2003)
Celastraceae,Lophopetalum arnhemicum ,e,capsule,bi,1,Jessup (1984)
Celastraceae,Maytenus disperma ,e,capsule,dio,2,Hyland et al. (2003)
Celastraceae,Maytenus fasciculiflora ,e,capsule,dio,2,Hyland et al. (2003)
Celastraceae,Maytenus sp. (Windsor Tableland BH 3416RFK) ,e,capsule,mono/dio?,4,Hyland et al. (2003)
Celastraceae,Perrottetia arborescens ,e,berry,bi,1,Jessup (1984)
Celastraceae,Pleurostylia opposita ,n,nut,bi,1,Jessup (1984)
Celastraceae,Siphonodon australis ,e,drupe,bi,1,Hyland et al. (2003)
Celastraceae,Siphonodon membranaceus ,e,drupe,bi,1,Hyland et al. (2003)
Chrysobalanaceae,Maranthes corymbosa ,n,drupe,bi,1,Hyland et al. (2003)
Chrysobalanaceae,Parinari nonda ,n,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Calophyllum australianum ,e,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Calophyllum bicolor ,n,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Calophyllum costatum ,e,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Calophyllum inophyllum ,n,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Calophyllum sil,n,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Calophyllum soulattri ,n,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Garcinia brassii ,e,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Garcinia dulcis ,n,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Garcinia gibbsiae ,e,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Garcinia mestonii ,e,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Garcinia riparia ,n,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Garcinia ssp. (Claudie River LJB 19658) ,e,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Garcinia ssp. (Davies Creek JGT 14745) ,n,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Garcinia warrenii ,n,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Mammea touriga ,e,drupe,dio,2,Hyland et al. (2003)
Clusiaceae,Mesua lamachiana ,e,drupe,bi,1,Hyland et al. (2003)
Clusiaceae,Mesua ssp. (Boonjee AKI 1218) ,e,drupe,bi,1,Hyland et al. (2003)
Combretaceae,Dansiea elliptica ,e,unknown,bi,1,Pedley (1990)
Combretaceae,Macropteranthes montana ,e,"dry, pseuodocarp",bi,1,Pedley (1990)
Combretaceae,Terminalia arenicola ,e,"pseudocarp, dry",mono,3,Pedley (1990)
Combretaceae,Terminalia aridicola ssp. chillagoensis ,e,"pseudocarp, dry",mono,3,"Hyland 5641, QRS"
Combretaceae,Terminalia catappa ,n,"pseudocarp, dry",mono,3,"Hyland 15456, QRS"
Combretaceae,Terminalia complanata ,n,"pseudocarp, dry",mono,3,"Hyland 11531, QRS"
Combretaceae,Terminalia erythrocarpa ,e,"pseudocarp, dry",mono,3,Pedley (1990)
Combretaceae,Terminalia muelleri ,e,"pseudocarp, dry",mono,3,"Le Cussan 641, QRS"
Combretaceae,Terminalia oblongata ssp. volucris ,e,"pseudocarp, dry",mono,3,"Kenneally 10384 and Hyland, QRS"
Combretaceae,Terminalia petiolaris ,e,"pseudocarp, dry",mono,3,Pedley (1990)
Combretaceae,Terminalia platyphylla ,e,"pseudocarp, dry",mono,3,"Hyland 13896, QRS"
Combretaceae,Terminalia platyptera,,"pseudocarp, dry",mono,3,"Clarkson 4246A, QRS"
Combretaceae,Terminalia sericocarpa ,e,"pseudocarp, dry",mono,3,"Hyland 5634, QRS"
Combretaceae,Terminalia subacroptera ,n,"pseudocarp, dry",mono,3,"Hyland 7978, QRS"
Cornaceae (Alangiaceae),Alangium ssp. (Claudie Riv. BH2682RFK) ,e,drupe,bi,4,Not resolved
Cornaceae (Alangiaceae),Alangium villosum ssp. polyosmoides ,n,drupe,bi,1,Hewson (1984) 
Cornaceae (Alangiaceae),Alangium villosum ssp. tomentosum ,n,drupe,bi,1,Hewson (1984) 
Corynocarpaceae,Corynocarpus cribbianus ,n,drupe,bi,1,Guymer (1984)
Cunoniaceae,Acsmithia davidsonii ,e,follicles,bi,1,Hoogland 1979b; Hyland et al. (2003)
Cunoniaceae,Caldcluvia australiensis ,e,capsule,bi,1,Hoogland 1979; Hyland et al. (2003)
Cunoniaceae,Ceratopetalum corymbosum ,e,indeh. capsule,bi,1,Rozefelds & Barnes (2002)
Cunoniaceae,Ceratopetalum macrophyllum ,e,indeh. capsule,bi,1,Rozefelds & Barnes (2002)
Cunoniaceae,Ceratopetalum ssp. (Mt Hemmant BH 3338RFK) ,e,indeh. capsule,bi,1,Hyland et al. (2003)
Cunoniaceae,Ceratopetalum ssp. (Mt Spurgeon BH 1501RFK) ,e,indeh. capsule,bi,1,Hyland et al. (2003)
Cunoniaceae,Ceratopetalum succirubrum ,n,nut,bi,1,Rozefelds & Barnes (2002)
Cunoniaceae,Ceratopetalum virchowii ,e,nut,bi,1,Rozefelds & Barnes (2002)
Cunoniaceae,Davidsonia pruriens ,e,drupe,bi,1,Harden and Williams (2000)
Cunoniaceae,Geissois biagiana ,e,capsule,bi,1,Schimanski and Rosefelds (2002) 
Cunoniaceae,Gillbeea adenopetala ,e,samara,bi,1,Hyland et al.  (2003)
Cunoniaceae,Pseudoweinmannia lachnocarpa ,e,capsule,bi,1,Hyland et al.  (2003)
Cunoniaceae,Pullea stutzeri ,e,nut,bi,1,Hyland et al.  (2003)
Cunoniaceae,Schizomeria ovata ,e,drupe,bi,1,Hyland et al.  (2003); Hufford and Dickison 1992
Cunoniaceae,Schizomeria whitei ,e,drupe,mono,3,Hyland et al.  (2003); Hufford and Dickison 1992
Datiscaceae,Tetrameles nudiflora ,n,capsule,dio,2,van Steenis (1953)
Dilleniaceae,Dillenia alata ,n,capsule,bi,1,Hyland et al.  (2003)
Ebenaceae,Diospyros calycantha ,n,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros compacta ,e,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros cupulosa ,n,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros fasciculosa ,n,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros geminata ,n,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros hebecarpa ,n,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros humilis ,n,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros maritima ,n,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros pentamera ,e,berry,dio,2,Hyland et al. (2003) 
Ebenaceae,Diospyros ssp. (Baird LA BH 9374) ,e,berry,dio,2,Hyland et al.  (2003)
Ebenaceae,Diospyros ssp. (Mt Lewis LSS 10107) ,e,berry,dio,2,Hyland et al.  (2003)
Ebenaceae,Diospyros ssp. (Mt Spurgeon CTW 10677) ,e,berry,dio,2,Hyland et al.  (2003)
Ebenaceae,Diospyros ssp. (Mt White PIF 14415) ,e,berry,dio,2,"females not seen, estimated"
Ebenaceae,Diospyros ssp. (Swipers LA BH 1984RFK) ,e,berry,dio,2,"females not seen, estimated"
Elaeocarpaceae,Aceratium concinnum ,e,drupe,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Aceratium doggrellii ,e,drupe,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Aceratium ferrugineum ,e,drupe,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Aceratium megalospermum ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Aceratium sericoleopsis ,e,drupe,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Elaeocarpus angustifolius ,n,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus arnhemicus ,n,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus bancroftii ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus carolinae ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus coorangooloo ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus culminicola ,n,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus elliffii ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus eumundi ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus ferruginiflorus ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus foveolatus ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus grahamii ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus johnsonii ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus largiflorens ssp. largiflorens ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus largiflorens ssp. retinervis ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus linsmithii ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus ruminatus ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus sericopetalus ,e,drupe,bi,1,Morley and Toelken (1983) for the family 
Elaeocarpaceae,Elaeocarpus ssp. (Mossman Bluff DF 1666) ,e,drupe,bi,1,"flowers not seen, estimated as bi"
Elaeocarpaceae,Elaeocarpus ssp. (Mt Bellenden Ker LJB 18336) ,e,drupe,bi,1,Hyland et al.  (2003)
Elaeocarpaceae,Elaeocarpus ssp. (Mt Spurgeon BH 2907RFK) ,e,drupe,bi,1,Hyland et al.  (2003)
Elaeocarpaceae,Elaeocarpus ssp. (Windsor Tableland BH 5541) ,e,drupe,bi,1,Hyland et al.  (2003)
Elaeocarpaceae,Elaeocarpus stellaris ,e,drupe,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Elaeocarpus thelmae ,e,drupe,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Peripentadenia mearsii ,e,capsule,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Peripentadenia phelpsii ,e,capsule,bi,1,Morley and Toelken (1983) for the family
Elaeocarpaceae,Sloanea australis ssp. parviflora ,e,capsule,bi,1,Coode (1984)
Elaeocarpaceae,Sloanea langii ,e,capsule,bi,1,Coode (1984)
Elaeocarpaceae,Sloanea macbrydei ,e,capsule,bi,1,Coode (1984)
Ericaceae (Epacridaceae),Dracophyllum sayeri ,e,capsule,bi,1,Hyland et al.  (2003)
Ericaceae (Epacridaceae),Leucopogon malayanus ssp. novoguineensis ,n,drupe,bi,1,Hyland et al.  (2003)
Ericaceae (Epacridaceae),Trochocarpa bellendenkerensis ,e,drupe,bi,1,Hyland et al.  (2003)
Erythroxylaceae,Erythroxylum australe ,e,drupe,bi,1,Morley and Toelken (1983)
Erythroxylaceae,Erythroxylum ecarinatum ,n,drupe,bi,1,Payens (1958)
Erythroxylaceae,Erythroxylum ssp. (Cape York EC 20162) ,e,drupe,bi,1,Hyland et al. (2003)
Euphorbiaceae,Actephila petiolaris ,e,capsule,mono,3,"Sankowsky 01681, QRS"
Euphorbiaceae,Alchornea ilicifolia ,e,capsule,dio,2,Webster (1994)
Euphorbiaceae,Alchornea rugosa ,n,capsule,dio,2,Webster (1994)
Euphorbiaceae,Aleurites moluccana ,n,drupe,mono,3,"Streimann 8685, QRS"
Euphorbiaceae,Aleurites rockinghamensis ,n,drupe,mono,3,"Stocker 613, QRS"
Euphorbiaceae,Austrobuxus megacarpus ,e,capsule,mono,3,"Hyland 12937, QRS"
Euphorbiaceae,Baloghia inophylla ,n,capsule,mono,3,"Gray 738, QRS"
Euphorbiaceae,Baloghia parviflora ,e,capsule,mono,3,"Chrome 861, QRS"
Euphorbiaceae,Bischofia javanica ,n,drupe,mono?,4,unresolved
Euphorbiaceae,Breynia ssp. (Black Mountain BH 25658RFK) ,e,berry,mono,4,"Unresolved, probably monoecious"
Euphorbiaceae,Breynia stipitata ,e,berry,mono,3,Hyland et al. (2003)
Euphorbiaceae,Briedelia insulana var. insulana ,n,drupe,mono,3,"Gray 1863, QRS"
Euphorbiaceae,Briedelia leichhardtii ,e,drupe,mono,3,Forster (1999) 
Euphorbiaceae,Choriceras majus ,e,capsule,mono,3,"Hyland 10633, QRS"
Euphorbiaceae,Choriceras tricorne ,n,capsule,mono,3,"Brooker 3240, NSW"
Euphorbiaceae,Claoxylon tenerifolium ,n,capsule,dio,2,Airy-Shaw (1974)
Euphorbiaceae,Cleidion spiciflorum ,n,capsule,dio/mono,4,unresolved
Euphorbiaceae,Codiaeum membranaceum ,e,capsule,mono,3,"Hyland 16154, QRS"
Euphorbiaceae,Codiaeum variagatum,n,capsule,mono,3,"Hyland 14260, QRS"
Euphorbiaceae,Croton acronychioides,e,capsule,mono,3,Hyland et al. (2003)
Euphorbiaceae,Croton arnhemicus ,n,capsule,mono,3,"Coveny 6930 & Hind, NSW"
Euphorbiaceae,Croton brachypus,e,capsule,mono,3,Hyland et al. (2003)
Euphorbiaceae,Croton capitis-york ,e,capsule,mono,3,"Hyland 14377, QRS"
Euphorbiaceae,Croton densivetitus,e,capsule,mono,3,Hyland et al. (2003)
Euphorbiaceae,Croton habrophyllus ,e,capsule,mono,3,"Dunlop 7811, NSW"
Euphorbiaceae,Croton insularis ,n,capsule,mono,3,"Bean 6489, NSW"
Euphorbiaceae,Croton phebaliodes,e,capsule,mono,3,Hyland et al. (2003)
Euphorbiaceae,"Croton ssp. (Possum scrub, PIF14376)",e,capsule,mono,3,Hyland et al. (2003)
Euphorbiaceae,Croton tomentellus ,n,capsule,mono,3,"Brock 739 & Smith, QRS"
Euphorbiaceae,Croton triacros ,e,capsule,mono,3,"Gray 2919, QRS"
Euphorbiaceae,Dimorphocalyx australiensis ,n,capsule,dio,2,Airy-Shaw (1974)
Euphorbiaceae,Dissiliaria laxinervis ,e,capsule,dio,2,Forster (1997)
Euphorbiaceae,Dissiliaria surculosa ,e,capsule,dio,2,Forster (1997)
Euphorbiaceae,Endospermum myrmecophilum ,n,drupe,dio,2,Airy-Shaw (1974)
Euphorbiaceae,Euphorbia plumerioides ,n,capsule,mono,3,"Gray 3222, QRS"
Euphorbiaceae,Excoecaria agallocha ,n,capsule,dio,2,Hyland et al. (2003)
Euphorbiaceae,Fontainea picrosperma ,e,drupe,dio,2,Hyland et al. (2003)
Euphorbiaceae,Hylandia dockrillii ,e,drupe,dio,2,Airy-Shaw (1974)
Euphorbiaceae,Macaranga inamoena ,e,capsule,dio,2,Webster (1994)
Euphorbiaceae,Macaranga involucrata var. mallotoides ,e,capsule,dio,2,Webster (1994)
Euphorbiaceae,Macaranga polyadenia ,n,capsule,dio,2,Webster (1994)
Euphorbiaceae,Macaranga subdentata ,e,capsule,dio,2,Webster (1994)
Euphorbiaceae,Macaranga tanarius ,n,capsule,dio,2,Webster (1994)
Euphorbiaceae,Mallotus claoxyloides,n,capsule,dio,2,Forster (1999)
Euphorbiaceae,Mallotus dispersus,n,capsule,dio,2,Forster (1999)
Euphorbiaceae,Mallotus ficifolius,e,capsule,dio,2,Forster (1999)
Euphorbiaceae,Mallotus mollissimus ,n,capsule,mono,3,Forster (1999)
Euphorbiaceae,Mallotus nesophilus ,e,capsule,dio,2,Forster (1999)
Euphorbiaceae,Mallotus paniculatus ,n,capsule,mono,3,Forster (1999)
Euphorbiaceae,Mallotus philippensis ,n,capsule,dio,2,Forster (1999)
Euphorbiaceae,Mallotus polyadenos ,n,capsule,mono,3,Forster (1999)
Euphorbiaceae,Mallotus resinosus,n,capsule,dio,2,Forster (1999)
Euphorbiaceae,Mallotus surculosus ,e,capsule,dio,2,Forster (1999)
Euphorbiaceae,Margaritaria dubium-traceyi ,e,capsule,dio,2,Webster (1994)
Euphorbiaceae,Margaritaria indica ,n,capsule,dio,2,Webster (1994)
Euphorbiaceae,Omalanthus novo-guineensis ,n,capsule,mono,3,"Jago 615, QRS"
Euphorbiaceae,Pimelodendron amboinicum ,e,drupe,dio,2,Airy-Shaw (1974)
Euphorbiaceae,Rockinghamia angustifolia ,e,capsule,mono,3,"Whiffen 633 & Risley, QRS"
Euphorbiaceae,Rockinghamia brevipes ,e,capsule,mono,3,"Dockrill 1280, QRS"
Euphorbiaceae,Sankowskya stipularis ,e,capsule,mono,3,"Hyland 13893, QRS"
Euphorbiaceae,Suregada glomerulata ,n,capsule,dio,2,Airy-Shaw (1974)
Euphorbiaceae,Wetria australiensis ,n,capsule,mono,3,"Lyons 105, QRS"
Euphorbiaceae,Whyanbeelia terrae-reginae ,e,capsule,mono,3,"Forster PIF 17171, NSW"
Eupomatiaceae,Eupomatia laurina ,n,berry,bi,1,Hyland et al.  (2003)
Fabaceae,Bossiaea arenicola ,e,legume,bi,1,Hyland et al. (2003)
Fabaceae,Castanospermum australe ,n,legume,bi,1,Hyland et al.  (2003)
Fabaceae,Dendrolobium arbuscula ,n,legume,bi,1,Hyland et al. (2003)
Fabaceae,Erythrina variegata ,n,legume,bi,1,Hyland et al. (2003)
Fabaceae,Erythrina vespertilio ,e,legume,bi,1,Hyland et al. (2003)
Fabaceae,Ormosia ormondii ,e,legume,bi,1,Hyland et al. (2003)
Fabaceae,Pongamia pinnata ,n,legume,bi,1,Hyland et al. (2003)
Fabaceae,Pongamia ssp. (McIlwraith BH 3295RFK) ,e,legume,bi,1,Hyland et al. (2003)
