location_name,latitude (deg),longitude (deg),locality,state
unknown,NA,NA,NA,NA
10 km E Camooweal,-19.92,138.202,"10 km E Camooweal, QLD",QLD
12 km S Mount Canobolas,-33.4208,148.9156,"12 km S Mount Canobolas, NSW",NSW
13 km E of Cheepie,-26.633333,145.133333,"13 km E of Cheepie, QLD",QLD
13 km E of Streely Creek Bridge,-20.31,119.33,"13 km E of Streely Creek Bridge, WA",WA
14 km E Coonabarrabran,-31.2133,149.4022,"14 km E Coonabarrabran, NSW",NSW
14 km NW Narrogin,-32.8761,117.0425,"14 km NW Narrogin, WA",WA
19 km S Charleville,-26.565,146.2,"19 km S Charleville, QLD",QLD
24 km SE Wollar,-32.5547,150.0119,"24 km SE Wollar, NSW",NSW
30 km W Sandstone,-27.983333,119.3,"30 km W Sandstone, WA",WA
4 km NE of Barkly Roadhouse,-19.681,135.849,"4 km NE of Barkly Roadhouse, NT",NT
5 km W Eurardy HS,-27.6611,114.6944,"5 km W Eurardy HS, WA",WA
5 km W Hattah-Kulkyne NP,-34.762,142.292,"5 km W Hattah-Kulkyne NP, VIC",VIC
5 km W of Cheepie,-26.633333,144.783333,"5 km W of Cheepie, QLD",QLD
6 km NE of Barkly Roadhouse,-19.6693,135.8577,"6 km NE of Barkly Roadhouse, NT",NT
60 km N Esperance,-33.3611,121.6992,"60 km N Esperance, WA",WA
62 km N Bourke,-29.533,145.828,"62 km N Bourke, NSW",NSW
64 km N Bourke,-29.514,145.817,"64 km N Bourke, NSW",NSW
7 km NW Barkly Roadhouse,-19.67,135.768,"7 km NW Barkly Roadhouse, NT",NT
8 km NE Tamala HS,-26.7,113.71,"8 km NE Tamala HS, WA",WA
Alison Baird Reserve,-32.018478,115.980524,"Alison Baird Reserve, WA",WA
Anketell,-32.208149,115.835897,"Anketell, WA",WA
"Arbor Park, Morley",-31.879276,115.928383,"Arbor Park, Morley, WA",WA
Avon Downs,-20.026,137.489,"Avon Downs, NT",NT
Badgingarra National Park,-30.5306,115.4306,"Badgingarra National Park, WA",WA
Baigup Wetlands,-31.935271,115.908083,"Baigup Wetlands, WA",WA
Bauple,-25.790333,152.607684,"Bauple, QLD",QLD
Beyondie Little Sandy Desert,-24.5833,120.2833,"Beyondie Little Sandy Desert, WA",WA
