var_name,character,unit
longevity,longevity,
growth form,growth form,
lignotuber,lignotuber,
min height (m),plant height minimum,m
max height (m),plant height maximum,m
leaf shape,leaf shape,
leaf length min (mm),leaf length minimum,mm
leaf length max (mm),leaf length maximum,mm
leaf width min (mm),leaf width minimum,mm
leaf width max (mm),leaf width maximum,mm
seed min length (mm),seed length minimum,mm
seed max length (mm),seed length maximum,mm
seed min width (mm),seed width minimum,mm
seed max width (mm),seed width maximum,mm
flowering month begin,flowering month begin,
flowering month end,flowering month end,
