taxon,longevity,growth form,lignotuber,min height (m),max height (m),leaf shape,leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end
Astartea affinis,p,s,y,1,2,obovate,5,15,0.3,0.6,0.7,1.3,0.4,0.6,10,1
Astartea arbuscula,p,s,n,0.1,0.3,obovate,2.5,5,0.25,4,0.6,0.7,0.45,0.5,12,3
Astartea aspera,p,s,unknown,0.15,1,obovate,2.5,11,0.5,0.8,0.7,1.3,0.5,0.7,,
Astartea astarteoides,p,s,unknown,0.4,1.5,obovate,3,5,0.5,0.9,0.6,0.9,0.35,0.5,10,1
Astartea cicatricosa,p,s,unknown,0.5,1.2,linear,6,19,0.6,1.1,0.9,1.3,0.4,0.5,10,1
Astartea corniculata,p,s,y,0.3,0.5,obovate,2.5,4.5,0.3,0.5,0.65,0.8,0.4,0.55,12,3
Astartea decemcostata,p,s,unknown,0.7,1.8,linear,8,12,0.04,0.5,0.7,0.8,0.5,0.5,11,12
Astartea eobalta,p,s,unknown,0.4,2.5,linear,5,12,0.4,0.8,0.7,1.1,0.4,0.5,10,1
Astartea fascicularis,p,s,unknown,0.8,1.5,obovate,5,12,0.4,0.6,0.8,1.1,0.3,0.45,11,2
Astartea glomerulosa,p,s,unknown,0.3,1,obovate,2,6,0.5,0.8,0.7,1,0.35,0.45,10,12
Astartea granitica,p,s,unknown,1.5,3.5,linear,7,15,0.3,0.5,0.8,1.2,0.5,0.7,10,12
Astartea laricifolia,p,s,y,1.5,5,linear,5,10.5,0.35,0.5,0.6,0.7,0.4,0.5,12,3
Astartea leptophylla,p,s,n,2,5,linear,8,16,0.5,0.8,0.7,1.1,0.35,0.6,12,2
Astartea middletonii,p,s,y,1,2.5,linear,10,15,0.5,0.6,0.7,0.8,0.4,0.5,11,1
Astartea montana,p,s,y,0.5,1,obovate,4,7.5,0.4,1,0.75,1.1,0.4,0.6,10,1
Astartea muricata,p,s,unknown,0.4,1,obovate,3,8,0.5,0.8,0.6,0.8,0.35,0.5,9,12
Astartea onycis,p,s,unknown,0.2,1.2,linear,4,12,0.2,0.7,0.6,0.8,0.35,0.5,11,3
Astartea reticulata,p,s,unknown,0.7,1.5,obovate,4.5,7,0.4,0.8,0.9,1.2,0.35,0.45,11,1
Astartea schaueri,p,s,y,0.5,1.5,linear,4.5,8,0.4,0.7,0.9,1.2,0.5,0.65,12,2
Astartea scoparia,p,s,y,1,3,obovate,4,10,0.4,0.6,0.6,0.9,0.35,0.6,12,2
Astartea transversa,p,s,unknown,0.4,1,obovate,2,2.25,0.3,0.5,0.6,0.6,0.5,0.5,3,6
Astartea zephyra,p,s,y,0.5,1,obovate,4,10,0.5,1,0.9,1.3,0.4,0.5,11,3
