taxon_name,Subplot,Location,Intensity,resprout_mean,epicormic_consensus,basal_consensus,Char.ht,Scorch,replicates,DBH_median,DBH_min,DBH_max,bud_bank_location,fire_response,DBH
Acacia dealbata,AR1,Arve,Moderate,0,0,0,3.1,50,1,37.6,37.6,37.6,none,fire_killed,37.6
Acacia dealbata,BT2,Bird Track,Low,0,0,0,1.4,100,2,21.799999999999997,21.2,22.4,none,fire_killed,21.8 (21.2 - 22.4)
Acacia dealbata,BT4,Bird Track,Moderate,0,0,0,2.1,unknown,1,25.6,25.6,25.6,none,fire_killed,25.6
Acacia dealbata,Mac1,Mackenzie,Moderate,0.2222222222222222,0,0,2.74,unknown,18,34.6,16.7,52.1,none,fire_killed,34.6 (16.7 - 52.1)
Acacia dealbata,Mac2,Mackenzie,Low,0.4,0,0,1.51,unknown,10,29.6,13.2,37.9,none,partial_resprouting,29.6 (13.2 - 37.9)
Acacia dealbata,Mac3,Mackenzie,Low,0.631578947368421,0,0,1.32,unknown,19,36.5,11.2,82.1,none,partial_resprouting,36.5 (11.2 - 82.1)
Acacia dealbata,Mac4,Mackenzie,Moderate,0,0,0,2.78,unknown,14,39.25,14.4,56.1,none,fire_killed,39.25 (14.4 - 56.1)
Acacia dealbata,NA,Mackenzie,NA,0.5,0,0,NA,unknown,2,NA,NA,NA,none,partial_resprouting,NA
Acacia melanoxylon,BT1,Bird Track,Low,0.45454545454545453,0,0,1.6,70,11,27.1,15.2,71.9,none,partial_resprouting,27.1 (15.2 - 71.9)
Acacia melanoxylon,BT2,Bird Track,Low,0.05,0,0,1.4,95,20,24.85,11.4,42.6,none,fire_killed,24.85 (11.4 - 42.6)
Acacia melanoxylon,BT3,Bird Track,Moderate,0,0,0,2.4,100,8,25.2,14.9,39.7,none,fire_killed,25.2 (14.9 - 39.7)
Acacia melanoxylon,BT4,Bird Track,Moderate,0.16666666666666666,0,0.16666666666666666,2.1,100,6,27.3,19.7,36.7,basal_buds,fire_killed,27.3 (19.7 - 36.7)
Acacia melanoxylon,Mac2,Mackenzie,Low,1,0,0,1.51,unknown,1,27.8,27.8,27.8,none,resprouts,27.8
Acacia melanoxylon,Wa1,Warra,Moderate,0.25,0,0,3.1,81,28,37.8,13.3,63.9,none,fire_killed,37.8 (13.3 - 63.9)
Acacia melanoxylon,Wa2,Warra,Low,0.6666666666666666,0,0,1.6,29,18,37.8,14.8,57.4,none,partial_resprouting,37.8 (14.8 - 57.4)
