season,Date,Survey time,site,Latitude,Longitude,Behaviour,plant.family,plant.genus_species,pollinator.common,pollinator.genus_species,freq
aut,1.05.2020,10.3,738,150.9508037,-33.912727,Hov,Fabaceae,Acacia_parramattensis,hoverfly,Austalis_copiosa,3
aut,1.05.2020,10.3,738,150.9508037,-33.912727,Hov,Asteraceae,Bidens_pilosa,hoverfly,Eristalinus_punctulatus,1
aut,1.05.2020,10.3,738,150.9508037,-33.912727,Hov,Asteraceae,Bidens_pilosa,hoverfly,Melangyna_sp.,2
aut,1.05.2020,10.3,738,150.9508037,-33.912727,Hov,Casuarinaceae,Casuarina_cunninghamii,hoverfly,Melangyna_sp.,8
aut,1.05.2020,10.3,738,150.9508037,-33.912727,Hov,Goodeniaceae,Goodenia_ovata,hoverfly,Melangyna_sp.,2
spr,21.11.2019,10,738,150.9508037,-33.912727,Hov,Casuarinaceae,Casuarina_cunninghamii,hoverfly,Simosyrphus_grandicornis,1
sum,12.12.2019,14.09,738,150.9508037,-33.912727,Hov,Fabaceae,Acacia_parramattensis,hoverfly,Melangyna_sp.,1
sum,12.12.2019,14.09,738,150.9508037,-33.912727,Hov,Fabaceae,Acacia_parramattensis,hoverfly,Simosyrphus_grandicornis,1
win,2.08.2019,13.1,738,150.9508037,-33.912727,Hov,Asteraceae,Bidens_pilosa,hoverfly,Melangyna_sp.,1
aut,29.04.2020,14.15,940,150.9929853,-33.8946852,Hov,Proteaceae,Grevillea_flamingo,hoverfly,Melangyna_sp.,8
spr,23.9.2019,12.41,940,150.9929853,-33.8946852,Hov,Proteaceae,Grevillea_honey_gem,hoverfly,Melangyna_sp.,4
spr,23.9.2019,12.41,940,150.9929853,-33.8946852,Hov,Proteaceae,Grevillea_superb,hoverfly,Melangyna_sp.,1
win,12.07.2019,11,940,150.9929853,-33.8946852,Hov,Proteaceae,Grevillea_banksii,hoverfly,Melangyna_sp.,2
aut,20.05.2020,13.45,983,151.0071094,-33.9611958,Hov,Casuarinaceae,Casuarina_cunninghamii,hoverfly,Melangyna_sp.,2
aut,20.05.2020,13.45,983,151.0071094,-33.9611958,Hov,Poaceae,Poa_annua,hoverfly,Melangyna_sp.,5
spr,7.11.2019,16,983,151.0071094,-33.9611958,Hov,Malvaceae,Hibiscus_aussie_pink,hoverfly,Simosyrphus_grandicornis,2
win,26.07.2019,10.06,983,151.0071094,-33.9611958,Hov,Casuarinaceae,Casuarina_cunninghamii,hoverfly,Melangyna_sp.,9
win,26.07.2019,10.06,983,151.0071094,-33.9611958,Hov,Poaceae,Poa_annua,hoverfly,Melangyna_sp.,1
spr,5.09.2019,13.23,1175,151.0482868,-33.9583443,Hov,Myrtaceae,Callistemon_citrinus,hoverfly,Melangyna_sp.,2
spr,5.09.2019,13.23,1175,151.0482868,-33.9583443,Hov,Casuarinaceae,Casuarina_cunninghamii,hoverfly,Melangyna_sp.,1
spr,5.09.2019,13.23,1175,151.0482868,-33.9583443,Hov,Papaveraceae,Fumaria_muralis,hoverfly,Xanthandrus_agrolas,1
spr,5.09.2019,13.23,1175,151.0482868,-33.9583443,Hov,Fabaceae,Hardenbergia_violacea,hoverfly,Melangyna_sp.,1
spr,5.09.2019,13.23,1175,151.0482868,-33.9583443,Hov,Araceae,Monstera_deliciosa,hoverfly,MSP_5,1
spr,5.09.2019,13.23,1175,151.0482868,-33.9583443,Hov,Pittosporaceae,Pittosporum_undulatum,hoverfly,Melangyna_sp.,1
win,26.07.2019,13.21,1175,151.0482868,-33.9583443,Hov,Asteraceae,Bidens_pilosa,hoverfly,Melangyna_sp.,1
win,26.07.2019,13.21,1175,151.0482868,-33.9583443,Hov,Asteraceae,Delairea_odorata,hoverfly,Melangyna_sp.,2
win,26.07.2019,13.21,1175,151.0482868,-33.9583443,Hov,Fabaceae,Indigofera_australis,hoverfly,Melangyna_sp.,2
win,26.07.2019,13.21,1175,151.0482868,-33.9583443,Hov,Pittosporaceae,Pittosporum_undulatum,hoverfly,MSP_5,1
win,26.07.2019,13.21,1175,151.0482868,-33.9583443,Hov,Commelinaceae,Tradescantia_fluminensis,hoverfly,MSP_5,1
sum,23.12.2019,10.3,1223,151.0510113,-33.9350687,Hov,Asteraceae,Sonchus_oleraceus,hoverfly,Simosyrphus_grandicornis,1
win,2.08.2019,14.38,1223,151.0510113,-33.9350687,Hov,Fabaceae,Acacia_saliciformes,hoverfly,Melangyna_sp.,2
win,2.08.2019,14.38,1223,151.0510113,-33.9350687,Hov,Myrtaceae,Callistemon_citrinus,hoverfly,Melangyna_sp.,1
win,2.08.2019,14.38,1223,151.0510113,-33.9350687,Hov,Proteaceae,Grevillea_banksii,hoverfly,Melangyna_sp.,1
win,2.08.2019,14.38,1223,151.0510113,-33.9350687,Hov,Asteraceae,Sonchus_oleraceus,hoverfly,Melangyna_sp.,1
win,18.07.2019,10.3,1285,151.0628934,-33.7553945,Hov,Pittosporaceae,Pittosporum_undulatum,hoverfly,Melangyna_sp.,1
win,19.07.2019,10.4,1295,151.0725635,-34.0845548,Hov,Casuarinaceae,Allocasuarina_diminuta,hoverfly,Melangyna_sp.,4
win,19.07.2019,10.4,1295,151.0725635,-34.0845548,Hov,Proteaceae,Banksia_ericifolia,hoverfly,Melangyna_sp.,1
aut,4.06.2020,12.3,1370,151.0804163,-33.7812236,Hov,Lamiaceae,Plectranthus_graveolens,hoverfly,Episyrphus_glaber,1
