Site,Species,MOR
Bothwell,Acacia_dealbata,38.86844684
Bothwell,Aotus_ericoides,50.1828448
Bothwell,Banksia_marginata,40.73390594
Bothwell,Bossiaea_cinerea,81.24556656
Bothwell,Cassinia_aculeata,55.00933338
Bothwell,Daviesia_latifolia,38.77164966
Bothwell,Epacris_impressa,56.71255793
Bothwell,Eucalyptus_tenuiramis,34.94698513
Bothwell,Exocarpos_cupressiformis,44.40997886
Bothwell,Leucopogon_ericoides,69.61804738
Bothwell,Persoonia_juniperina,36.90087858
Bothwell,Pultenaea_juniperina,62.05614596
Daintree,Antirhea_tenuiflora,110.5
Daintree,Ardisia_brevipedata,60.06666667
Daintree,Brombya_platynema,66.2
Daintree,Carallia_brachiata,77.83333333
Daintree,Cryptocarya_mackinnoniana,67.6
Daintree,Doryphora_aromatica,77.5
Daintree,Dysoxylum_papuanum,98.23333333
Daintree,Elaeocarpus_grandis,62.13333333
Daintree,Endiandra_microneura,70.1
Daintree,Eupomatia_laurina,72.03333333
Daintree,Ficus_variegata,42.66666667
Daintree,Gillbeea_whypallana,68.03333333
Daintree,Gomphandra_australiana,54.7
Daintree,Haplostichanthus_ramiflorus,67.03333333
Daintree,Hernandia_albiflora,56.16666667
Daintree,Idiospermum_australiense,57.5
Daintree,Myristica_globosa,55.2
Daintree,Rockinghamia_angustifolia,45.73333333
Howard Springs,Acacia_latescens,53.32375165
Howard Springs,Alstonia_actinophylla,27.20512915
Howard Springs,Brachychiton_paradoxus,31.67238774
Howard Springs,Buchanania_obovata,34.56340528
Howard Springs,Cochlospermum_fraseri,22.3012754
Howard Springs,Corymbia_bleeseri,45.35577092
Howard Springs,Corymbia_porrecta,49.46536316
Howard Springs,Erythrophleum_chlorostachys,66.55103614
Howard Springs,Eucalyptus_miniata,40.32785419
Howard Springs,Eucalyptus_tetrodonta,69.06820309
Howard Springs,Grevillea_decurrens,47.84907993
Howard Springs,Grevillea_pteridifolia,43.36473659
Howard Springs,Lophostemon_lactifluus,43.51085904
Howard Springs,Persoonia_falcata,36.27158512
Howard Springs,Petalostigma_pubescens,54.3843934
Howard Springs,Planchonia_careya,33.33854674
Howard Springs,Xanthostemon_paradoxus,77.35385076
Yengo,Acacia_parvipinnula,57.88773074
Yengo,Angophora_costata,49.13067737
Yengo,Bursaria_spinosa,47.43115616
Yengo,Cassinia_aff._cunninghamii,55.87011005
Yengo,Casuarina_torulosa,55.47358109
Yengo,Daviesia_squarrosa,42.48249909
Yengo,Eucalyptus_crebra,57.67122584
Yengo,Eucalyptus_punctata,58.93497283
Yengo,Grevillea_mucronulata,30.53195333
Yengo,Jacksonia_scoparia,57.42912857
Yengo,Melaleuca_pallida,56.67151156
Yengo,Persoonia_linearis,41.62392929
Yengo,Podolobium_ilicifolium,54.40717645
Yengo,Prostanthera_aff._violaceae,63.79502232
Yengo,Pultenaea_scabra,54.58558519
