site_name,latitude (deg),longitude (deg),description,MAP (mm),MAT (),fire intensity (kW m-1),fire interval (yr),crown fire
Bothwell,-42.4,147,cool temperate woodland,547,10,1000-5000,5-20,facultative
Yengo National Park,-32.8,150.9,temperate woodland,802,16.6,1000-5000,5-20,facultative
Daintree National Park,-16.1,145.4,tropical rainforest,3500,25.1,0-100,>100,none
Howard Springs Nature Park,-12.5,131.1,savanna,1714,27.8,100-1000,2-5,none
