dataset_id,region,taxon_name,trait_name,value,URL,Reliable,Notes
FloraBase_WA,WA,Carrichtera annua,flowering_time,NNNNNNNNYYYN,https://florabase.dpaw.wa.gov.au/browse/profile/3008,1,
eFlora_SA,SA,Carrichtera annua,flowering_time,NNNNNYYYYYNN,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Carrichtera_annua,1,
eFlora_NT,NT,Carrichtera annua,flowering_time,NNNNNNYYYNYN,http://eflora.nt.gov.au/factsheet?id=876,1,
FloraBase_WA,WA,Brassica fruticulosa,flowering_time,NYNNNNYNNNNN,https://florabase.dpaw.wa.gov.au/browse/profile/2993,0,"""Feb or Jul"" Very odd limited flowering windows, possibly based on limited samples"
FloraBase_WA,WA,Sisymbrium irio,flowering_time,NNNNNNYYYYYY,https://florabase.dpaw.wa.gov.au/browse/profile/3070,1,Jul to Dec
eFlora_SA,SA,Sisymbrium irio,flowering_time,NNNNNNNNYYYN,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Sisymbrium_irio,1,
eFlora_NT,NT,Sisymbrium irio,flowering_time,NNNNNNYYYYYY,http://eflora.nt.gov.au/factsheet?id=895,1,
Entwisle_1996,VIC,Sisymbrium irio,flowering_time,NNNNNNNNYYYN,https://vicflora.rbg.vic.gov.au/flora/taxon/4468311a-ae7c-41b2-bcf0-ce155feda9ae,0,"Text says ""flowers spring"", not specific"
eFlora_SA,SA,Atriplex incrassata,flowering_time,NNNYYYNNNNNN,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Atriplex_incrassata,1,
eFlora_NT,NT,Atriplex incrassata,flowering_time,NNNNYNNNNNNN,http://eflora.nt.gov.au/factsheet?id=1125,0,"Outside distribution, only 1 herbarium sample?"
eFlora_SA,SA,Minuria rigida,flowering_time,NNNYYYYYYYYN,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Minuria_rigida,1,
FloraBase_WA,WA,Trifolium repens,flowering_time,NNNNNNYYYYYN,https://florabase.dpaw.wa.gov.au/browse/profile/4307,1,"""Jul to Nov"" Conflicting information on same page"
Brown_Bettink_2019,WA,Trifolium repens,flowering_time,YNNNNNYYYYYY,https://florabase.dpaw.wa.gov.au/browse/profile/4307,1,Conflicting information on same page
Jeanes_1996,VIC,Trifolium repens,flowering_time,YYNNNNNYYYYY,https://vicflora.rbg.vic.gov.au/flora/taxon/7ff32f65-9d6a-45fd-9a64-4046b5093123,1,
eFlora_SA,SA,Trifolium repens,flowering_time,YYYYYNNNYYYY,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Trifolium_repens,1,
Walsh_1996,VIC,Rumex acetosella,flowering_time,NNNNNNNNYYYN,https://vicflora.rbg.vic.gov.au/flora/taxon/82987ef3-32a0-4090-aca3-9ae8ea48a071,0,Published under taxonomic synonym
eFlora_SA,SA,Rumex acetosella,flowering_time,NNNNNNNNYYYY,http://www.flora.sa.gov.au/cgi-bin/speciesfacts_display.cgi?form=speciesfacts&name=Rumex_acetosella,1,
PlantNET,NSW,Melicytus angustifolius,flowering_time,NNNNNNNYYYYY,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=in&name=Melicytus~angustifolius,1,
VicFlora,VIC,Melicytus angustifolius,flowering_time,NNNNNNNYYYYY,https://vicflora.rbg.vic.gov.au/flora/taxon/b1ebb93d-cc0a-427e-a59c-dd739fb7ab8d,1,
