family,species,Location,SDH confirm,Granite yes=y,Conservtion status,flowering_time,fruiting_time,Geographic_range_relative_to_TPBNR,taxon_name,species2,fire_response,plant_growth_substrate,life_history,woodiness,plant_growth_form
ADIANTACEAE,Anogramma leptophylla (L.) Link.,12,•,y,,,,west_of,Anogramma leptophylla,Anogramma leptophylla (L.) Link.,seeder,terrestrial,perennial,herbaceous,fern
ASPLENIACEAE,Asplenium aethiopicum (Burm.f.) Bech.,,• new PERTH,y,,,,west_of,Asplenium aethiopicum,Asplenium aethiopicum (Burm.f.) Bech.,seeder,terrestrial,perennial,herbaceous,fern
DENNSTAEDTIACEAE,Histiopteris incisa (Thunb.) J.Sm.,,•,y,,,,west_of,Histiopteris incisa,Histiopteris incisa (Thunb.) J.Sm.,seeder,terrestrial,perennial,herbaceous,fern
DENNSTAEDTIACEAE,Pteridium esculentum (G.Forst.) Cockayne,"10,13",•,y,,,,west_of,Pteridium esculentum,Pteridium esculentum (G.Forst.) Cockayne,resprout,terrestrial,perennial,herbaceous,fern
LINDSAEACEAE,Lindsaea linearis Sw.,"3,4",•,Y,,,,west_of,Lindsaea linearis,Lindsaea linearis Sw.,resprout,terrestrial,perennial,herbaceous,fern
LYCOPODIACEAE,"Brownseya serpentina (Kunze) Li Bing Zhang, L.D.Sheph., D.K.Chen, X.M.Zhou & H.He",,• new SDH,,,,,west_of,Brownseya serpentina,,,,,,
LYCOPODIACEAE,Phylloglossum drummondii Kunze.,12,•,y,,,,west_of,Phylloglossum drummondii,Phylloglossum drummondii Kunze.,resprout,terrestrial,perennial,herbaceous,geophyte
SCHIZAECEAE,Schizaea fistulosa Labill.,&,•,y,,,,west_of,Schizaea fistulosa,Schizaea fistulosa Labill.,seeder,terrestrial,perennial,herbaceous,fern
PODOCARPACEAE,Podocarpus drouynianus F.Muell.,3,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Podocarpus drouynianus,,,,,,
ZAMIACEAE,Macrozamia riedlei (Gaudich.) C.A.Gardner,,•,Y,,,,west_of,Macrozamia riedlei,Macrozamia riedlei (Gaudich.) C.A.Gardner,resprout,terrestrial,perennial,woody,
HYDATELLACEAE,"Trithuria austinensis D.D.Sokoloff, Remizowa, T.Macfarlane & Rudall",,•,Y,,,,centered_on,Trithuria austinensis,"Trithuria austinensis D.D.Sokoloff, Remizowa, T.Macfarlane & Rudall",seeder,terrestrial,annual,,
LAURACEAE,Cassytha glabella R.Br.,"1,2,3,8,8",•,y,,YYYNYYYYNYYN,YYYNYYYYNYYN,centered_on,Cassytha glabella,Cassytha glabella R.Br.,seeder,terrestrial,perennial,herbaceous,climber
LAURACEAE,Cassytha racemosa Nees,"2,3",•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Cassytha racemosa,,,,,,
ALLIACEAE,Allium triquetrum L.,10,•,,,,,west_of,Allium triquetrum,,,,,,
ASPARAGACEAE,Laxmannia jamesii Keighery,,• new PERTH,y,,,,west_of,Laxmannia jamesii,Laxmannia jamesii Keighery,seeder,terrestrial,perennial,herbaceous,
