NDat,Species,AuthTax,Family,Order,trait_name,Reference,Character_state,Value,Min,Max,Notes,User,Date,User_update,Date_update,FullRef,WeblinkRef
166622,Acanthochlamys bracteata,P.C.Kao,Velloziaceae,Pandanales,234. Perianth differentiation (D1),"Kubitzki K, ed. 1998. Flowering Plants. Monocotyledons. Lilianae. The families and genera of vascular plants III. Berlin: Springer.",234. Perianth differentiation (D1): (9) very weak differentiation,NA,NA,NA,inner whorl slightly smaller than the outer one,Charlotte Prieu,24-Aug-14,NA,NA,"Kubitzki K, ed. 1998. Flowering Plants. Monocotyledons. Lilianae. The families and genera of vascular plants III. Berlin: Springer.",NA
124225,Acanthus montanus,(Nees) T.Anderson,Acanthaceae,Lamiales,207. Symmetry of perianth (D1),"Lindau G. 1895. Acanthaceae. In: Engler A, Prantl K, eds. Die natürlichen Pflanzenfamilien IV, Abt. 3b: 274-354.",207. Symmetry of perianth (D1): (2) zygomorphic,NA,NA,NA,NA,Jürg Schönenberger,08-Jul-13,NA,NA,"Lindau G. 1895. Acanthaceae. In: Engler A, Prantl K, eds. Die natürlichen Pflanzenfamilien IV, Abt. 3b: 274-354.",NA
122581,Acharia tragodes,Thunb.,Achariaceae,Malpighiales,234. Perianth differentiation (D1),"Harms H. 1925. Passifloraceae. In: Engler A, Prantl K, eds. Die natürlichen Pflanzenfamilien 2nd, 21. Leipzig: Engelmann, 470-507.",234. Perianth differentiation (D1): (4) marked differentiation,NA,NA,NA,"in shape, size and color",Maria von Balthazar,05-Jul-13,Maria von Balthazar,22-Oct-15,"Harms H. 1925. Passifloraceae. In: Engler A, Prantl K, eds. Die natürlichen Pflanzenfamilien 2nd, 21. Leipzig: Engelmann, 470-507.",NA
188130,Acicarpha tribuloides,Juss.,Calyceraceae,Asterales,305. Filament (D1),Erbar C. 1993. Studies on the floral development and pollen presenation in Acicarpha tribuloides with a discussion of the systematic position of the family Calyceraceae. Botanische Jahrbücher für Systematik 115: 325–350.,305. Filament (D1): (8) fused into synandrium,NA,NA,NA,NA,Maria von Balthazar,22-Oct-15,NA,NA,Erbar C. 1993. Studies on the floral development and pollen presenation in Acicarpha tribuloides with a discussion of the systematic position of the family Calyceraceae. Botanische Jahrbücher für Systematik 115: 325–350.,NA
180442,Acorus gramineus,Sol.,Acoraceae,Acorales,314. Connective extension (apical) (D1),"Buzgo M, Endress PK. 2000. Floral structure and development of Acoraceae and its systematic relationships with basal angiosperms. International Journal of Plant Sciences 161: 23–41.",314. Connective extension (apical) (D1): (1) short extension,NA,NA,NA,NA,Maria von Balthazar,06-May-15,NA,NA,"Buzgo M, Endress PK. 2000. Floral structure and development of Acoraceae and its systematic relationships with basal angiosperms. International Journal of Plant Sciences 161: 23–41.",NA
151915,Acorus gramineus,Sol.,Acoraceae,Acorales,234. Perianth differentiation (D1),http://www.efloras.org/flora_page.aspx?flora_id=2,234. Perianth differentiation (D1): (0) undifferentiated,NA,NA,NA,NA,Elisabeth Reyes,03-Jun-14,Elisabeth Reyes,03-Jun-14,NA,http://www.efloras.org/flora_page.aspx?flora_id=2
124532,Acridocarpus natalitius,A.Juss.,Malpighiaceae,Malpighiales,305. Filament (D1),Flora Zambesiaca. Kew: Kew Royal Botanic Gardens. http://apps.kew.org/efloras/search.do,305. Filament (D1): (5) short and wide,NA,NA,NA,NA,Mario Coiro,08-Jul-13,Maria von Balthazar,27-Oct-15,Flora Zambesiaca. Kew: Kew Royal Botanic Gardens.,http://apps.kew.org/efloras/search.do
124541,Acridocarpus natalitius,A.Juss.,Malpighiaceae,Malpighiales,313. Anther dehiscence (D1),"Harvey WH. 1859. Thesaurus Capensis: Illustrations of the South African Flora, being Figures and brief Descriptions of South African Plants, selected from the Dublin University Herbarium. Dublin: Hodges, Smith, and co. http://books.google.fr/books?id=chpBAAAAYAAJ&pg=PA7&dq=Discocapnos+mundtii+flora+of+south+africa&hl=fr&sa=X&ei=fdQGT8-SIIfRhAfJ8PC5CQ&ved=0CDcQ6AEwAgv=onepage&q&f=false",313. Anther dehiscence (D1): (7) short apical slits,NA,NA,NA,NA,Mario Coiro,08-Jul-13,Maria von Balthazar,27-Oct-15,"Harvey WH. 1859. Thesaurus Capensis: Illustrations of the South African Flora, being Figures and brief Descriptions of South African Plants, selected from the Dublin University Herbarium. Dublin: Hodges, Smith, and co.",http://books.google.fr/books?id=chpBAAAAYAAJ&pg=PA7&dq=Discocapnos+mundtii+flora+of+south+africa&hl=fr&sa=X&ei=fdQGT8-SIIfRhAfJ8PC5CQ&ved=0CDcQ6AEwAg
84497,Actinidia chinensis,Planch.,Actinidiaceae,Ericales,100. Floral structural sex (D1),"Schmid R. 1978. Reproductive anatomy of Actinidia chinensis (Actinidiaceae). Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 100: 149–195.",100. Floral structural sex (D1): (1) incompletely unisexual,NA,NA,NA,male flowers have pistilloidia. female flowers have stamens that produce non-viable pollen,Jürg Schönenberger,27-Mar-13,Hervé Sauquet,07-Jan-20,"Schmid R. 1978. Reproductive anatomy of Actinidia chinensis (Actinidiaceae). Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 100: 149–195.",NA
165040,Actinidia chinensis,Planch.,Actinidiaceae,Ericales,311. Anther orientation (D1),"van Heel WA. 1987. Androecium development in Actinidia chinensis and A. melanandra (Actinidiaceae). Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 109: 17–23.",311. Anther orientation (D1): (2) extrorse,NA,NA,NA,outer stamens (based on other datum originally scored by Jurg),Hervé Sauquet,18-Aug-14,NA,NA,"van Heel WA. 1987. Androecium development in Actinidia chinensis and A. melanandra (Actinidiaceae). Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 109: 17–23.",NA
156554,Actinidia chinensis,Planch.,Actinidiaceae,Ericales,312. Anther attachment (D1),"Caris P. 2013. Bloemontogenetische patronen in de Ericales sensu lato. PhD thesis, KU Leuven.",312. Anther attachment (D1): (3) ventrifixed,NA,NA,NA,NA,Stefan Löfstrand,15-Jul-14,NA,NA,"Caris P. 2013. Bloemontogenetische patronen in de Ericales sensu lato. PhD thesis, KU Leuven.",NA
167,Adoxa moschatellina,L.,Adoxaceae,Dipsacales,305. Filament (D1),http://www.efloras.org/flora_page.aspx?flora_id=5,"305. Filament (D1): (A) long and narrow, deeply divided in two",NA,NA,NA,NA,Hervé Sauquet,26-Jul-10,NA,NA,NA,http://www.efloras.org/flora_page.aspx?flora_id=5
205980,Adoxa moschatellina,L.,Adoxaceae,Dipsacales,311. Anther orientation (D1),"Roels P., Smets E. 1004. A comparative floral ontogenetical study between Adoxa moschatellina and Sambucus ebulus. Belgium Journal of Botany 127: 157-170.",311. Anther orientation (D1): (3) apical,NA,NA,NA,NA,Maria von Balthazar,16-May-17,NA,NA,"Roels P., Smets E. 1004. A comparative floral ontogenetical study between Adoxa moschatellina and Sambucus ebulus. Belgium Journal of Botany 127: 157-170.",NA
154,Adoxa moschatellina,L.,Adoxaceae,Dipsacales,102. Ovary position (D1),http://www.efloras.org/flora_page.aspx?flora_id=5,102. Ovary position (D1): (2) half-inferior,NA,NA,NA,NA,Hervé Sauquet,26-Jul-10,NA,NA,NA,http://www.efloras.org/flora_page.aspx?flora_id=5
