var_name,trait_name,unit
Fire response,fire_response,NA
SLA (cm2 g?1),specific_leaf_area,cm2/g
height (m),plant_height,m
Bark thickness (mm),bark_thickness,mm
Stem density (g cm?3),wood_density,mg/mm3
Bark mass area (g cm?2),bark_mass_area,g/cm2
