trait_name,find,replace,notes
flower_shape,bell,bell-shaped,
flower_shape,elongated,NA, should be inflorescence_shape
inflorescence_shape,bell,NA,should be flower_shape
inflorescence_shape,cup,NA,should be flower_shape
inflorescence_shape,flat,NA,should be flower_shape maybe
inflorescence_shape,funnel,NA,should be flower_shape
inflorescence_shape,toothbrush,should be flower_shape maybe,
pollination_vector_possible,ant self,ant autonomous,
pollination_vector_possible,fly insect self,fly insect autonomous,
pollination_vector_possible,fly self,fly autonomous,
pollination_vector_possible,insect self,insect autonomous,
pollination_vector_possible,self,autonomous,
sex_type,d / d,dioecious,
sex_type,d / m,dioecious monecious,
sex_type,d /m or d / d,dioecious monecious,
sex_type,d?,dioecious,
sex_type,monecious?,monecious,
sex_type,"monoecious, variable?",monecious,
sex_type,no,monecious,
