original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Acanthocarpus sp. Ajana (C.A. Gardner 8596),Acanthocarpus sp. Ajana (C.A. Gardner 8596),Acanthocarpus sp. Ajana (C.A.Gardner 8596),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Acanthocarpus sp. Cooloomia (S.D. Hopper 3301),Acanthocarpus sp. Cooloomia (S.D. Hopper 3301),Acanthocarpus sp. Cooloomia (S.D.Hopper 3301),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Acrotriche sp. Israelite Bay (M. Hislop & F. Hort MH 2630),Acrotriche sp. Israelite Bay (M. Hislop & F. Hort MH 2630),Acrotriche sp. Israelite Bay (M.Hislop & F.Hort MH2630),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Andersonia sp. Frankland (W. Jackson BJ8),Andersonia sp. Frankland (W. Jackson BJ8),Andersonia sp. Frankland (W.Jackson BJ8),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Andersonia sp. Kulin (J.M. Powell 2588),Andersonia sp. Kulin (J.M. Powell 2588),Andersonia sp. Kulin (J.M.Powell 2588),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Andersonia sp. Mitchell River (B.G. Hammersley 925),Andersonia sp. Mitchell River (B.G. Hammersley 925),Andersonia sp. Mitchell River (B.G.Hammersley 925),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Andersonia sp. Mt Lesueur (E.A. Griffin 5536),Andersonia sp. Mt Lesueur (E.A. Griffin 5536),Andersonia sp. Mt Lesueur (E.A.Griffin 5536),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Anigozanthos humilis subsp. Badgingarra (S.D. Hopper 7114),Anigozanthos humilis subsp. Badgingarra (S.D. Hopper 7114),Anigozanthos humilis subsp. Badgingarra (S.D.Hopper 7114),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Anigozanthos viridis subsp. Cataby (S.D. Hopper 1786),Anigozanthos viridis subsp. Cataby (S.D. Hopper 1786),Anigozanthos viridis subsp. Cataby (S.D.Hopper 1786),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Anthotium sp. Peaceful Bay (J.R. Wheeler 3772 & S.J. Patrick),Anthotium sp. Peaceful Bay (J.R. Wheeler 3772 & S.J. Patrick),Anthotium sp. Peaceful Bay (J.R.Wheeler 3772 & S.J.Patrick),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
